step,tl_id,previous_state,current_state,action,reward
25,0,1_0_0_0_0,0_1_0_0_1,30,0.49688248204309654
57,0,0_1_0_0_1,1_0_1_0_2,9,0.573980779462623
176,0,1_0_1_0_2,2_1_0_1_3,38,0.5844423383878691
286,0,2_1_0_1_3,2_2_1_0_0,35,0.9438248204309656
351,0,2_2_1_0_0,0_2_1_1_1,20,0.9094423383878691
461,0,0_2_1_1_1,1_0_1_1_2,35,0.7219423383878691
583,0,1_0_1_1_2,1_1_0_2_3,39,0.9032073024740622
654,0,1_1_0_2_3,1_2_1_0_0,22,0.9563248204309658
704,0,1_2_1_0_0,0_2_1_1_1,15,0.746942338387869
757,0,0_2_1_1_1,1_0_2_1_2,16,0.665677374301676
828,0,1_0_2_1_2,1_0_0_2_3,22,0.6812948922585794
884,0,1_0_0_2_3,2_0_1_0_0,17,0.7594124102154829
913,0,2_0_1_0_0,0_1_1_1_1,8,0.7000299281723863
939,0,0_1_1_1_1,1_0_1_1_2,7,0.5844124102154828
1040,0,1_0_1_1_2,2_2_0_1_3,32,0.5532073024740622
1147,0,2_2_0_1_3,3_2_1_0_0,34,0.8532372306464485
1251,0,3_2_1_0_0,0_2_1_1_1,33,0.8969423383878692
1334,0,0_2_1_1_1,1_0_1_1_2,26,0.8875598563447725
1372,0,1_0_1_1_2,1_1_0_1_3,11,0.8031773743016759
1482,0,1_1_0_1_3,2_2_1_0_0,35,0.6032073024740623
1505,0,2_2_1_0_0,0_2_1_1_1,6,0.9094423383878691
1558,0,0_2_1_1_1,1_0_1_1_2,16,0.5562948922585794
1677,0,1_0_1_1_2,1_2_0_1_3,38,0.6688248204309657
1796,0,1_2_0_1_3,2_2_2_0_0,38,0.9344722665602554
1834,0,2_2_2_0_0,0_2_2_0_1,11,0.9438248204309656
1884,0,0_2_2_0_1,1_0_2_0_2,15,0.6125598563447725
1982,0,1_0_2_0_2,2_1_0_1_3,31,0.6625598563447725
2059,0,2_1_0_1_3,2_1_1_0_0,24,0.859442338387869
2160,0,2_1_1_0_0,0_2_2_1_1,32,0.7688248204309658
2216,0,0_2_2_1_1,0_0_2_1_2,17,0.8812948922585795
2314,0,0_0_2_1_2,1_1_0_2_3,31,0.690677374301676
2367,0,1_1_0_2_3,1_2_1_0_0,16,0.8687948922585793
2381,0,1_2_1_0_0,0_2_1_0_1,3,0.6844124102154828
2503,0,0_2_1_0_1,1_1_1_1_2,39,0.5125598563447725
2541,0,1_1_1_1_2,2_1_0_1_3,11,0.965677374301676
2600,0,2_1_0_1_3,2_1_1_0_0,18,0.6125598563447725
2629,0,2_1_1_0_0,0_1_1_0_1,8,0.7125299281723863
2739,0,0_1_1_0_1,1_0_1_1_2,35,0.5781773743016759
2759,0,1_0_1_1_2,1_1_0_1_3,5,0.9187948922585794
2869,0,1_1_0_1_3,2_1_1_0_0,35,0.5375598563447725
