step,tl_id,new_state
21,0,1
77,0,2
97,0,3
207,0,0
260,0,1
277,0,2
318,0,3
332,0,0
367,0,1
414,0,2
518,0,3
592,0,0
696,0,1
779,0,2
859,0,3
951,0,0
1028,0,1
1048,0,2
1152,0,3
1214,0,0
1315,0,1
1416,0,2
1436,0,3
1477,0,0
1554,0,1
1661,0,2
1681,0,3
1737,0,0
1799,0,1
1822,0,2
1890,0,3
1988,0,0
2017,0,1
2040,0,2
2105,0,3
2224,0,0
2265,0,1
2342,0,2
2407,0,3
2517,0,0
2528,0,1
2569,0,2
2613,0,3
2654,0,0
2740,0,1
2835,0,2
2873,0,3
2884,0,0
2949,0,1
2975,0,2
3067,0,3
3102,0,0
3221,0,1
3253,0,2
3372,0,3
3416,0,0
3439,0,1
3510,0,2
3521,0,3
3553,0,0
3618,0,1
3689,0,2
3706,0,3
3759,0,0
3797,0,1
3820,0,2
3837,0,3
3881,0,0
3916,0,1
3963,0,2
3989,0,3
4045,0,0
4119,0,1
4238,0,2
4333,0,3
4347,0,0
4382,0,1
4477,0,2
4497,0,3
4580,0,0
4624,0,1
4644,0,2
4727,0,3
4801,0,0
4836,0,1
4883,0,2
4990,0,3
5067,0,0
5183,0,1
5194,0,2
5253,0,3
5372,0,0
5413,0,1
5445,0,2
5486,0,3
5512,0,0
5625,0,1
5705,0,2
5722,0,3
5832,0,0
5948,0,1
6010,0,2
6075,0,3
6170,0,0
6208,0,1
6282,0,2
6350,0,3
6361,0,0
6426,0,1
6443,0,2
6547,0,3
6627,0,0
6641,0,1
6682,0,2
6756,0,3
6770,0,0
6829,0,1
6879,0,2
6953,0,3
7030,0,0
7047,0,1
7163,0,2
7243,0,3
7293,0,0
7373,0,1
7384,0,2
7410,0,3
7436,0,0
7465,0,1
7533,0,2
7619,0,3
7696,0,0
7728,0,1
7838,0,2
7885,0,3
7944,0,0
8000,0,1
8053,0,2
8094,0,3
8186,0,0
8284,0,1
8403,0,2
8501,0,3
8614,0,0
8721,0,1
8732,0,2
8854,0,3
8874,0,0
8918,0,1
9001,0,2
9039,0,3
9086,0,0
9175,0,1
9270,0,2
9347,0,3
9448,0,0
9465,0,1
9542,0,2
9562,0,3
9579,0,0
9608,0,1
9727,0,2
9789,0,3
9878,0,0
9925,0,1
10041,0,2
10148,0,3
10261,0,0
10350,0,1
10403,0,2
10450,0,3
10548,0,0
10649,0,1
10720,0,2
10791,0,3
10901,0,0
10987,0,1
11049,0,2
11069,0,3
11158,0,0
11274,0,1
11330,0,2
11419,0,3
11463,0,0
11540,0,1
11614,0,2
11634,0,3
11702,0,0
11734,0,1
11808,0,2
11867,0,3
11902,0,0
11988,0,1
12101,0,2
12163,0,3
12177,0,0
12296,0,1
12349,0,2
12405,0,3
12434,0,0
12469,0,1
12576,0,2
12671,0,3
12721,0,0
12756,0,1
12821,0,2
12856,0,3
12885,0,0
12917,0,1
13009,0,2
13050,0,3
13103,0,0
13129,0,1
13188,0,2
13223,0,3
13306,0,0
13422,0,1
13538,0,2
13582,0,3
13605,0,0
13724,0,1
13840,0,2
13908,0,3
13925,0,0
14026,0,1
14097,0,2
14204,0,3
14320,0,0
14388,0,1
14399,0,2
14413,0,3
14478,0,0
14573,0,1
14644,0,2
14679,0,3
14723,0,0
14776,0,1
14793,0,2
14909,0,3
15028,0,0
15138,0,1
15209,0,2
15301,0,3
15423,0,0
15476,0,1
15538,0,2
15564,0,3
15656,0,0
15775,0,1
15798,0,2
15884,0,3
15964,0,0
16050,0,1
16103,0,2
16180,0,3
16191,0,0
16313,0,1
16372,0,2
16446,0,3
16466,0,0
16492,0,1
16548,0,2
16652,0,3
16750,0,0
16785,0,1
16901,0,2
16927,0,3
17049,0,0
17093,0,1
17209,0,2
17253,0,3
17327,0,0
17434,0,1
17469,0,2
17489,0,3
17536,0,0
17616,0,1
17681,0,2
17734,0,3
17829,0,0
17840,0,1
17854,0,2
17943,0,3
18041,0,0
18118,0,1
18219,0,2
18338,0,3
18412,0,0
18435,0,1
18473,0,2
18538,0,3
18651,0,0
18680,0,1
18718,0,2
18783,0,3
18887,0,0
18976,0,1
19032,0,2
19082,0,3
19102,0,0
19116,0,1
19166,0,2
19201,0,3
19314,0,0
19427,0,1
19444,0,2
19536,0,3
19631,0,0
19696,0,1
19749,0,2
19784,0,3
19840,0,0
19869,0,1
19955,0,2
19966,0,3
20007,0,0
20081,0,1
20107,0,2
20196,0,3
20306,0,0
20428,0,1
20484,0,2
20543,0,3
20653,0,0
20772,0,1
20792,0,2
20893,0,3
20985,0,0
21056,0,1
21112,0,2
21177,0,3
21200,0,0
21295,0,1
21396,0,2
21440,0,3
21499,0,0
21558,0,1
21605,0,2
21700,0,3
21822,0,0
21863,0,1
21916,0,2
22008,0,3
22082,0,0
22156,0,1
22251,0,2
22337,0,3
22363,0,0
22416,0,1
22457,0,2
22555,0,3
22608,0,0
22679,0,1
22702,0,2
22734,0,3
22757,0,0
22864,0,1
22935,0,2
22988,0,3
23107,0,0
23187,0,1
23234,0,2
23299,0,3
23385,0,0
23399,0,1
23497,0,2
23619,0,3
23711,0,0
23803,0,1
23889,0,2
23903,0,3
23950,0,0
24066,0,1
24179,0,2
24235,0,3
24249,0,0
24329,0,1
24364,0,2
24405,0,3
24452,0,0
24487,0,1
24594,0,2
24701,0,3
24757,0,0
24783,0,1
24866,0,2
24964,0,3
25017,0,0
25043,0,1
25054,0,2
25131,0,3
25238,0,0
25291,0,1
25368,0,2
25412,0,3
25483,0,0
25560,0,1
25679,0,2
25795,0,3
25869,0,0
25940,0,1
26002,0,2
26124,0,3
26240,0,0
26320,0,1
26373,0,2
26435,0,3
26464,0,0
26538,0,1
26633,0,2
26659,0,3
26703,0,0
26801,0,1
26881,0,2
26967,0,3
27017,0,0
27043,0,1
27138,0,2
27194,0,3
27238,0,0
27324,0,1
27371,0,2
27469,0,3
27531,0,0
27614,0,1
27631,0,2
27678,0,3
27776,0,0
27874,0,1
27966,0,2
28052,0,3
28066,0,0
28143,0,1
28163,0,2
28210,0,3
28242,0,0
28331,0,1
28441,0,2
28506,0,3
28553,0,0
28591,0,1
28713,0,2
28790,0,3
28879,0,0
28893,0,1
28970,0,2
29041,0,3
29103,0,0
29192,0,1
29278,0,2
29391,0,3
29411,0,0
29524,0,1
29643,0,2
29720,0,3
29818,0,0
29928,0,1
30008,0,2
30070,0,3
30117,0,0
30131,0,1
30250,0,2
30345,0,3
30380,0,0
30493,0,1
30552,0,2
30563,0,3
30673,0,0
30702,0,1
30752,0,2
30826,0,3
30867,0,0
30929,0,1
30973,0,2
31065,0,3
31097,0,0
31120,0,1
31200,0,2
31211,0,3
31225,0,0
31329,0,1
31451,0,2
31480,0,3
31494,0,0
31505,0,1
31528,0,2
31596,0,3
31673,0,0
31768,0,1
31779,0,2
31802,0,3
31864,0,0
31902,0,1
31925,0,2
31996,0,3
32082,0,0
32135,0,1
32188,0,2
32289,0,3
32309,0,0
32389,0,1
32481,0,2
32531,0,3
32635,0,0
