step,tl_id,start_at_step,cycle_time
138,0,-1,143
377,0,142,239
634,0,381,257
951,0,638,317
1205,0,955,254
1390,0,1209,185
1659,0,1394,269
1994,0,1663,335
2230,0,1998,236
2508,0,2234,278
2729,0,2512,221
2971,0,2733,242
3180,0,2975,209
3404,0,3184,224
3571,0,3408,167
3858,0,3575,287
4178,0,3862,320
4411,0,4182,233
4605,0,4415,194
4868,0,4609,263
5074,0,4872,206
5352,0,5078,278
5528,0,5356,176
5758,0,5532,230
6024,0,5762,266
6431,0,6028,407
6679,0,6435,248
7017,0,6683,338
7244,0,7021,227
7552,0,7248,308
7785,0,7556,233
7997,0,7789,212
8299,0,8001,302
8637,0,8303,338
9008,0,8641,371
9346,0,9012,338
9495,0,9350,149
9695,0,9499,200
10048,0,9699,353
10335,0,10052,287
10691,0,10339,356
11008,0,10695,317
11385,0,11012,377
11711,0,11389,326
12031,0,11715,320
12276,0,12035,245
12383,0,12280,107
12532,0,12387,149
12804,0,12536,272
13076,0,12808,272
13306,0,13080,230
13686,0,13310,380
14024,0,13690,338
14356,0,14028,332
14757,0,14360,401
15056,0,14761,299
15382,0,15060,326
15606,0,15386,224
15767,0,15610,161
16024,0,15771,257
16317,0,16028,293
16568,0,16321,251
16774,0,16572,206
17160,0,16778,386
17483,0,17164,323
17752,0,17487,269
18045,0,17756,293
18410,0,18049,365
18601,0,18414,191
18798,0,18605,197
19226,0,18802,428
19492,0,19230,266
19752,0,19496,260
20048,0,19756,296
20344,0,20052,296
20625,0,20348,281
20969,0,20629,344
21187,0,20973,218
21312,0,21191,125
21497,0,21316,185
21850,0,21501,353
22125,0,21854,275
22373,0,22129,248
22624,0,22377,251
22974,0,22628,350
23198,0,22978,224
23563,0,23202,365
23826,0,23567,263
24119,0,23830,293
24412,0,24123,293
24750,0,24416,338
24947,0,24754,197
25219,0,24951,272
25419,0,25223,200
25643,0,25423,224
25819,0,25647,176
26034,0,25823,215
26357,0,26038,323
26668,0,26361,311
26937,0,26672,269
27329,0,26941,392
27556,0,27333,227
27849,0,27560,293
28136,0,27853,287
28450,0,28140,314
28752,0,28454,302
28982,0,28756,230
29299,0,28986,317
29505,0,29303,206
29738,0,29509,233
29902,0,29742,164
30228,0,29906,326
30404,0,30232,176
30781,0,30408,377
31032,0,30785,251
31388,0,31036,356
31672,0,31392,284
31833,0,31676,161
32150,0,31837,317
32314,0,32154,164
