step,tl_id,start_at_step,cycle_time
240,0,-1,245
467,0,244,227
661,0,471,194
936,0,665,275
1247,0,940,311
1468,0,1251,221
1764,0,1472,296
1994,0,1768,230
2266,0,1998,272
2550,0,2270,284
2945,0,2554,395
3208,0,2949,263
3510,0,3212,302
3779,0,3514,269
4117,0,3783,338
4308,0,4121,191
4577,0,4312,269
4873,0,4581,296
5190,0,4877,317
5327,0,5194,137
5698,0,5331,371
5934,0,5702,236
6212,0,5938,278
6562,0,6216,350
6945,0,6566,383
7238,0,6949,293
7627,0,7242,389
7875,0,7631,248
8042,0,7879,167
8179,0,8046,137
8433,0,8183,254
8687,0,8437,254
8971,0,8691,284
9111,0,8975,140
9386,0,9115,275
9652,0,9390,266
9960,0,9656,308
10106,0,9964,146
10303,0,10110,197
10572,0,10307,269
10820,0,10576,248
11110,0,10824,290
11409,0,11114,299
11672,0,11413,263
11980,0,11676,308
12267,0,11984,287
12611,0,12271,344
12910,0,12615,299
13236,0,12914,326
13514,0,13240,278
13879,0,13518,365
14238,0,13883,359
14483,0,14242,245
14794,0,14487,311
15120,0,14798,326
15425,0,15124,305
15814,0,15429,389
16083,0,15818,269
16460,0,16087,377
16786,0,16464,326
17082,0,16790,296
17318,0,17086,236
17671,0,17322,353
17982,0,17675,311
18182,0,17986,200
18367,0,18186,185
18756,0,18371,389
19121,0,18760,365
19369,0,19125,248
19623,0,19373,254
19952,0,19627,329
20221,0,19956,269
20502,0,20225,281
20717,0,20506,215
20947,0,20721,230
21225,0,20951,278
21632,0,21229,407
21805,0,21636,173
22086,0,21809,281
22421,0,22090,335
22753,0,22425,332
23109,0,22757,356
23378,0,23113,269
23557,0,23382,179
23781,0,23561,224
24035,0,23785,254
24403,0,24039,368
24585,0,24407,182
24746,0,24589,161
24982,0,24750,236
25269,0,24986,287
25571,0,25273,302
25837,0,25575,266
26073,0,25841,236
26261,0,26077,188
26404,0,26265,143
26733,0,26408,329
26858,0,26737,125
27034,0,26862,176
27354,0,27038,320
27536,0,27358,182
27742,0,27540,206
27942,0,27746,200
28196,0,27946,254
28465,0,28200,269
28632,0,28469,167
28814,0,28636,182
29167,0,28818,353
29466,0,29171,299
29744,0,29470,278
30100,0,29748,356
30399,0,30104,299
30593,0,30403,194
30874,0,30597,281
31167,0,30878,293
31379,0,31171,212
31585,0,31383,206
31788,0,31589,203
32090,0,31792,302
32479,0,32094,389
