step,tl_id,previous_state,current_state,action,reward
25,0,0_0_1_0_2,1_1_0_0_1,39,0.9885376107443147
129,0,1_1_0_0_1,1_1_1_1_2,33,0.9660937716422734
179,0,1_1_1_1_2,2_1_0_1_3,15,0.954849739934502
235,0,2_1_0_1_3,2_1_1_0_0,17,0.9552161768277873
351,0,2_1_1_0_0,1_1_1_2_1,37,0.9461708566108007
389,0,1_1_1_2_1,1_1_2_2_2,11,0.949080540037244
511,0,1_1_2_2_2,1_2_1_3_3,39,0.9379588161965003
558,0,1_2_1_3_3,1_2_1_0_0,14,0.9493403332003193
647,0,1_2_1_0_0,1_2_2_1_1,28,0.9403514897579144
757,0,1_2_2_1_1,1_0_2_1_2,35,0.9352846272394529
768,0,1_0_2_1_2,2_0_2_1_3,2,0.9495822095935272
836,0,2_0_2_1_3,2_0_2_1_0,21,0.9477815742218675
952,0,2_0_2_1_0,0_1_3_2_1,37,0.9432984768180299
975,0,0_1_3_2_1,1_0_3_2_2,6,0.9435621749181275
1097,0,1_0_3_2_2,2_1_0_2_3,39,0.9465721922558273
1216,0,2_1_0_2_3,2_2_0_1_0,38,0.9321939844373504
1272,0,2_2_0_1_0,1_3_1_1_1,17,0.9410199305450703
1307,0,1_3_1_1_1,1_0_1_1_2,10,0.9735010973663208
1369,0,1_0_1_1_2,1_1_0_1_3,19,0.9672660614525139
1491,0,1_1_0_1_3,2_2_1_1_0,39,0.9367143854748604
1517,0,2_2_1_1_0,0_2_1_1_1,7,0.9394471286929388
1588,0,0_2_1_1_1,1_1_2_1_2,22,0.9552544481479742
1605,0,1_1_2_1_2,1_1_0_1_3,4,0.970903165735568
1715,0,1_1_0_1_3,2_2_1_1_0,35,0.9476256983240223
1783,0,2_2_1_1_0,1_2_2_1_1,21,0.9382946445771528
1896,0,1_2_2_1_1,2_0_3_1_2,36,0.929076466480447
1910,0,2_0_3_1_2,2_1_1_1_3,3,0.9446640562649641
2032,0,2_1_1_1_3,2_1_2_0_0,39,0.9298691686959843
2085,0,2_1_2_0_0,0_2_2_1_1,16,0.9438846767757383
2099,0,0_2_2_1_1,1_1_2_1_2,3,0.9567479490663848
2161,0,1_1_2_1_2,1_1_0_1_3,19,0.9773691289054418
2241,0,1_1_0_1_3,1_2_1_0_0,25,0.9621483660453849
2339,0,1_2_1_0_0,1_3_1_1_1,31,0.9374418063314711
2425,0,1_3_1_1_1,1_1_1_1_2,27,0.9534450651769087
2538,0,1_1_1_1_2,2_1_1_1_3,36,0.9473371346784246
2576,0,2_1_1_1_3,2_1_1_1_0,11,0.9505353817504656
2626,0,2_1_1_1_0,1_2_1_1_1,15,0.9607192737430168
2712,0,1_2_1_1_1,1_0_1_1_2,27,0.9567342725285402
2792,0,1_0_1_1_2,2_1_1_1_3,25,0.9527176443202979
2893,0,2_1_1_1_3,2_1_1_1_0,32,0.9410789106145252
3003,0,2_1_1_1_0,0_1_2_2_1,35,0.9428363079052752
3095,0,0_1_2_2_1,2_1_2_2_2,29,0.9323498603351955
3205,0,2_1_2_2_2,3_1_1_1_3,35,0.9374418063314711
3231,0,3_1_1_1_3,3_2_1_0_0,7,0.9435621749181275
3353,0,3_2_1_0_0,0_2_2_1_1,39,0.9367896359083028
3469,0,0_2_2_1_1,1_1_3_2_2,37,0.933779618570603
3561,0,1_1_3_2_2,2_1_1_2_3,29,0.9413046619148526
3623,0,2_1_1_2_3,2_2_1_1_0,19,0.9347155063142576
3640,0,2_2_1_1_0,1_1_1_1_1,4,0.9556507929356641
3654,0,1_1_1_1_1,1_0_2_1_2,3,0.9589660029604163
3719,0,1_0_2_1_2,3_1_1_2_3,20,0.9301675977653632
3745,0,3_1_1_2_3,3_2_1_0_0,7,0.9407671588188349
3801,0,3_2_1_0_0,1_1_2_1_1,17,0.9476256983240223
3881,0,1_1_2_1_1,1_1_3_2_2,25,0.9076596334087447
3985,0,1_1_3_2_2,2_2_0_4_3,33,0.8962958983908704
