step,tl_id,start_at_step,cycle_time
177,0,-1,182
503,0,181,326
730,0,507,227
936,0,734,206
1091,0,940,155
1276,0,1095,185
1725,0,1280,449
2021,0,1729,296
2434,0,2025,413
2628,0,2438,194
2957,0,2632,329
3247,0,2961,290
3564,0,3251,317
3881,0,3568,317
4180,0,3885,299
4506,0,4184,326
4685,0,4510,179
4897,0,4689,212
5187,0,4901,290
5438,0,5191,251
5749,0,5442,311
6000,0,5753,251
6305,0,6004,305
6574,0,6309,269
6858,0,6578,284
7217,0,6862,359
7384,0,7221,167
7683,0,7388,299
7979,0,7687,296
8350,0,7983,371
8559,0,8354,209
8873,0,8563,314
8959,0,8877,86
9336,0,8963,377
9533,0,9340,197
9805,0,9537,272
10074,0,9809,269
10289,0,10078,215
10594,0,10293,305
10875,0,10598,281
11105,0,10879,230
11359,0,11109,254
11556,0,11363,197
11783,0,11560,227
11938,0,11787,155
12210,0,11942,272
12557,0,12214,347
12826,0,12561,269
13077,0,12830,251
13322,0,13081,245
13513,0,13326,191
13869,0,13517,356
14000,0,13873,131
14290,0,14004,290
14490,0,14294,200
14783,0,14494,293
15049,0,14787,266
15324,0,15053,275
15569,0,15328,245
15823,0,15573,254
16143,0,15827,320
16475,0,16147,332
16777,0,16479,302
17043,0,16781,266
17204,0,17047,161
17425,0,17208,221
17640,0,17429,215
17960,0,17644,320
18235,0,17964,275
18471,0,18239,236
18809,0,18475,338
19018,0,18813,209
19317,0,19022,299
19550,0,19321,233
19837,0,19554,287
20103,0,19841,266
20300,0,20107,197
20584,0,20304,284
20769,0,20588,185
21020,0,20773,251
21433,0,21024,413
21756,0,21437,323
21941,0,21760,185
22168,0,21945,227
22440,0,22172,272
22781,0,22444,341
23062,0,22785,281
23352,0,23066,290
23717,0,23356,365
23920,0,23721,203
24243,0,23924,323
24491,0,24247,248
24691,0,24495,200
24963,0,24695,272
25202,0,24967,239
25561,0,25206,359
25920,0,25565,359
26144,0,25924,224
26479,0,26148,335
26784,0,26483,305
27041,0,26788,257
27310,0,27045,269
27543,0,27314,233
27875,0,27547,332
28183,0,27879,308
28422,0,28187,239
28598,0,28426,176
28888,0,28602,290
29148,0,28892,260
29387,0,29152,239
29686,0,29391,299
29940,0,29690,254
30185,0,29944,245
30526,0,30189,341
30771,0,30530,245
30998,0,30775,227
31240,0,31002,242
31488,0,31244,248
31682,0,31492,194
31870,0,31686,188
32127,0,31874,257
32342,0,32131,215
