step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
38,0,25,1,13,12,0
148,0,42,2,106,105,0
177,0,152,3,25,21,0
188,0,181,0,7,0,1
289,0,192,1,97,90,0
411,0,293,2,118,114,0
503,0,415,3,88,73,0
547,0,507,0,40,31,0
657,0,551,1,106,99,0
683,0,661,2,22,11,0
730,0,687,3,43,39,0
819,0,734,0,85,78,0
842,0,823,1,19,18,0
868,0,846,2,22,8,0
936,0,872,3,64,60,0
986,0,940,0,46,34,0
1003,0,990,1,13,8,0
1053,0,1007,2,46,37,0
1091,0,1057,3,34,33,0
1126,0,1095,0,31,23,0
1146,0,1130,1,16,9,0
1190,0,1150,2,40,39,0
1276,0,1194,3,82,80,0
1380,0,1280,0,100,95,0
1493,0,1384,1,109,94,0
1603,0,1497,2,106,97,0
1725,0,1607,3,118,111,0
1802,0,1729,0,73,66,0
1855,0,1806,1,49,36,0
1950,0,1859,2,91,79,0
2021,0,1954,3,67,63,0
2128,0,2025,0,103,91,0
2211,0,2132,1,79,70,0
2318,0,2215,2,103,93,0
2434,0,2322,3,112,100,0
2487,0,2438,0,49,42,0
2540,0,2491,1,49,36,0
2557,0,2544,2,13,6,0
2628,0,2561,3,67,66,0
2678,0,2632,0,46,37,0
2767,0,2682,1,85,78,0
2874,0,2771,2,103,99,0
2957,0,2878,3,79,67,0
2968,0,2961,0,7,0,1
3060,0,2972,1,88,84,0
3152,0,3064,2,88,84,0
3247,0,3156,3,91,87,0
3321,0,3251,0,70,46,0
3371,0,3325,1,46,31,0
3469,0,3375,2,94,78,0
3564,0,3473,3,91,82,0
3671,0,3568,0,103,88,0
3697,0,3675,1,22,8,0
3810,0,3701,2,109,99,0
3881,0,3814,3,67,43,0
3970,0,3885,0,85,63,0
4053,0,3974,1,79,60,0
4079,0,4057,2,22,6,0
4180,0,4083,3,97,75,0
4242,0,4184,0,58,46,0
4334,0,4246,1,88,71,0
4447,0,4338,2,109,92,0
4506,0,4451,3,55,40,0
4583,0,4510,0,73,53,0
4603,0,4587,1,16,2,0
4656,0,4607,2,49,34,0
4685,0,4660,3,25,10,0
4786,0,4689,0,97,93,0
4812,0,4790,1,22,13,0
4826,0,4816,2,10,6,0
4897,0,4830,3,67,53,0
4983,0,4901,0,82,72,0
5036,0,4987,1,49,31,0
5122,0,5040,2,82,75,0
5187,0,5126,3,61,47,0
5264,0,5191,0,73,59,0
5329,0,5268,1,61,46,0
5406,0,5333,2,73,63,0
5438,0,5410,3,28,10,0
5518,0,5442,0,76,62,0
5589,0,5522,1,67,60,0
5660,0,5593,2,67,52,0
5749,0,5664,3,85,68,0
5775,0,5753,0,22,5,0
5828,0,5779,1,49,29,0
5920,0,5832,2,88,76,0
6000,0,5924,3,76,57,0
6062,0,6004,0,58,48,0
6142,0,6066,1,76,57,0
6213,0,6146,2,67,45,0
6305,0,6217,3,88,74,0
6334,0,6309,0,25,8,0
6447,0,6338,1,109,95,0
6482,0,6451,2,31,9,0
6574,0,6486,3,88,75,0
6651,0,6578,0,73,55,0
6713,0,6655,1,58,33,0
6826,0,6717,2,109,93,0
6858,0,6830,3,28,16,0
6977,0,6862,0,115,98,0
7057,0,6981,1,76,61,0
7149,0,7061,2,88,72,0
7217,0,7153,3,64,42,0
7285,0,7221,0,64,47,0
7320,0,7289,1,31,14,0
7364,0,7324,2,40,15,0
7384,0,7368,3,16,0,5
7443,0,7388,0,55,43,0
7532,0,7447,1,85,76,0
7615,0,7536,2,79,54,0
7683,0,7619,3,64,24,0
7802,0,7687,0,115,87,0
7849,0,7806,1,43,0,1
7893,0,7853,2,40,6,0
7979,0,7897,3,82,52,0
8062,0,7983,0,79,47,0
8178,0,8066,1,112,76,0
8285,0,8182,2,103,66,0
8350,0,8289,3,61,23,0
8394,0,8354,0,40,1,0
8483,0,8398,1,85,58,0
8548,0,8487,2,61,31,0
8559,0,8552,3,7,0,10
8609,0,8563,0,46,22,0
8698,0,8613,1,85,69,0
8754,0,8702,2,52,28,0
8873,0,8758,3,115,55,0
8890,0,8877,0,13,0,13
8916,0,8894,1,22,1,0
8948,0,8920,2,28,1,0
8959,0,8952,3,7,0,4
9081,0,8963,0,118,77,0
9101,0,9085,1,16,0,6
9217,0,9105,2,112,80,0
9336,0,9221,3,115,71,0
9350,0,9340,0,10,0,8
9457,0,9354,1,103,67,0
9507,0,9461,2,46,15,0
9533,0,9511,3,22,0,4
9592,0,9537,0,55,16,0
9621,0,9596,1,25,4,0
9722,0,9625,2,97,88,0
9805,0,9726,3,79,53,0
9876,0,9809,0,67,39,0
9944,0,9880,1,64,33,0
10024,0,9948,2,76,47,0
10074,0,10028,3,46,12,0
10112,0,10078,0,34,6,0
10123,0,10116,1,7,0,8
10191,0,10127,2,64,55,0
10289,0,10195,3,94,72,0
10378,0,10293,0,85,71,0
10458,0,10382,1,76,15,0
10535,0,10462,2,73,23,0
10594,0,10539,3,55,22,0
10677,0,10598,0,79,51,0
10763,0,10681,1,82,49,0
10822,0,10767,2,55,19,0
10875,0,10826,3,49,26,0
10913,0,10879,0,34,0,3
11020,0,10917,1,103,71,0
11088,0,11024,2,64,33,0
11105,0,11092,3,13,0,7
11146,0,11109,0,37,0,2
11235,0,11150,1,85,51,0
11309,0,11239,2,70,48,0
11359,0,11313,3,46,0,10
11382,0,11363,0,19,0,23
11396,0,11386,1,10,0,4
11452,0,11400,2,52,25,0
11556,0,11456,3,100,57,0
11669,0,11560,0,109,38,0
11710,0,11673,1,37,0,11
11724,0,11714,2,10,0,24
11783,0,11728,3,55,30,0
11809,0,11787,0,22,0,4
11829,0,11813,1,16,0,16
11909,0,11833,2,76,0,0
11938,0,11913,3,25,3,0
12003,0,11942,0,61,14,0
12089,0,12007,1,82,2,0
12121,0,12093,2,28,0,10
12210,0,12125,3,85,35,0
12269,0,12214,0,55,0,0
12388,0,12273,1,115,71,0
12471,0,12392,2,79,10,0
12557,0,12475,3,82,30,0
12568,0,12561,0,7,0,22
12675,0,12572,1,103,64,0
12779,0,12679,2,100,47,0
12826,0,12783,3,43,0,9
12918,0,12830,0,88,0,3
12977,0,12922,1,55,0,7
13057,0,12981,2,76,14,0
13077,0,13061,3,16,0,32
13157,0,13081,0,76,0,1
13264,0,13161,1,103,44,0
13305,0,13268,2,37,0,24
13322,0,13309,3,13,0,34
13438,0,13326,0,112,60,0
13449,0,13442,1,7,0,17
13478,0,13453,2,25,0,28
13513,0,13482,3,31,0,27
13629,0,13517,0,112,94,0
13715,0,13633,1,82,2,0
13765,0,13719,2,46,0,21
13869,0,13769,3,100,25,0
13880,0,13873,0,7,0,29
13939,0,13884,1,55,0,6
13974,0,13943,2,31,0,26
14000,0,13978,3,22,0,11
14092,0,14004,0,88,0,2
14136,0,14096,1,40,0,10
14237,0,14140,2,97,0,0
14290,0,14241,3,49,0,13
14316,0,14294,0,22,0,26
14399,0,14320,1,79,0,0
14446,0,14403,2,43,0,20
14490,0,14450,3,40,0,19
14600,0,14494,0,106,16,0
14638,0,14604,1,34,0,17
14691,0,14642,2,49,0,18
14783,0,14695,3,88,18,0
14842,0,14787,0,55,0,9
14886,0,14846,1,40,0,23
14993,0,14890,2,103,10,0
15049,0,14997,3,52,0,8
15171,0,15053,0,118,21,0
15284,0,15175,1,109,29,0
15310,0,15288,2,22,0,30
15324,0,15314,3,10,0,35
15353,0,15328,0,25,0,21
15436,0,15357,1,79,39,0
15534,0,15440,2,94,0,2
15569,0,15538,3,31,0,28
15649,0,15573,0,76,0,5
15669,0,15653,1,16,0,24
15743,0,15673,2,70,0,5
15823,0,15747,3,76,0,2
15936,0,15827,0,109,28,0
15947,0,15940,1,7,0,36
16045,0,15951,2,94,0,0
16143,0,16049,3,94,6,0
16253,0,16147,0,106,33,0
16372,0,16257,1,115,39,0
16410,0,16376,2,34,0,25
16475,0,16414,3,61,0,13
16555,0,16479,0,76,7,0
16644,0,16559,1,85,23,0
16745,0,16648,2,97,9,0
16777,0,16749,3,28,0,28
16848,0,16781,0,67,8,0
16934,0,16852,1,82,0,1
16945,0,16938,2,7,0,36
17043,0,16949,3,94,1,0
17078,0,17047,0,31,0,14
17179,0,17082,1,97,15,0
17193,0,17183,2,10,0,35
17204,0,17197,3,7,0,35
17263,0,17208,0,55,0,4
17331,0,17267,1,64,15,0
17381,0,17335,2,46,0,22
17425,0,17385,3,40,0,23
17460,0,17429,0,31,0,16
17501,0,17464,1,37,0,3
17521,0,17505,2,16,0,31
17640,0,17525,3,115,22,0
17756,0,17644,0,112,30,0
17788,0,17760,1,28,0,26
17901,0,17792,2,109,16,0
17960,0,17905,3,55,0,15
18076,0,17964,0,112,60,0
18108,0,18080,1,28,0,24
18137,0,18112,2,25,0,29
18235,0,18141,3,94,3,0
18348,0,18239,0,109,74,0
18362,0,18352,1,10,0,35
18373,0,18366,2,7,0,36
18471,0,18377,3,94,39,0
18545,0,18475,0,70,48,0
18634,0,18549,1,85,13,0
18756,0,18638,2,118,24,0
18809,0,18760,3,49,0,18
18829,0,18813,0,16,0,17
18921,0,18833,1,88,21,0
18986,0,18925,2,61,0,5
19018,0,18990,3,28,0,28
19119,0,19022,0,97,30,0
19217,0,19123,1,94,26,0
19291,0,19221,2,70,0,12
19317,0,19295,3,22,0,30
19388,0,19321,0,67,31,0
19429,0,19392,1,37,0,13
19503,0,19433,2,70,0,10
19550,0,19507,3,43,0,20
19657,0,19554,0,103,73,0
19695,0,19661,1,34,0,19
19793,0,19699,2,94,1,0
19837,0,19797,3,40,0,21
19947,0,19841,0,106,63,0
20012,0,19951,1,61,0,12
20083,0,20016,2,67,0,11
20103,0,20087,3,16,0,33
20189,0,20107,0,82,62,0
20212,0,20193,1,19,0,32
20271,0,20216,2,55,0,12
20300,0,20275,3,25,0,29
20356,0,20304,0,52,24,0
20466,0,20360,1,106,19,0
20495,0,20470,2,25,0,29
20584,0,20499,3,85,0,0
20640,0,20588,0,52,0,6
20744,0,20644,1,100,38,0
20755,0,20748,2,7,0,36
20769,0,20759,3,10,0,34
20879,0,20773,0,106,62,0
20935,0,20883,1,52,0,1
20991,0,20939,2,52,0,18
21020,0,20995,3,25,0,25
21142,0,21024,0,118,84,0
21204,0,21146,1,58,0,7
21326,0,21208,2,118,22,0
21433,0,21330,3,103,15,0
21510,0,21437,0,73,15,0
21608,0,21514,1,94,16,0
21646,0,21612,2,34,0,26
21756,0,21650,3,106,16,0
21827,0,21760,0,67,29,0
21862,0,21831,1,31,0,22
21930,0,21866,2,64,0,11
21941,0,21934,3,7,0,21
21967,0,21945,0,22,0,1
21978,0,21971,1,7,0,24
22055,0,21982,2,73,30,0
22168,0,22059,3,109,25,0
22278,0,22172,0,106,70,0
22364,0,22282,1,82,0,2
22378,0,22368,2,10,0,34
22440,0,22382,3,58,0,8
22547,0,22444,0,103,68,0
22564,0,22551,1,13,0,18
22677,0,22568,2,109,16,0
22781,0,22681,3,100,6,0
22849,0,22785,0,64,30,0
22908,0,22853,1,55,0,9
23024,0,22912,2,112,45,0
23062,0,23028,3,34,0,25
23124,0,23066,0,58,33,0
23231,0,23128,1,103,28,0
23311,0,23235,2,76,12,0
23352,0,23315,3,37,0,23
23459,0,23356,0,103,65,0
23560,0,23463,1,97,68,0
23661,0,23564,2,97,67,0
23717,0,23665,3,52,0,15
23734,0,23721,0,13,0,7
23850,0,23738,1,112,94,0
23873,0,23854,2,19,0,6
23920,0,23877,3,43,0,21
23964,0,23924,0,40,11,0
24023,0,23968,1,55,39,0
24136,0,24027,2,109,81,0
24243,0,24140,3,103,17,0
24257,0,24247,0,10,0,12
24358,0,24261,1,97,61,0
24435,0,24362,2,73,50,0
24491,0,24439,3,52,0,6
24562,0,24495,0,67,4,0
24576,0,24566,1,10,0,9
24644,0,24580,2,64,41,0
24691,0,24648,3,43,18,0
24753,0,24695,0,58,37,0
24839,0,24757,1,82,46,0
24877,0,24843,2,34,5,0
24963,0,24881,3,82,57,0
25031,0,24967,0,64,31,0
25045,0,25035,1,10,0,5
25113,0,25049,2,64,36,0
25202,0,25117,3,85,57,0
25318,0,25206,0,112,95,0
25410,0,25322,1,88,41,0
25526,0,25414,2,112,89,0
25561,0,25530,3,31,0,3
25677,0,25565,0,112,91,0
25721,0,25681,1,40,17,0
25831,0,25725,2,106,97,0
25920,0,25835,3,85,65,0
25958,0,25924,0,34,18,0
25993,0,25962,1,31,17,0
26106,0,25997,2,109,95,0
26144,0,26110,3,34,20,0
26230,0,26148,0,82,70,0
26265,0,26234,1,31,13,0
26378,0,26269,2,109,100,0
26479,0,26382,3,97,77,0
26505,0,26483,0,22,3,0
26609,0,26509,1,100,86,0
26683,0,26613,2,70,58,0
26784,0,26687,3,97,85,0
26837,0,26788,0,49,30,0
26866,0,26841,1,25,5,0
26955,0,26870,2,85,75,0
27041,0,26959,3,82,70,0
27133,0,27045,0,88,63,0
27165,0,27137,1,28,5,0
27278,0,27169,2,109,99,0
27310,0,27282,3,28,8,0
27351,0,27314,0,37,16,0
27434,0,27355,1,79,68,0
27445,0,27438,2,7,0,2
27543,0,27449,3,94,82,0
27602,0,27547,0,55,43,0
27670,0,27606,1,64,50,0
27792,0,27674,2,118,94,0
27875,0,27796,3,79,69,0
27931,0,27879,0,52,35,0
28002,0,27935,1,67,47,0
28115,0,28006,2,109,80,0
28183,0,28119,3,64,42,0
28254,0,28187,0,67,42,0
28298,0,28258,1,40,21,0
28336,0,28302,2,34,21,0
28422,0,28340,3,82,70,0
28499,0,28426,0,73,66,0
28549,0,28503,1,46,31,0
28566,0,28553,2,13,0,2
28598,0,28570,3,28,19,0
28684,0,28602,0,82,72,0
28737,0,28688,1,49,36,0
28796,0,28741,2,55,30,0
28888,0,28800,3,88,76,0
28974,0,28892,0,82,65,0
29003,0,28978,1,25,0,0
29116,0,29007,2,109,97,0
29148,0,29120,3,28,10,0
