step,tl_id,previous_state,current_state,action,reward
25,0,0_0_2_0_2,1_1_0_0_1,19,0.9885335867626606
78,0,1_1_0_0_1,1_1_1_1_2,16,0.9749481221994695
122,0,1_1_1_1_2,1_1_0_1_3,13,0.969868296608186
187,0,1_1_0_1_3,2_1_0_1_0,20,0.9571225998725251
246,0,2_1_0_1_0,0_2_1_1_1,18,0.9593563662444278
344,0,0_2_1_1_1,1_0_1_2_2,31,0.9472840835325624
466,0,1_0_1_2_2,2_1_1_3_3,39,0.927832573739552
585,0,2_1_1_3_3,2_2_1_0_0,38,0.9291249070304123
674,0,2_2_1_0_0,0_2_2_1_1,28,0.9315236049536926
754,0,0_2_2_1_1,1_0_2_1_2,25,0.9382754792401142
774,0,1_0_2_1_2,1_0_1_1_3,5,0.9646090473986955
878,0,1_0_1_1_3,2_1_1_1_0,33,0.961273329503699
928,0,2_1_1_1_0,1_1_1_1_1,15,0.9711549110594357
990,0,1_1_1_1_1,2_0_2_1_2,19,0.9563322385217768
1112,0,2_0_2_1_2,2_1_0_2_3,39,0.9440262417252671
1174,0,2_1_0_2_3,3_2_0_0_0,19,0.9426243071014324
1290,0,3_2_0_0_0,1_3_1_1_1,37,0.9397195449833159
1328,0,1_3_1_1_1,1_1_1_1_2,11,0.9694481413371334
1357,0,1_1_1_1_2,1_1_1_1_3,8,0.9699222823512038
1404,0,1_1_1_1_3,1_1_1_0_0,14,0.9597639231958005
1493,0,1_1_1_0_0,0_2_1_1_1,28,0.944266295474711
1591,0,0_2_1_1_1,1_1_2_1_2,31,0.9483435882478433
1695,0,1_1_2_1_2,2_2_0_1_3,33,0.9431021269058255
1754,0,2_2_0_1_3,2_2_1_1_0,18,0.9443098356112243
1777,0,2_2_1_1_0,1_2_2_1_1,6,0.9488646297618871
1872,0,1_2_2_1_1,2_1_2_1_2,30,0.945672994796797
1940,0,2_1_2_1_2,2_1_1_1_3,21,0.9454274668271343
2041,0,2_1_1_1_3,2_1_1_0_0,32,0.9328202090737215
2052,0,2_1_1_0_0,1_1_2_1_1,2,0.9487772534894653
2069,0,1_1_2_1_1,1_1_2_1_2,4,0.9585956808955897
2086,0,1_1_2_1_2,1_1_1_1_3,4,0.9734935434003773
2115,0,1_1_1_1_3,1_1_1_0_0,8,0.96537732476498
2231,0,1_1_1_0_0,1_2_2_1_1,37,0.9439599384237662
2314,0,1_2_2_1_1,1_1_2_2_2,26,0.9492660199486737
2427,0,1_1_2_2_2,1_2_0_2_3,36,0.9403030738604689
2444,0,1_2_0_2_3,1_2_0_0_0,4,0.9579702249148093
2494,0,1_2_0_0_0,0_2_1_1_1,15,0.9567323306105122
2544,0,0_2_1_1_1,1_1_1_1_2,15,0.9688766141469144
2663,0,1_1_1_1_2,2_1_0_2_3,38,0.9522406949979317
2740,0,2_1_0_2_3,3_2_1_1_0,24,0.9396251472490018
2817,0,3_2_1_1_0,0_2_1_1_1,24,0.9540029006699371
2894,0,0_2_1_1_1,0_1_2_1_2,24,0.9540123080127815
2980,0,0_1_2_1_2,1_1_1_2_3,27,0.954166050861532
3066,0,1_1_1_2_3,2_1_1_0_0,27,0.9536279859920588
3158,0,2_1_1_0_0,1_2_2_0_1,29,0.9485503278671882
3169,0,1_2_2_0_1,1_1_2_0_2,2,0.9628113078815453
3288,0,1_1_2_0_2,2_2_1_1_3,38,0.9578968891546409
