step,tl_id,new_state
21,0,1
74,0,2
115,0,3
210,0,0
293,0,1
400,0,2
420,0,3
488,0,0
547,0,1
561,0,2
584,0,3
622,0,0
654,0,1
677,0,2
769,0,3
852,0,0
872,0,1
967,0,2
993,0,3
1115,0,0
1219,0,1
1266,0,2
1334,0,3
1360,0,0
1392,0,1
1505,0,2
1594,0,3
1665,0,0
1775,0,1
1801,0,2
1857,0,3
1913,0,0
1987,0,1
2106,0,2
2132,0,3
2200,0,0
2265,0,1
2357,0,2
2407,0,3
2418,0,0
2462,0,1
2524,0,2
2637,0,3
2738,0,0
2827,0,1
2925,0,2
2951,0,3
3043,0,0
3084,0,1
3167,0,2
3202,0,3
3225,0,0
3236,0,1
3352,0,2
3378,0,3
3464,0,0
3532,0,1
3573,0,2
3680,0,3
3745,0,0
3816,0,1
3917,0,2
3988,0,3
4011,0,0
4067,0,1
4087,0,2
4185,0,3
4220,0,0
4297,0,1
4398,0,2
4469,0,3
4546,0,0
4662,0,1
4778,0,2
4864,0,3
4920,0,0
5033,0,1
5149,0,2
5163,0,3
5186,0,0
5272,0,1
5394,0,2
5501,0,3
5524,0,0
5640,0,1
5696,0,2
5818,0,3
5910,0,0
5933,0,1
6007,0,2
6123,0,3
6176,0,0
6265,0,1
6357,0,2
6428,0,3
6463,0,0
6516,0,1
6533,0,2
6562,0,3
6585,0,0
6614,0,1
6637,0,2
6726,0,3
6785,0,0
6865,0,1
6885,0,2
6974,0,3
7066,0,0
7149,0,1
7181,0,2
7240,0,3
7341,0,0
7409,0,1
7507,0,2
7569,0,3
7622,0,0
7672,0,1
7725,0,2
7823,0,3
7852,0,0
7920,0,1
8042,0,2
8053,0,3
8112,0,0
8123,0,1
8209,0,2
8322,0,3
8357,0,0
8401,0,1
8454,0,2
8489,0,3
8524,0,0
8646,0,1
8714,0,2
8749,0,3
8808,0,0
8831,0,1
8860,0,2
8964,0,3
9083,0,0
9175,0,1
9195,0,2
9212,0,3
9325,0,0
9363,0,1
9410,0,2
9505,0,3
9528,0,0
9554,0,1
9655,0,2
9717,0,3
9830,0,0
9910,0,1
9939,0,2
10028,0,3
10048,0,0
10143,0,1
10196,0,2
10267,0,3
10383,0,0
10475,0,1
10534,0,2
10629,0,3
10751,0,0
10822,0,1
10857,0,2
10970,0,3
11023,0,0
11109,0,1
11129,0,2
11170,0,3
11199,0,0
11300,0,1
11344,0,2
11406,0,3
11492,0,0
11593,0,1
11697,0,2
11729,0,3
11839,0,0
11853,0,1
11945,0,2
12025,0,3
12135,0,0
12203,0,1
12265,0,2
12315,0,3
12395,0,0
12484,0,1
12507,0,2
12536,0,3
12553,0,0
12621,0,1
12662,0,2
12733,0,3
12804,0,0
12905,0,1
12949,0,2
12960,0,3
13007,0,0
13030,0,1
13101,0,2
13154,0,3
13207,0,0
13302,0,1
13394,0,2
13474,0,3
13587,0,0
13706,0,1
13762,0,2
13773,0,3
13856,0,0
13900,0,1
13989,0,2
14078,0,3
14191,0,0
14232,0,1
14270,0,2
14347,0,3
14442,0,0
14543,0,1
14584,0,2
14673,0,3
14726,0,0
14755,0,1
14856,0,2
14906,0,3
14974,0,0
15048,0,1
15077,0,2
15175,0,3
15228,0,0
15293,0,1
15403,0,2
15417,0,3
15458,0,0
15577,0,1
15681,0,2
15758,0,3
15772,0,0
15879,0,1
15968,0,2
15991,0,3
16032,0,0
16100,0,1
16147,0,2
16176,0,3
16238,0,0
16288,0,1
16359,0,2
16472,0,3
16567,0,0
16656,0,1
16745,0,2
16849,0,3
16941,0,0
16994,0,1
17056,0,2
17157,0,3
17213,0,0
17290,0,1
17406,0,2
17438,0,3
17482,0,0
17595,0,1
17660,0,2
17674,0,3
17715,0,0
17837,0,1
17914,0,2
17997,0,3
18029,0,0
