step,tl_id,start_at_step,cycle_time
222,0,-1,227
446,0,226,224
667,0,450,221
975,0,671,308
1172,0,979,197
1462,0,1176,290
1743,0,1466,281
1934,0,1747,191
2197,0,1938,263
2526,0,2201,329
2804,0,2530,278
3076,0,2808,272
3234,0,3080,158
3539,0,3238,305
3727,0,3543,188
3906,0,3731,179
4268,0,3910,362
4549,0,4272,281
4863,0,4553,314
5099,0,4867,236
5434,0,5103,335
5670,0,5438,236
5864,0,5674,194
6100,0,5868,236
6504,0,6104,404
6755,0,6508,251
7027,0,6759,272
7257,0,7031,230
7598,0,7261,341
7783,0,7602,185
7929,0,7787,146
8186,0,7933,257
8461,0,8190,275
8781,0,8465,320
9152,0,8785,371
9487,0,9156,335
9735,0,9491,248
9938,0,9739,203
10150,0,9942,212
10419,0,10154,269
10682,0,10423,263
10966,0,10686,284
11151,0,10970,185
11411,0,11155,260
11587,0,11415,176
11832,0,11591,245
12134,0,11836,302
12238,0,12138,104
12432,0,12242,194
12635,0,12436,203
12919,0,12639,284
13203,0,12923,284
13424,0,13207,221
13636,0,13428,212
13836,0,13640,200
14102,0,13840,266
14389,0,14106,287
14571,0,14393,182
14744,0,14575,173
15094,0,14748,350
15393,0,15098,299
15599,0,15397,206
15949,0,15603,350
16113,0,15953,164
16325,0,16117,212
16624,0,16329,299
16947,0,16628,323
17093,0,16951,146
17329,0,17097,236
17607,0,17333,278
17846,0,17611,239
18220,0,17850,374
18486,0,18224,266
18854,0,18490,368
19192,0,18858,338
19491,0,19196,299
19772,0,19495,281
19984,0,19776,212
20184,0,19988,200
20477,0,20188,293
20698,0,20481,221
20790,0,20702,92
21074,0,20794,284
21358,0,21078,284
21741,0,21362,383
22109,0,21745,368
22495,0,22113,386
22881,0,22499,386
23174,0,22885,293
23404,0,23178,230
23859,0,23408,455
24194,0,23863,335
24580,0,24198,386
24951,0,24584,371
25241,0,24955,290
25621,0,25245,380
25887,0,25625,266
26141,0,25891,254
26407,0,26145,266
26637,0,26411,230
26957,0,26641,320
27322,0,26961,365
27576,0,27326,254
27812,0,27580,236
28057,0,27816,245
28338,0,28061,281
28532,0,28342,194
28759,0,28536,227
28914,0,28763,155
29201,0,28918,287
29479,0,29205,278
29904,0,29483,425
30164,0,29908,260
30514,0,30168,350
30768,0,30518,254
31019,0,30772,251
31372,0,31023,353
31530,0,31376,158
31874,0,31534,344
32074,0,31878,200
32205,0,32078,131
32453,0,32209,248
