step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
62,0,25,1,37,36,0
115,0,66,2,49,48,0
237,0,119,3,118,117,0
254,0,241,0,13,4,0
346,0,258,1,88,79,0
381,0,350,2,31,27,0
419,0,385,3,34,22,0
532,0,423,0,109,102,0
624,0,536,1,88,78,0
713,0,628,2,85,74,0
793,0,717,3,76,67,0
885,0,797,0,88,79,0
911,0,889,1,22,21,0
952,0,915,2,37,25,0
969,0,956,3,13,4,0
1076,0,973,0,103,99,0
1087,0,1080,1,7,0,1
1119,0,1091,2,28,21,0
1241,0,1123,3,118,114,0
1267,0,1245,0,22,18,0
1290,0,1271,1,19,2,0
1388,0,1294,2,94,90,0
1447,0,1392,3,55,51,0
1464,0,1451,0,13,3,0
1556,0,1468,1,88,79,0
1630,0,1560,2,70,63,0
1710,0,1634,3,76,71,0
1766,0,1714,0,52,43,0
1879,0,1770,1,109,96,0
1947,0,1883,2,64,52,0
2018,0,1951,3,67,60,0
2128,0,2022,0,106,91,0
2175,0,2132,1,43,34,0
2237,0,2179,2,58,48,0
2338,0,2241,3,97,93,0
2352,0,2342,0,10,9,0
2474,0,2356,1,118,107,0
2536,0,2478,2,58,48,0
2625,0,2540,3,85,81,0
2642,0,2629,0,13,0,1
2728,0,2646,1,82,75,0
2760,0,2732,2,28,24,0
2840,0,2764,3,76,69,0
2926,0,2844,0,82,73,0
2940,0,2930,1,10,3,0
3002,0,2944,2,58,51,0
3031,0,3006,3,25,18,0
3090,0,3035,0,55,46,0
3104,0,3094,1,10,9,0
3181,0,3108,2,73,69,0
3201,0,3185,3,16,15,0
3218,0,3205,0,13,3,0
3250,0,3222,1,28,24,0
3288,0,3254,2,34,30,0
3410,0,3292,3,118,117,0
3433,0,3414,0,19,12,0
3549,0,3437,1,112,103,0
3638,0,3553,2,85,76,0
3718,0,3642,3,76,66,0
3813,0,3722,0,91,74,0
3932,0,3817,1,115,105,0
