step,tl_id,previous_state,current_state,action,reward
25,0,0_1_0_0_1,1_1_0_0_1,31,0.9885376107443147
132,0,1_1_0_0_1,1_1_1_1_2,34,0.9632081351862967
224,0,1_1_1_1_2,2_1_1_2_3,29,0.9388966480446927
331,0,2_1_1_2_3,2_1_1_1_0,34,0.9466157255644305
426,0,2_1_1_1_0,1_2_1_1_1,30,0.9498079608938548
509,0,1_2_1_1_1,1_1_2_1_2,26,0.9518397225968022
628,0,1_1_2_1_2,1_1_1_2_3,38,0.9538298167043723
729,0,1_1_1_2_3,2_1_1_1_0,32,0.9466157255644305
833,0,2_1_1_1_0,1_1_2_1_1,33,0.9444514982224479
922,0,1_1_2_1_1,2_1_3_2_2,28,0.9246466599818555
945,0,2_1_3_2_2,2_1_1_2_3,6,0.9458196879214025
1028,0,2_1_1_2_3,3_2_1_1_0,26,0.9405837754096052
1048,0,3_2_1_1_0,1_2_2_1_1,5,0.9509948054493776
1167,0,1_2_2_1_1,2_1_1_1_2,38,0.9441340782122905
1271,0,2_1_1_1_2,2_2_0_1_3,33,0.9283770233490904
1384,0,2_2_0_1_3,2_3_1_0_0,36,0.9186780785942797
1395,0,2_3_1_0_0,2_3_2_0_1,2,0.9289316260443962
1421,0,2_3_2_0_1,2_0_2_0_2,7,0.9559468490575889
1456,0,2_0_2_0_2,2_1_0_1_3,10,0.9672660614525139
1497,0,2_1_0_1_3,2_2_1_1_0,12,0.9589660029604163
1595,0,2_2_1_1_0,1_3_1_1_1,31,0.9425337523277467
1618,0,1_3_1_1_1,1_0_1_1_2,6,0.9614663546227792
1731,0,1_0_1_1_2,1_2_1_1_3,36,0.9435621749181275
1811,0,1_2_1_1_3,2_2_2_0_0,25,0.9353115023942539
1822,0,2_2_2_0_0,1_2_2_0_1,2,0.9512431425839247
1869,0,1_2_2_0_1,2_1_2_0_2,14,0.9516936052503119
1946,0,2_1_2_0_2,2_1_0_1_3,24,0.9476256983240223
2008,0,2_1_0_1_3,2_1_1_1_0,19,0.9490223463687151
2046,0,2_1_1_1_0,0_1_1_1_1,11,0.9563547486033519
2114,0,0_1_1_1_1,1_1_2_1_2,21,0.9582523682292932
2233,0,1_1_2_1_2,1_2_1_2_3,38,0.9447160148975792
2349,0,1_2_1_2_3,1_2_2_0_0,37,0.9350916774101132
2420,0,1_2_2_0_0,1_3_1_1_1,22,0.9247495665575034
2500,0,1_3_1_1_1,1_1_2_1_2,25,0.9468982774674115
2622,0,1_1_2_1_2,2_1_0_2_3,39,0.9420571662492776
2675,0,2_1_0_2_3,2_2_1_1_0,16,0.9413046619148526
2758,0,2_2_1_1_0,1_2_1_1_1,26,0.9553072625698324
2823,0,1_2_1_1_1,1_1_1_1_2,20,0.9596010896163257
2882,0,1_1_1_1_2,1_1_0_2_3,18,0.9563547486033519
2956,0,1_1_0_2_3,2_1_1_1_0,23,0.9570821694599627
3042,0,2_1_1_1_0,1_1_1_1_1,27,0.9596010896163257
3125,0,1_1_1_1_1,1_1_2_1_2,26,0.9493151919264733
3238,0,1_1_2_1_2,3_1_1_1_3,36,0.9432611731843575
3345,0,3_1_1_1_3,2_2_2_0_0,34,0.9306152413694313
3434,0,2_2_2_0_0,0_2_2_1_1,28,0.933779618570603
3484,0,0_2_2_1_1,1_1_2_1_2,15,0.9508532463264635
3549,0,1_1_2_1_2,2_1_0_2_3,20,0.9540576301087915
3605,0,2_1_0_2_3,2_1_1_0_0,17,0.9536980811270342
3667,0,2_1_1_0_0,1_1_2_2_1,19,0.9448324022346368
3774,0,1_1_2_2_1,3_0_3_2_2,34,0.8955498257174235
3866,0,3_0_3_2_2,3_2_1_4_3,29,0.8777932960893855
3964,0,3_2_1_4_3,4_2_2_1_0,31,0.8824103144189482
4080,0,4_2_2_1_0,1_3_2_3_1,37,0.865817904797082
4145,0,1_3_2_3_1,1_1_3_4_2,20,0.8730319959370239
4177,0,1_1_3_4_2,2_2_0_4_3,9,0.8916393758428048
4209,0,2_2_0_4_3,2_2_1_2_0,9,0.937758076269128
4244,0,2_2_1_2_0,1_2_2_2_1,10,0.9437789982009279
4291,0,1_2_2_2_1,1_1_2_2_2,14,0.9422872708804654
4320,0,1_1_2_2_2,1_1_1_2_3,8,0.9447906221649238
4415,0,1_1_1_2_3,3_2_2_0_0,30,0.9097252065129161
4447,0,3_2_2_0_0,1_2_2_1_1,9,0.9294401769087524
4563,0,1_2_2_1_1,2_1_3_3_2,37,0.8903458146728842
4664,0,2_1_3_3_2,3_2_0_4_3,32,0.881374444921931
4756,0,3_2_0_4_3,4_2_1_1_0,29,0.9056699405298252
4788,0,4_2_1_1_0,1_3_1_1_1,9,0.9343517706265294
4811,0,1_3_1_1_1,2_1_1_2_2,6,0.9548999068901304
4888,0,2_1_1_2_2,2_3_1_2_3,24,0.9192021792326516
4941,0,2_3_1_2_3,2_3_1_1_0,16,0.9014219321903294
5045,0,2_3_1_1_0,1_5_2_2_1,33,0.8802460870769657
5152,0,1_5_2_2_1,2_1_3_3_2,34,0.88268156424581
5196,0,2_1_3_3_2,3_1_1_4_3,13,0.8881815873309017
5255,0,3_1_1_4_3,3_2_1_1_0,18,0.9155027932960894
5350,0,3_2_1_1_0,1_2_3_1_1,30,0.9105452698647214
5463,0,1_2_3_1_1,2_1_4_2_2,36,0.8845745417609308
5528,0,2_1_4_2_2,2_1_1_3_3,20,0.9098238607507272
5578,0,2_1_1_3_3,3_1_1_1_0,15,0.9271376794865875
5625,0,3_1_1_1_0,0_2_2_1_1,14,0.939568113450795
5732,0,0_2_2_1_1,1_1_3_3_2,34,0.8997241331548086
5827,0,1_1_3_3_2,3_1_1_4_3,30,0.8881815873309017
5943,0,3_1_1_4_3,3_2_2_1_0,37,0.8939528602428553
6038,0,3_2_2_1_0,1_4_3_2_1,30,0.8759176323930006
6067,0,1_4_3_2_1,1_1_3_3_2,8,0.9099162011173184
6138,0,1_1_3_3_2,2_2_1_3_3,22,0.9182960893854748
6230,0,2_2_1_3_3,3_2_2_1_0,29,0.8997241331548087
6337,0,3_2_2_1_0,1_3_4_2_1,34,0.8701463594810471
6435,0,1_3_4_2_1,2_1_4_3_2,31,0.8645251396648045
6521,0,2_1_4_3_2,3_2_1_3_3,27,0.8809674961909599
6625,0,3_2_1_3_3,3_4_2_1_0,33,0.8737534050510181
6681,0,3_4_2_1_0,1_5_2_1_1,17,0.8836126629422719
6758,0,1_5_2_1_1,2_1_3_2_2,24,0.9105452698647214
6847,0,2_1_3_2_2,3_3_1_2_3,28,0.909102451636733
6900,0,3_3_1_2_3,3_3_1_1_0,16,0.9025256052141527
6923,0,3_3_1_1_0,1_3_2_1_1,6,0.9358377500835602
6961,0,1_3_2_1_1,1_1_2_1_2,11,0.9483531191806331
6984,0,1_1_2_1_2,1_1_1_2_3,6,0.9503347139279522
7046,0,1_1_1_2_3,2_2_2_0_0,19,0.934532122905028
7153,0,2_2_2_0_0,1_4_3_2_1,34,0.8843400837988826
7179,0,1_4_3_2_1,1_2_3_2_2,7,0.9127094972067039
7301,0,1_2_3_2_2,4_2_1_3_3,39,0.8542753589731751
7390,0,4_2_1_3_3,5_3_4_1_0,28,0.8157200496585971
7452,0,5_3_4_1_0,2_4_5_3_1,19,0.8191340782122905
7490,0,2_4_5_3_1,2_1_6_4_2,11,0.8362401311233205
7594,0,2_1_6_4_2,3_4_1_4_3,33,0.8239761761854194
7695,0,3_4_1_4_3,5_5_3_1_0,32,0.802333902765594
