step,tl_id,new_state
21,0,1
92,0,2
106,0,3
180,0,0
284,0,1
367,0,2
426,0,3
506,0,0
553,0,1
564,0,2
677,0,3
706,0,0
780,0,1
839,0,2
916,0,3
984,0,0
1052,0,1
1165,0,2
1209,0,3
1244,0,0
1261,0,1
1380,0,2
1430,0,3
1474,0,0
1587,0,1
1670,0,2
1729,0,3
1788,0,0
1892,0,1
1933,0,2
1971,0,3
2009,0,0
2056,0,1
2178,0,2
2288,0,3
2401,0,0
2427,0,1
2459,0,2
2566,0,3
2577,0,0
2690,0,1
2812,0,2
2844,0,3
2903,0,0
2953,0,1
2994,0,2
3101,0,3
3112,0,0
3225,0,1
3281,0,2
3358,0,3
3462,0,0
3494,0,1
3616,0,2
3648,0,3
3707,0,0
3790,0,1
3867,0,2
3881,0,3
3973,0,0
3984,0,1
3995,0,2
4033,0,3
4149,0,0
4181,0,1
4279,0,2
4332,0,3
4454,0,0
4480,0,1
4515,0,2
4607,0,3
4654,0,0
4707,0,1
4772,0,2
4852,0,3
4971,0,0
5054,0,1
5143,0,2
5256,0,3
5318,0,0
5425,0,1
5442,0,2
5555,0,3
5668,0,0
5775,0,1
5858,0,2
5893,0,3
5913,0,0
5972,0,1
6037,0,2
6150,0,3
6182,0,0
6292,0,1
6384,0,2
6452,0,3
6556,0,0
6657,0,1
6746,0,2
6760,0,3
6837,0,0
6848,0,1
6877,0,2
6948,0,3
6983,0,0
7054,0,1
7080,0,2
7169,0,3
7270,0,0
7287,0,1
7367,0,2
7480,0,3
7539,0,0
7628,0,1
7678,0,2
7713,0,3
7832,0,0
7921,0,1
8034,0,2
8060,0,3
8131,0,0
8247,0,1
8270,0,2
8359,0,3
8430,0,0
8477,0,1
8539,0,2
8589,0,3
8693,0,0
8737,0,1
8799,0,2
8906,0,3
8980,0,0
9096,0,1
9173,0,2
9238,0,3
9324,0,0
9383,0,1
9421,0,2
9444,0,3
9518,0,0
9583,0,1
9663,0,2
9725,0,3
9754,0,0
9810,0,1
9932,0,2
10048,0,3
10065,0,0
10148,0,1
10171,0,2
10233,0,3
10271,0,0
10351,0,1
10371,0,2
10445,0,3
10555,0,0
