step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
95,0,25,1,70,69,0
115,0,99,2,16,15,0
225,0,119,3,106,105,0
263,0,229,0,34,24,0
355,0,267,1,88,79,0
465,0,359,2,106,103,0
557,0,469,3,88,78,0
580,0,561,0,19,9,0
702,0,584,1,118,108,0
815,0,706,2,109,97,0
931,0,819,3,112,102,0
969,0,935,0,34,22,0
1010,0,973,1,37,33,0
1024,0,1014,2,10,1,0
1050,0,1028,3,22,21,0
1088,0,1054,0,34,24,0
1147,0,1092,1,55,51,0
1230,0,1151,2,79,75,0
1340,0,1234,3,106,99,0
1459,0,1344,0,115,105,0
1506,0,1463,1,43,21,0
1559,0,1510,2,49,39,0
1570,0,1563,3,7,2,0
1635,0,1574,0,61,60,0
1652,0,1639,1,13,7,0
1720,0,1656,2,64,63,0
1743,0,1724,3,19,14,0
1808,0,1747,0,61,60,0
1918,0,1812,1,106,99,0
2001,0,1922,2,79,62,0
2024,0,2005,3,19,14,0
2131,0,2028,0,103,91,0
2184,0,2135,1,49,39,0
2237,0,2188,2,49,39,0
2302,0,2241,3,61,56,0
2367,0,2306,0,61,60,0
2489,0,2371,1,118,107,0
2596,0,2493,2,103,94,0
2619,0,2600,3,19,12,0
2645,0,2623,0,22,13,0
2686,0,2649,1,37,30,0
2706,0,2690,2,16,12,0
2816,0,2710,3,106,99,0
2863,0,2820,0,43,33,0
2904,0,2867,1,37,30,0
2972,0,2908,2,64,57,0
2986,0,2976,3,10,3,0
3039,0,2990,0,49,44,0
3155,0,3043,1,112,111,0
3184,0,3159,2,25,16,0
3240,0,3188,3,52,51,0
3251,0,3244,0,7,0,4
3277,0,3255,1,22,17,0
3339,0,3281,2,58,51,0
3389,0,3343,3,46,42,0
3412,0,3393,0,19,7,0
3492,0,3416,1,76,69,0
3512,0,3496,2,16,8,0
3535,0,3516,3,19,12,0
3561,0,3539,0,22,13,0
3602,0,3565,1,37,33,0
3622,0,3606,2,16,12,0
3660,0,3626,3,34,30,0
3698,0,3664,0,34,27,0
3721,0,3702,1,19,18,0
3741,0,3725,2,16,11,0
3785,0,3745,3,40,33,0
3856,0,3789,0,67,56,0
3936,0,3860,1,76,67,0
3962,0,3940,2,22,9,0
4036,0,3966,3,70,58,0
4101,0,4040,0,61,54,0
4199,0,4105,1,94,85,0
4261,0,4203,2,58,48,0
4362,0,4265,3,97,78,0
4466,0,4366,0,100,86,0
4561,0,4470,1,91,76,0
4650,0,4565,2,85,60,0
4760,0,4654,3,106,82,0
4834,0,4764,0,70,49,0
4914,0,4838,1,76,60,0
4988,0,4918,2,70,61,0
5011,0,4992,3,19,7,0
5109,0,5015,0,94,83,0
5228,0,5113,1,115,96,0
5308,0,5232,2,76,61,0
5349,0,5312,3,37,4,0
5453,0,5353,0,100,81,0
5572,0,5457,1,115,99,0
5661,0,5576,2,85,59,0
5780,0,5665,3,115,95,0
5806,0,5784,0,22,0,1
5886,0,5810,1,76,55,0
5927,0,5890,2,37,22,0
6028,0,5931,3,97,77,0
6126,0,6032,0,94,84,0
6236,0,6130,1,106,80,0
6298,0,6240,2,58,31,0
6342,0,6302,3,40,28,0
6380,0,6346,0,34,21,0
6502,0,6384,1,118,110,0
6615,0,6506,2,109,87,0
6701,0,6619,3,82,67,0
6763,0,6705,0,58,35,0
6855,0,6767,1,88,63,0
6869,0,6859,2,10,0,3
6946,0,6873,3,73,63,0
7032,0,6950,0,82,68,0
7067,0,7036,1,31,19,0
7168,0,7071,2,97,74,0
7281,0,7172,3,109,89,0
7298,0,7285,0,13,0,6
7387,0,7302,1,85,67,0
7455,0,7391,2,64,33,0
7496,0,7459,3,37,8,0
7510,0,7500,0,10,0,12
7572,0,7514,1,58,49,0
7625,0,7576,2,49,26,0
7645,0,7629,3,16,4,0
7728,0,7649,0,79,45,0
7805,0,7732,1,73,43,0
7849,0,7809,2,40,4,0
7869,0,7853,3,16,0,8
7958,0,7873,0,85,68,0
8035,0,7962,1,73,53,0
8133,0,8039,2,94,75,0
8189,0,8137,3,52,8,0
8296,0,8193,0,103,66,0
8319,0,8300,1,19,0,7
8423,0,8323,2,100,67,0
8515,0,8427,3,88,51,0
8607,0,8519,0,88,59,0
8618,0,8611,1,7,0,22
8647,0,8622,2,25,0,2
8712,0,8651,3,61,36,0
8801,0,8716,0,85,65,0
8830,0,8805,1,25,0,19
8856,0,8834,2,22,0,6
8939,0,8860,3,79,61,0
8953,0,8943,0,10,0,3
9024,0,8957,1,67,6,0
9101,0,9028,2,73,18,0
9154,0,9105,3,49,24,0
9252,0,9158,0,94,59,0
9344,0,9256,1,88,62,0
9388,0,9348,2,40,9,0
9468,0,9392,3,76,44,0
9527,0,9472,0,55,29,0
9616,0,9531,1,85,57,0
9705,0,9620,2,85,60,0
9776,0,9709,3,67,39,0
9865,0,9780,0,85,55,0
9960,0,9869,1,91,63,0
10058,0,9964,2,94,60,0
10135,0,10062,3,73,33,0
10149,0,10139,0,10,0,9
10184,0,10153,1,31,5,0
10231,0,10188,2,43,29,0
10302,0,10235,3,67,50,0
10343,0,10306,0,37,1,0
10375,0,10347,1,28,1,0
10467,0,10379,2,88,65,0
10586,0,10471,3,115,93,0
10633,0,10590,0,43,4,0
10662,0,10637,1,25,0,8
10760,0,10666,2,94,55,0
10861,0,10764,3,97,79,0
10944,0,10865,0,79,21,0
11045,0,10948,1,97,26,0
11068,0,11049,2,19,0,11
11169,0,11072,3,97,68,0
11267,0,11173,0,94,43,0
11290,0,11271,1,19,0,11
11343,0,11294,2,49,0,7
11459,0,11347,3,112,67,0
11560,0,11463,0,97,49,0
11643,0,11564,1,79,3,0
11669,0,11647,2,22,0,28
11776,0,11673,3,103,68,0
11811,0,11780,0,31,0,7
11903,0,11815,1,88,42,0
11968,0,11907,2,61,0,13
12027,0,11972,3,55,8,0
12125,0,12031,0,94,25,0
12193,0,12129,1,64,18,0
12309,0,12197,2,112,28,0
12344,0,12313,3,31,0,10
12400,0,12348,0,52,11,0
12438,0,12404,1,34,0,7
12482,0,12442,2,40,3,0
12502,0,12486,3,16,0,16
12525,0,12506,0,19,0,4
12599,0,12529,1,70,31,0
12688,0,12603,2,85,51,0
12792,0,12692,3,100,13,0
12899,0,12796,0,103,52,0
12934,0,12903,1,31,0,17
13008,0,12938,2,70,0,0
13019,0,13012,3,7,0,24
13087,0,13023,0,64,33,0
13143,0,13091,1,52,0,8
13259,0,13147,2,112,42,0
13270,0,13263,3,7,0,36
13290,0,13274,0,16,0,8
13349,0,13294,1,55,0,10
13423,0,13353,2,70,46,0
13545,0,13427,3,118,42,0
13634,0,13549,0,85,1,0
13714,0,13638,1,76,0,0
13746,0,13718,2,28,0,20
13853,0,13750,3,103,38,0
13891,0,13857,0,34,0,22
13935,0,13895,1,40,0,16
13985,0,13939,2,46,0,19
14014,0,13989,3,25,0,12
14085,0,14018,0,67,0,7
14168,0,14089,1,79,0,5
14242,0,14172,2,70,0,10
14280,0,14246,3,34,0,18
14336,0,14284,0,52,0,11
14395,0,14340,1,55,0,10
14406,0,14399,2,7,0,34
14426,0,14410,3,16,0,32
14515,0,14430,0,85,31,0
14595,0,14519,1,76,14,0
14606,0,14599,2,7,0,34
14689,0,14610,3,79,9,0
14763,0,14693,0,70,11,0
14813,0,14767,1,46,0,8
