step,tl_id,previous_state,current_state,action,reward
25,0,1_0_0_0_0,0_1_0_0_1,9,0.49688248204309654
60,0,0_1_0_0_1,1_1_1_0_2,10,0.5708632615057196
74,0,1_1_1_0_2,1_1_1_1_3,3,0.6094124102154828
154,0,1_1_1_1_3,1_1_1_0_0,25,0.5187948922585794
219,0,1_1_1_0_0,0_1_1_1_1,20,0.7875598563447725
308,0,0_1_1_1_1,1_0_1_2_2,28,0.7219423383878691
418,0,1_0_1_2_2,1_1_0_2_3,35,0.8188248204309656
450,0,1_1_0_2_3,2_1_1_0_0,9,0.915677374301676
488,0,2_1_1_0_0,0_1_1_1_1,11,0.5969124102154828
559,0,0_1_1_1_1,0_0_1_1_2,22,0.6219124102154828
627,0,0_0_1_1_2,1_1_0_1_3,21,0.7594124102154829
737,0,1_1_0_1_3,1_1_1_0_0,35,0.7406773743016759
775,0,1_1_1_0_0,0_1_2_0_1,11,0.9187948922585794
852,0,0_1_2_0_1,1_0_2_1_2,24,0.6032073024740623
914,0,1_0_2_1_2,2_1_0_2_3,19,0.7688248204309658
1015,0,2_1_0_2_3,3_1_2_0_0,32,0.6907372306464485
1098,0,3_1_2_0_0,0_2_2_1_1,26,0.8688248204309656
1145,0,0_2_2_1_1,1_0_2_1_2,14,0.8031773743016759
1237,0,1_0_2_1_2,1_2_0_1_3,29,0.6469423383878691
1263,0,1_2_0_1_3,1_2_1_0_0,7,0.8375598563447726
1361,0,1_2_1_0_0,0_2_1_1_1,31,0.5563248204309656
1414,0,0_2_1_1_1,0_0_1_1_2,16,0.8719124102154827
1467,0,0_0_1_1_2,1_1_0_1_3,16,0.6844124102154828
1562,0,1_1_0_1_3,1_2_1_0_0,30,0.6719423383878691
1600,0,1_2_1_0_0,0_2_1_1_1,11,0.8469423383878691
1695,0,0_2_1_1_1,1_0_2_1_2,30,0.6094423383878691
1778,0,1_0_2_1_2,1_1_0_1_3,26,0.8500598563447725
1789,0,1_1_0_1_3,1_1_1_0_0,2,0.8062948922585793
1821,0,1_1_1_0_0,0_1_1_0_1,9,0.5094124102154828
1862,0,0_1_1_0_1,2_0_1_0_2,12,0.5937948922585794
1939,0,2_0_1_0_2,2_1_0_1_3,24,0.628177374301676
2031,0,2_1_0_1_3,2_1_1_0_0,29,0.7750598563447726
2096,0,2_1_1_0_0,0_2_2_1_1,20,0.8344423383878692
2206,0,0_2_2_1_1,1_0_2_1_2,35,0.7250598563447725
2256,0,1_0_2_1_2,1_1_0_1_3,15,0.9219124102154828
2300,0,1_1_0_1_3,1_1_1_1_0,13,0.6687948922585794
2380,0,1_1_1_1_0,0_2_1_1_1,25,0.6406773743016759
2403,0,0_2_1_1_1,1_0_1_1_2,6,0.8000299281723863
2426,0,1_0_1_1_2,1_1_0_1_3,6,0.5656474461292897
2539,0,1_1_0_1_3,2_1_1_0_0,36,0.5500598563447725
2628,0,2_1_1_0_0,1_2_1_1_1,28,0.921942338387869
2663,0,1_2_1_1_1,1_0_1_1_2,10,0.8312948922585794
2683,0,1_0_1_1_2,1_1_0_2_3,5,0.6062948922585794
2712,0,1_1_0_2_3,1_1_0_0_0,8,0.5469124102154828
2753,0,1_1_0_0_0,0_1_1_1_1,12,0.5844124102154828
2803,0,0_1_1_1_1,1_0_1_1_2,15,0.6344124102154829
2847,0,1_0_1_1_2,1_1_0_1_3,13,0.6750299281723863
2876,0,1_1_0_1_3,1_1_1_0_0,8,0.6500299281723863
2932,0,1_1_1_0_0,0_1_1_1_1,17,0.5812948922585794
3045,0,0_1_1_1_1,2_0_1_2_2,36,0.6782073024740622
3077,0,2_0_1_2_2,2_1_0_2_3,9,0.9188248204309656
3190,0,2_1_0_2_3,3_2_2_0_0,36,0.5595021947326416
3291,0,3_2_2_0_0,0_2_2_0_1,32,0.9157073024740621
3407,0,0_2_2_0_1,1_0_3_1_2,37,0.8594722665602554
3433,0,1_0_3_1_2,1_1_0_2_3,7,0.9437948922585795
3498,0,1_1_0_2_3,1_1_1_0_0,20,0.5687948922585794
3563,0,1_1_1_0_0,0_2_1_1_1,20,0.7250598563447725
3655,0,0_2_1_1_1,1_0_2_1_2,29,0.7188248204309657
3729,0,1_0_2_1_2,3_1_0_2_3,23,0.8157372306464485
3749,0,3_1_0_2_3,3_1_1_1_0,5,0.7469722665602554
3787,0,3_1_1_1_0,0_1_1_1_1,11,0.5469124102154828
3804,0,0_1_1_1_1,1_1_1_1_2,4,0.6156773743016759
3851,0,1_1_1_1_2,1_1_0_2_3,14,0.5188248204309657
3895,0,1_1_0_2_3,1_2_1_0_0,13,0.6438248204309657
3999,0,1_2_1_0_0,0_2_2_2_1,33,0.6095021947326416
4109,0,0_2_2_2_1,1_0_2_4_2,35,0.8501496408619313
4138,0,1_0_2_4_2,2_1_0_4_3,8,0.8876197126895451
4233,0,2_1_0_4_3,3_2_1_0_0,30,0.5532372306464485
4337,0,3_2_1_0_0,1_3_3_1_1,33,0.8188846767757383
4378,0,1_3_3_1_1,1_0_3_1_2,12,0.8719722665602554
4497,0,1_0_3_1_2,3_1_0_2_3,38,0.6001197126895451
4607,0,3_1_0_2_3,4_2_2_0_0,35,0.9157671588188347
4624,0,4_2_2_0_0,1_2_2_1_1,4,0.8907372306464485
4704,0,1_2_2_1_1,2_0_3_2_2,25,0.4938846767757382
4745,0,2_0_3_2_2,3_1_0_3_3,12,0.7563846767757383
4804,0,3_1_0_3_3,4_2_1_0_0,18,0.6001197126895451
4875,0,4_2_1_0_0,0_3_1_1_1,22,0.6875897845171588
4910,0,0_3_1_1_1,1_0_2_1_2,10,0.753177374301676
4981,0,1_0_2_1_2,2_2_0_2_3,22,0.5844722665602553
5073,0,2_2_0_2_3,2_3_1_0_0,29,0.7220021947326416
5156,0,2_3_1_0_0,0_3_2_1_1,26,0.8095021947326417
5185,0,0_3_2_1_1,1_0_2_2_2,8,0.7907073024740622
5247,0,1_0_2_2_2,2_1_0_3_3,19,0.556354748603352
5348,0,2_1_0_3_3,2_2_1_0_0,32,0.693854748603352
5437,0,2_2_1_0_0,0_3_3_1_1,28,0.8470021947326416
5538,0,0_3_3_1_1,2_0_4_2_2,32,0.7814146049481245
5624,0,2_0_4_2_2,3_1_0_3_3,27,0.8470021947326416
5695,0,3_1_0_3_3,3_2_2_0_0,22,0.7782671588188348
5748,0,3_2_2_0_0,0_3_3_2_1,16,0.7157671588188348
5858,0,0_3_3_2_1,2_1_4_3_2,35,0.6251795690343176
5929,0,2_1_4_3_2,2_1_0_4_3,22,0.8813846767757383
6039,0,2_1_0_4_3,2_3_1_0_0,35,0.7220021947326416
6059,0,2_3_1_0_0,1_3_2_1_1,5,0.8938547486033519
6142,0,1_3_2_1_1,1_0_3_1_2,26,0.5188547486033519
6210,0,1_0_3_1_2,2_1_0_1_3,21,0.7938248204309657
6308,0,2_1_0_1_3,3_2_2_1_0,31,0.7032671588188348
6328,0,3_2_2_1_0,0_2_2_1_1,5,0.8469722665602553
6405,0,0_2_2_1_1,1_0_3_2_2,24,0.5157372306464485
6458,0,1_0_3_2_2,2_1_0_2_3,16,0.7594722665602553
6490,0,2_1_0_2_3,3_1_1_1_0,9,0.6594722665602554
6528,0,3_1_1_1_0,0_2_1_1_1,11,0.5844423383878691
6593,0,0_2_1_1_1,1_0_2_1_2,20,0.6156773743016759
6607,0,1_0_2_1_2,1_1_1_1_3,3,0.7312948922585794
6621,0,1_1_1_1_3,1_1_1_0_0,3,0.5281474461292897
6662,0,1_1_1_0_0,0_1_1_1_1,12,0.5156773743016759
6745,0,0_1_1_1_1,1_0_2_1_2,26,0.6188248204309656
6795,0,1_0_2_1_2,2_1_0_2_3,15,0.7938248204309657
6905,0,2_1_0_2_3,3_3_1_0_0,35,0.6313846767757383
6985,0,3_3_1_0_0,0_3_2_2_1,25,0.8845021947326417
7026,0,0_3_2_2_1,1_0_2_2_2,12,0.7782073024740622
7118,0,1_0_2_2_2,1_2_0_3_3,29,0.606354748603352
7210,0,1_2_0_3_3,2_4_2_0_0,29,0.8001496408619314
7329,0,2_4_2_0_0,0_4_4_3_1,38,0.7720919792498004
7427,0,0_4_4_3_1,2_0_6_6_2,31,0.8502992817238627
7546,0,2_0_6_6_2,4_3_0_6_3,38,0.7721518355945729
7587,0,4_3_0_6_3,5_4_1_1_0,12,0.8845919792498005
7616,0,5_4_1_1_0,1_4_2_2_1,8,0.5751795690343177
7732,0,1_4_2_2_1,3_0_4_4_2,37,0.5033569433359936
7836,0,3_0_4_4_2,5_3_0_6_3,33,0.8502693535514765
7871,0,5_3_0_6_3,5_3_2_1_0,10,0.8127394253790902
7966,0,5_3_2_1_0,0_4_3_4_1,30,0.5283569433359936
8064,0,0_4_3_4_1,3_1_4_5_2,31,0.7752394253790902
8132,0,3_1_4_5_2,4_2_0_6_3,21,0.7846219074221866
8212,0,4_2_0_6_3,6_3_3_0_0,25,0.6627394253790901
8262,0,6_3_3_0_0,0_4_3_1_1,15,0.7470321229050279
8312,0,0_4_3_1_1,1_0_4_2_2,15,0.6220321229050279
8344,0,1_0_4_2_2,2_1_1_2_3,9,0.6407372306464485
8433,0,2_1_1_2_3,4_3_3_0_0,28,0.5252094972067038
8555,0,4_3_3_0_0,0_5_5_3_1,39,0.734651835594573
8671,0,0_5_5_3_1,2_0_7_6_2,37,0.856564245810056
8700,0,2_0_7_6_2,4_1_1_6_3,8,0.8627394253790902
8741,0,4_1_1_6_3,4_2_6_1_0,12,0.49088687150837984
8842,0,4_2_6_1_0,0_3_7_4_1,32,0.5346518355945731
8853,0,0_3_7_4_1,1_1_7_4_2,2,0.7971219074221867
8957,0,1_1_7_4_2,3_4_1_6_3,33,0.409651835594573
9010,0,3_4_1_6_3,3_5_1_0_0,16,0.8376795690343176
9111,0,3_5_1_0_0,0_7_4_3_1,32,0.5784167996807661
9176,0,0_7_4_3_1,2_1_5_3_2,20,0.8095919792498005
9229,0,2_1_5_3_2,2_2_0_5_3,16,0.6751795690343176
9282,0,2_2_0_5_3,3_3_1_0_0,16,0.6376496408619314
9386,0,3_3_1_0_0,0_4_3_2_1,33,0.6251795690343176
9445,0,0_4_3_2_1,2_0_4_4_2,18,0.8345620510774141
9462,0,2_0_4_4_2,2_1_1_4_3,4,0.6688846767757382
9527,0,2_1_1_4_3,3_2_4_0_0,20,0.47829708699122103
9547,0,3_2_4_0_0,1_3_4_1_1,5,0.6751795690343176
9558,0,1_3_4_1_1,1_2_4_1_2,2,0.5001496408619314
9596,0,1_2_4_1_2,2_3_0_1_3,11,0.4751197126895451
9652,0,2_3_0_1_3,3_3_2_0_0,17,0.5751496408619314
9687,0,3_3_2_0_0,0_4_2_2_1,10,0.6532671588188348
9791,0,0_4_2_2_1,3_0_4_3_2,33,0.5408270151636073
9865,0,3_0_4_3_2,4_2_0_4_3,23,0.8252094972067039
9963,0,4_2_0_4_3,5_4_3_0_0,31,0.6877394253790902
10013,0,5_4_3_0_0,1_5_3_1_1,15,0.8095620510774141
10093,0,1_5_3_1_1,2_0_3_3_2,25,0.6220321229050279
10191,0,2_0_3_3_2,3_3_0_6_3,31,0.7127394253790902
10310,0,3_3_0_6_3,5_5_3_0_0,38,0.7752693535514763
10366,0,5_5_3_0_0,0_6_4_1_1,17,0.8814744612928971
10479,0,0_6_4_1_1,3_1_7_3_2,36,0.5909167996807662
10592,0,3_1_7_3_2,5_4_0_6_3,36,0.8252992817238627
10618,0,5_4_0_6_3,6_4_1_1_0,7,0.8471219074221866
10677,0,6_4_1_1_0,0_5_2_4_1,18,0.4908569433359936
10700,0,0_5_2_4_1,1_1_3_5_2,6,0.6501795690343176
10768,0,1_1_3_5_2,3_3_0_5_3,21,0.48459197924980046
10887,0,3_3_0_5_3,7_7_3_0_0,38,0.619094173982442
10946,0,7_7_3_0_0,0_9_5_2_1,18,0.8347116919393456
10966,0,0_9_5_2_1,1_5_5_3_2,5,0.6034167996807661
11055,0,1_5_5_3_2,4_9_0_4_3,28,0.4128591380686353
11162,0,4_9_0_4_3,7_13_3_0_0,34,0.6473613328012768
11176,0,7_13_3_0_0,5_13_4_1_1,3,0.7285963687150838
11238,0,5_13_4_1_1,7_4_6_3_2,19,0.3566839584996009
11252,0,7_4_6_3_2,8_5_3_4_3,3,0.5629189944134079
11311,0,8_5_3_4_3,9_9_6_0_0,18,0.3255087789305666
11418,0,9_9_6_0_0,1_10_9_2_1,34,0.5379489225857941
11435,0,1_10_9_2_1,1_7_9_3_2,4,0.7441839584996011
11554,0,1_7_9_3_2,6_12_0_6_3,38,0.34112629688747004
11640,0,6_12_0_6_3,7_13_3_0_0,27,0.76612629688747
11654,0,7_13_3_0_0,5_13_4_1_1,3,0.6442138866719872
11716,0,5_13_4_1_1,8_4_5_2_2,19,0.3691540303272146
11754,0,8_4_5_2_2,8_9_1_4_3,11,0.5442138866719872
11816,0,8_9_1_4_3,10_10_4_0_0,19,0.4223912609736632
11878,0,10_10_4_0_0,1_13_5_2_1,19,0.550448922585794
11895,0,1_13_5_2_1,4_11_6_3_2,4,0.5255087789305666
11969,0,4_11_6_3_2,6_12_0_5_3,23,0.33800877893056663
12049,0,6_12_0_5_3,8_13_3_0_0,25,0.5755087789305666
12120,0,8_13_3_0_0,1_13_4_2_1,22,0.6379189944134078
12212,0,1_13_4_2_1,4_6_6_4_2,29,0.5941839584996009
12313,0,4_6_6_4_2,7_10_1_8_3,32,0.638038707102953
12360,0,7_10_1_8_3,8_13_2_1_0,14,0.6880087789305667
12380,0,8_13_2_1_0,4_13_2_3_1,5,0.48171388667198717
12472,0,4_13_2_3_1,9_1_4_6_2,29,0.38480147645650437
12495,0,9_1_4_6_2,10_4_1_6_3,6,0.681683958499601
12557,0,10_4_1_6_3,11_5_4_0_0,19,0.40041899441340784
12598,0,11_5_4_0_0,1_7_6_1_1,12,0.6065642458100557
12621,0,1_7_6_1_1,7_2_7_2_2,6,0.5034766560255387
12659,0,7_2_7_2_2,8_5_1_3_3,11,0.4284766560255387
12772,0,8_5_1_3_3,10_8_8_0_0,36,0.4036861532322426
12801,0,10_8_8_0_0,4_9_9_3_1,8,0.7411262968874699
12920,0,4_9_9_3_1,12_0_13_8_2,38,0.30383579409417394
12985,0,12_0_13_8_2,13_3_4_10_3,20,0.7037759377494014
13020,0,13_3_4_10_3,13_3_9_2_0,10,0.5099511173184357
13136,0,13_3_9_2_0,1_7_13_8_1,37,0.3631284916201117
13150,0,1_7_13_8_1,3_5_13_8_2,3,0.7006284916201118
13254,0,3_5_13_8_2,7_11_6_11_3,33,0.22574820430965678
13268,0,7_11_6_11_3,7_11_6_11_0,3,0.5945131683958499
13387,0,7_11_6_11_0,0_13_12_13_1,38,0.18210295291300874
13416,0,0_13_12_13_1,2_5_13_13_2,8,0.6757182761372704
13508,0,2_5_13_13_2,5_13_1_13_3,29,0.30383579409417394
13552,0,5_13_1_13_3,8_13_7_3_0,13,0.588158419792498
13647,0,8_13_7_3_0,0_13_10_12_1,30,0.338278132482043
13727,0,0_13_10_12_1,5_2_12_13_2,25,0.5881883479648842
13771,0,5_2_12_13_2,8_7_2_13_3,13,0.5412759377494014
13866,0,8_7_2_13_3,11_11_12_1_0,30,0.35074820430965675
13916,0,11_11_12_1_0,2_13_13_5_1,15,0.5757182761372706
13969,0,2_13_13_5_1,9_1_13_8_2,16,0.4069233838786911
14064,0,9_1_13_8_2,11_13_1_13_3,30,0.3508379888268156
14084,0,11_13_1_13_3,12_13_5_9_0,5,0.5227204708699121
14104,0,12_13_5_9_0,8_13_6_8_1,5,0.2445131683958499
14133,0,8_13_6_8_1,8_8_7_12_2,8,0.24763068635275337
14237,0,8_8_7_12_2,12_13_1_13_3,33,0.2508379888268156
14335,0,12_13_1_13_3,13_13_5_1_0,31,0.6194533120510773
14448,0,13_13_5_1_0,1_13_12_9_1,36,0.5663956504389464
14513,0,1_13_12_9_1,5_2_13_13_2,20,0.6538357940941739
14560,0,5_2_13_13_2,7_9_2_13_3,14,0.47254090183559455
14601,0,7_9_2_13_3,9_11_10_4_0,12,0.37883579409417395
14621,0,9_11_10_4_0,6_11_10_7_1,5,0.34760075818036706
14695,0,6_11_10_7_1,11_1_13_13_2,23,0.2102204708699122
14709,0,11_1_13_13_2,12_5_12_13_3,3,0.4009277733439744
14813,0,12_5_12_13_3,13_10_13_1_0,33,0.19769054269752592
14902,0,13_10_13_1_0,1_13_13_7_1,28,0.5976306863527533
15021,0,1_13_13_7_1,9_1_13_11_2,38,0.5507182761372704
15050,0,9_1_13_11_2,10_2_8_12_3,8,0.6850708300079809
15067,0,10_2_8_12_3,12_3_8_10_0,4,0.30695331205107734
15171,0,12_3_8_10_0,1_8_13_13_1,33,0.22577813248204304
15182,0,1_8_13_13_1,4_6_13_13_2,2,0.5820430965682362
15265,0,4_6_13_13_2,8_11_4_13_3,26,0.19766061452513964
15342,0,8_11_4_13_3,12_13_9_1_0,24,0.5101306863527533
15392,0,12_13_9_1_0,3_13_11_7_1,15,0.5007182761372706
15451,0,3_13_11_7_1,9_1_13_12_2,18,0.3695131683958499
15507,0,9_1_13_12_2,11_9_1_13_3,17,0.4101306863527533
15608,0,11_9_1_13_3,13_13_12_1_0,32,0.35398543495610535
15664,0,13_13_12_1_0,3_13_13_9_1,17,0.5477204708699122
15762,0,3_13_13_9_1,13_1_13_13_2,31,0.344632881085395
15884,0,13_1_13_13_2,13_8_2_13_3,39,0.5601606145251395
15967,0,13_8_2_13_3,13_11_9_4_0,26,0.6539255786113328
16056,0,13_11_9_4_0,1_13_11_13_1,28,0.4820730247406224
16082,0,1_13_11_13_1,6_8_13_13_2,7,0.49772047086991217
16126,0,6_8_13_13_2,7_12_4_13_3,13,0.26639565043894653
16146,0,7_12_4_13_3,8_13_7_10_0,5,0.31957302474062244
16202,0,8_13_7_10_0,1_13_12_13_1,17,0.20398543495610533
16297,0,1_13_12_13_1,7_1_13_13_2,30,0.39451316839584993
16338,0,7_1_13_13_2,10_5_6_13_3,12,0.5632482043096567
16430,0,10_5_6_13_3,13_9_13_8_0,29,0.25407521947326417
16504,0,13_9_13_8_0,3_11_13_13_1,23,0.5008679169992019
16533,0,3_11_13_13_1,6_6_13_13_2,8,0.44457302474062244
16640,0,6_6_13_13_2,13_13_1_13_3,34,0.232132881085395
16660,0,13_13_1_13_3,13_13_6_10_0,5,0.5321927374301676
16770,0,13_13_6_10_0,1_13_13_13_1,35,0.1977503990422984
16808,0,1_13_13_13_1,6_5_13_13_2,11,0.6008080606544293
16840,0,6_5_13_13_2,7_10_6_13_3,9,0.3070430965682362
16944,0,7_10_6_13_3,12_13_13_2_0,33,0.2539854349561053
17036,0,12_13_13_2_0,1_13_13_10_1,29,0.5758080606544294
17086,0,1_13_13_10_1,5_3_13_13_2,15,0.5601007581803672
