step,tl_id,new_state
21,0,1
80,0,2
151,0,3
240,0,0
272,0,1
307,0,2
360,0,3
377,0,0
457,0,1
579,0,2
614,0,3
730,0,0
795,0,1
872,0,2
946,0,3
1041,0,0
1136,0,1
1219,0,2
1293,0,3
1349,0,0
1423,0,1
1443,0,2
1475,0,3
1564,0,0
1623,0,1
1724,0,2
1804,0,3
1890,0,0
1952,0,1
2065,0,2
2160,0,3
2216,0,0
2305,0,1
2346,0,2
2432,0,3
2476,0,0
2529,0,1
2543,0,2
2584,0,3
2646,0,0
2693,0,1
2710,0,2
2730,0,3
2828,0,0
2851,0,1
2970,0,2
3071,0,3
3115,0,0
3207,0,1
3320,0,2
3358,0,3
3408,0,0
3530,0,1
3622,0,2
3636,0,3
3746,0,0
3757,0,1
3843,0,2
3854,0,3
3955,0,0
4044,0,1
4124,0,2
4150,0,3
4227,0,0
4247,0,1
4273,0,2
4365,0,3
4448,0,0
4465,0,1
4500,0,2
4607,0,3
4663,0,0
4692,0,1
4745,0,2
4792,0,3
4836,0,0
4886,0,1
4939,0,2
5052,0,3
5069,0,0
5179,0,1
5235,0,2
5273,0,3
5317,0,0
5427,0,1
5477,0,2
5593,0,3
5679,0,0
5723,0,1
5833,0,2
5862,0,3
5903,0,0
5977,0,1
6021,0,2
6065,0,3
6082,0,0
6195,0,1
6305,0,2
6391,0,3
6477,0,0
6578,0,1
6670,0,2
6726,0,3
6761,0,0
6805,0,1
6840,0,2
6950,0,3
6982,0,0
7029,0,1
7136,0,2
7222,0,3
7317,0,0
7337,0,1
7405,0,2
7506,0,3
7580,0,0
7630,0,1
7734,0,2
7817,0,3
7906,0,0
7956,0,1
7979,0,2
8053,0,3
8112,0,0
8222,0,1
8332,0,2
8370,0,3
8435,0,0
8533,0,1
8655,0,2
8711,0,3
8800,0,0
8847,0,1
8900,0,2
8929,0,3
9045,0,0
9101,0,1
9133,0,2
9246,0,3
9332,0,0
9439,0,1
9522,0,2
9623,0,3
9739,0,0
9807,0,1
9875,0,2
9991,0,3
10086,0,0
10121,0,1
10204,0,2
10242,0,3
10340,0,0
10444,0,1
10491,0,2
10574,0,3
10693,0,0
10743,0,1
10808,0,2
10903,0,3
10941,0,0
11000,0,1
11110,0,2
11154,0,3
11252,0,0
11344,0,1
11355,0,2
11393,0,3
11458,0,0
11523,0,1
11627,0,2
11650,0,3
11673,0,0
11762,0,1
11812,0,2
11826,0,3
11849,0,0
11917,0,1
11928,0,2
12014,0,3
12130,0,0
12183,0,1
12302,0,2
12421,0,3
12483,0,0
12500,0,1
12553,0,2
12576,0,3
12680,0,0
12796,0,1
12906,0,2
12968,0,3
13018,0,0
13077,0,1
13115,0,2
13177,0,3
13275,0,0
13373,0,1
13411,0,2
13476,0,3
13589,0,0
13642,0,1
13695,0,2
13763,0,3
13813,0,0
13860,0,1
13898,0,2
13921,0,3
14010,0,0
14117,0,1
14167,0,2
14229,0,3
14333,0,0
14380,0,1
14499,0,2
14591,0,3
14629,0,0
14673,0,1
14747,0,2
14782,0,3
14883,0,0
14906,0,1
14956,0,2
14979,0,3
15041,0,0
15130,0,1
15177,0,2
15254,0,3
15307,0,0
15333,0,1
15365,0,2
15376,0,3
15402,0,0
15416,0,1
15526,0,2
15645,0,3
15722,0,0
15754,0,1
15861,0,2
15875,0,3
15898,0,0
15981,0,1
16091,0,2
16207,0,3
16296,0,0
16319,0,1
16414,0,2
16443,0,3
16511,0,0
16603,0,1
16614,0,2
16727,0,3
16804,0,0
16854,0,1
16916,0,2
17017,0,3
17043,0,0
17063,0,1
17143,0,2
17217,0,3
17330,0,0
17434,0,1
17505,0,2
17591,0,3
17608,0,0
17652,0,1
17666,0,2
17773,0,3
17895,0,0
18002,0,1
18085,0,2
18147,0,3
18164,0,0
18238,0,1
18267,0,2
18359,0,3
18433,0,0
18531,0,1
18563,0,2
18646,0,3
18720,0,0
18746,0,1
18844,0,2
18906,0,3
19007,0,0
19102,0,1
19149,0,2
19223,0,3
19258,0,0
19359,0,1
19385,0,2
19414,0,3
19458,0,0
19538,0,1
19627,0,2
19644,0,3
19733,0,0
19843,0,1
19893,0,2
19997,0,3
20116,0,0
20205,0,1
20225,0,2
20323,0,3
20430,0,0
20447,0,1
20500,0,2
20616,0,3
20678,0,0
20698,0,1
20766,0,2
20834,0,3
20950,0,0
21015,0,1
21032,0,2
21088,0,3
21177,0,0
21230,0,1
21271,0,2
21354,0,3
21389,0,0
21511,0,1
21546,0,2
21614,0,3
21721,0,0
21840,0,1
21920,0,2
22018,0,3
22035,0,0
22109,0,1
22207,0,2
22329,0,3
22427,0,0
22492,0,1
22548,0,2
22664,0,3
22744,0,0
22755,0,1
22874,0,2
22975,0,3
23094,0,0
23174,0,1
23275,0,2
23334,0,3
23423,0,0
23440,0,1
23469,0,2
23540,0,3
23659,0,0
23760,0,1
23852,0,2
23923,0,3
24039,0,0
24161,0,1
24205,0,2
24297,0,3
24338,0,0
24403,0,1
24486,0,2
24542,0,3
24559,0,0
24642,0,1
24734,0,2
24802,0,3
24900,0,0
24983,0,1
25048,0,2
25137,0,3
25247,0,0
25264,0,1
25368,0,2
25379,0,3
25435,0,0
25479,0,1
25598,0,2
25642,0,3
25755,0,0
25790,0,1
25879,0,2
25950,0,3
25997,0,0
26029,0,1
26145,0,2
26228,0,3
26257,0,0
26373,0,1
26480,0,2
26560,0,3
26658,0,0
26768,0,1
26827,0,2
26892,0,3
26933,0,0
27004,0,1
27105,0,2
27161,0,3
27268,0,0
27291,0,1
27371,0,2
27487,0,3
27582,0,0
27656,0,1
27766,0,2
27795,0,3
27848,0,0
27859,0,1
27930,0,2
27983,0,3
28027,0,0
28116,0,1
28139,0,2
28198,0,3
28314,0,0
28418,0,1
28519,0,2
28575,0,3
28664,0,0
28762,0,1
28869,0,2
28982,0,3
28993,0,0
29109,0,1
29150,0,2
29242,0,3
29310,0,0
29420,0,1
29461,0,2
29475,0,3
29534,0,0
29620,0,1
29667,0,2
29705,0,3
29761,0,0
29823,0,1
29930,0,2
29974,0,3
30090,0,0
30101,0,1
30208,0,2
30300,0,3
30389,0,0
30418,0,1
30432,0,2
30443,0,3
30502,0,0
30618,0,1
30722,0,2
30775,0,3
30888,0,0
30950,0,1
30991,0,2
31113,0,3
31190,0,0
31264,0,1
31347,0,2
31376,0,3
31435,0,0
31557,0,1
31622,0,2
31642,0,3
31719,0,0
31811,0,1
31837,0,2
31881,0,3
31946,0,0
32023,0,1
32133,0,2
32153,0,3
32239,0,0
32250,0,1
32285,0,2
32305,0,3
32355,0,0
32456,0,1
32545,0,2
32616,0,3
