step,tl_id,previous_state,current_state,action,reward
98,0,[0 0 0],[2 0 1],[ 0.  0.  0. 24.],0.9629519857735626
160,0,[2 0 1],[0 4 0],[ 2.  0.  1. 19.],0.9202042770507501
204,0,[0 4 0],[1 0 1],[ 0.  4.  0. 13.],0.9891943291839558
275,0,[1 0 1],[0 4 0],[ 1.  0.  1. 22.],0.9501276731567188
364,0,[0 4 0],[4 0 1],[ 0.  4.  0. 28.],0.9536899822169532
438,0,[4 0 1],[0 8 0],[ 4.  0.  1. 23.],0.8803064155761251
512,0,[0 8 0],[4 0 1],[ 0.  8.  0. 23.],0.9444279786603438
583,0,[4 0 1],[0 5 0],[ 4.  0.  1. 22.],0.9027489626556017
666,0,[0 5 0],[4 0 1],[ 0.  5.  0. 26.],0.9351659751037344
734,0,[4 0 1],[0 3 0],[ 4.  0.  1. 21.],0.9501276731567188
775,0,[0 3 0],[2 0 1],[ 0.  3.  0. 12.],0.9700766038940313
843,0,[2 0 1],[0 3 0],[ 2.  0.  1. 21.],0.9501276731567188
920,0,[0 3 0],[2 0 1],[ 0.  3.  0. 24.],0.9700766038940313
997,0,[2 0 1],[0 4 0],[ 2.  0.  1. 24.],0.9301787424194063
1071,0,[0 4 0],[10  0  1],[ 0.  4.  0. 23.],0.8603574848388127
1163,0,[10  0  1],[ 0 11  0],[10.  0.  1. 29.],0.8603574848388127
1204,0,[ 0 11  0],[3 0 1],[ 0. 11.  0. 12.],0.9401532077880626
1284,0,[3 0 1],[0 6 0],[ 3.  0.  1. 25.],0.9073799644339063
1334,0,[0 6 0],[2 0 1],[ 0.  6.  0. 15.],0.9629519857735626
1396,0,[2 0 1],[0 5 0],[ 2.  0.  1. 19.],0.9351659751037344
1434,0,[0 5 0],[5 0 1],[ 0.  5.  0. 11.],0.9166419679905157
1499,0,[5 0 1],[0 5 0],[ 5.  0.  1. 20.],0.9259039715471251
1516,0,[0 5 0],[1 0 1],[0. 5. 0. 4.],0.9814759928867812
1608,0,[1 0 1],[0 7 0],[ 1.  0.  1. 29.],0.9166419679905157
1691,0,[0 7 0],[6 0 1],[ 0.  7.  0. 26.],0.898117960877297
1744,0,[6 0 1],[0 4 0],[ 6.  0.  1. 16.],0.9401532077880626
1821,0,[0 4 0],[9 0 1],[ 0.  4.  0. 24.],0.8888559573206876
1850,0,[9 0 1],[0 1 0],[9. 0. 1. 8.],0.9814759928867812
1912,0,[0 1 0],[10  0  1],[ 0.  1.  0. 19.],0.8147599288678127
1995,0,[10  0  1],[0 7 0],[10.  0.  1. 26.],0.8888559573206876
2024,0,[0 7 0],[5 0 1],[0. 7. 0. 8.],0.9351659751037344
2104,0,[5 0 1],[ 0 21  0],[ 5.  0.  1. 25.],0.6387818612922347
