step,veh_id,ttime
45,left_0_0_0,45
48,right__0_0_2,45
52,left_0_0_1,47
56,left_0_0_4,45
66,left_0_0_6,44
73,right__0_0_7,48
77,right__0_0_8,46
93,left_0_0_10,44
112,left_0_0_11,45
131,up_0_0_3,127
133,down_0_0_9,102
135,down_0_0_12,63
136,up_0_0_5,120
137,down_0_0_15,52
144,down_0_0_17,46
149,up_0_0_18,46
151,up_0_0_19,43
181,down_0_0_24,50
182,up_0_0_26,47
192,left_0_0_13,118
193,right__0_0_14,112
195,left_0_0_20,75
197,right__0_0_16,104
197,left_0_0_21,72
199,left_0_0_22,68
199,right__0_0_23,73
201,right__0_0_25,69
202,left_0_0_27,55
206,left_0_0_29,47
214,right__0_0_30,43
222,right__0_0_31,43
235,down_0_0_28,84
251,down_0_0_34,45
257,up_0_0_35,45
261,down_0_0_37,41
286,down_0_0_40,45
295,up_0_0_41,47
306,left_0_0_33,102
309,right__0_0_32,125
310,left_0_0_42,57
311,right__0_0_36,95
312,left_0_0_44,54
313,right__0_0_38,86
315,left_0_0_46,52
316,right__0_0_39,77
328,left_0_0_47,47
334,left_0_0_48,48
337,right__0_0_52,45
340,left_0_0_50,49
341,right__0_0_54,44
342,left_0_0_51,46
346,left_0_0_55,45
354,left_0_0_56,48
397,down_0_0_43,140
399,down_0_0_45,137
399,up_0_0_49,113
400,down_0_0_53,105
401,up_0_0_59,57
402,down_0_0_57,72
403,up_0_0_60,54
471,left_0_0_58,128
471,right__0_0_62,119
472,left_0_0_61,122
475,right__0_0_65,112
476,left_0_0_63,119
477,right__0_0_68,88
479,left_0_0_64,117
479,right__0_0_69,77
481,left_0_0_66,109
483,left_0_0_67,106
485,left_0_0_70,83
487,left_0_0_71,73
488,left_0_0_73,58
504,right__0_0_77,45
528,right__0_0_79,45
544,down_0_0_75,110
546,up_0_0_72,123
548,up_0_0_74,115
548,down_0_0_78,80
549,up_0_0_76,98
549,down_0_0_82,59
551,up_0_0_80,67
552,down_0_0_83,57
557,down_0_0_86,45
570,up_0_0_87,45
574,down_0_0_90,44
582,down_0_0_91,47
585,up_0_0_94,44
587,down_0_0_93,47
600,down_0_0_98,43
616,right__0_0_85,120
617,left_0_0_81,127
618,left_0_0_84,122
618,right__0_0_88,90
620,right__0_0_89,87
623,right__0_0_95,80
624,left_0_0_92,86
625,left_0_0_96,75
627,left_0_0_97,72
656,left_0_0_104,47
662,left_0_0_105,44
674,right__0_0_106,45
678,right__0_0_107,44
689,right__0_0_110,47
698,up_0_0_99,118
699,down_0_0_100,117
702,down_0_0_101,114
702,up_0_0_102,109
704,down_0_0_103,98
704,up_0_0_108,69
706,up_0_0_109,66
710,up_0_0_111,64
714,up_0_0_114,43
726,up_0_0_116,43
733,up_0_0_118,45
748,up_0_0_119,44
766,left_0_0_112,107
767,right__0_0_113,105
769,right__0_0_117,82
770,left_0_0_115,94
771,right__0_0_122,62
772,left_0_0_120,68
774,left_0_0_121,65
774,right__0_0_123,60
775,left_0_0_125,61
777,left_0_0_126,50
781,right__0_0_127,50
783,right__0_0_128,47
807,down_0_0_124,95
808,up_0_0_129,67
810,down_0_0_130,62
810,up_0_0_131,56
813,up_0_0_133,53
828,down_0_0_135,45
837,down_0_0_137,45
841,up_0_0_138,46
844,up_0_0_140,43
850,up_0_0_141,43
876,left_0_0_132,118
877,right__0_0_139,76
878,left_0_0_134,95
879,right__0_0_142,65
880,left_0_0_136,92
881,left_0_0_143,53
883,left_0_0_145,50
891,left_0_0_146,50
892,left_0_0_147,46
898,left_0_0_148,47
900,left_0_0_149,44
908,left_0_0_152,43
918,left_0_0_153,48
920,left_0_0_154,43
925,left_0_0_155,43
928,right__0_0_156,42
936,left_0_0_157,44
953,up_0_0_151,98
958,down_0_0_144,127
959,down_0_0_150,108
962,up_0_0_160,49
965,down_0_0_161,44
976,up_0_0_163,44
982,up_0_0_164,45
987,down_0_0_166,46
1013,up_0_0_169,47
1031,right__0_0_158,123
1032,right__0_0_159,119
1032,left_0_0_165,93
1033,left_0_0_167,83
1034,right__0_0_162,106
1035,left_0_0_170,68
1036,right__0_0_168,75
1037,left_0_0_174,49
1040,right__0_0_171,64
1041,right__0_0_173,60
1043,right__0_0_177,53
1043,left_0_0_179,44
1053,left_1_0_1,45
1063,right__1_0_3,44
1071,left_1_0_8,46
1084,right__1_0_11,47
1087,right__1_0_12,44
1105,up_1_0_2,88
1106,down_0_0_172,130
1108,down_0_0_175,120
1108,up_1_0_5,86
1110,down_0_0_176,117
