step,veh_id,ttime
88,left_0_0_0,88
94,right__0_0_2,91
99,left_0_0_1,94
101,left_0_0_4,91
112,left_0_0_6,90
122,right__0_0_7,97
126,up_0_0_3,122
131,down_0_0_9,100
140,up_0_0_5,124
161,down_0_0_12,89
179,down_0_0_15,94
193,left_0_0_10,144
198,left_0_0_11,131
199,right__0_0_8,168
199,left_0_0_13,125
201,right__0_0_14,120
207,right__0_0_16,115
218,down_0_0_17,120
219,up_0_0_18,116
221,up_0_0_19,113
230,left_0_0_20,110
232,left_0_0_21,107
235,right__0_0_23,109
236,left_0_0_22,106
238,right__0_0_25,106
240,left_0_0_27,93
253,left_0_0_29,94
255,right__0_0_30,84
263,right__0_0_31,84
275,right__0_0_32,91
288,left_0_0_33,84
309,right__0_0_36,93
327,up_0_0_26,192
329,up_0_0_35,117
331,down_0_0_24,202
333,down_0_0_28,184
335,down_0_0_34,129
336,down_0_0_37,115
338,down_0_0_40,97
342,up_0_0_41,94
344,down_0_0_43,88
348,down_0_0_45,87
381,down_0_0_53,88
384,up_0_0_49,100
396,right__0_0_38,169
396,left_0_0_42,141
400,left_0_0_44,140
404,left_0_0_46,139
406,right__0_0_39,166
408,right__0_0_52,116
409,right__0_0_54,112
411,left_0_0_47,130
414,left_0_0_48,128
417,left_0_0_50,126
419,left_0_0_51,123
421,left_0_0_55,120
423,left_0_0_56,117
435,left_0_0_58,92
436,left_0_0_61,86
442,right__0_0_62,90
450,left_0_0_63,93
457,left_0_0_64,94
460,right__0_0_65,97
469,left_0_0_66,97
473,left_0_0_67,96
484,down_0_0_57,154
489,up_0_0_59,145
491,up_0_0_60,142
518,right__0_0_68,129
520,left_0_0_70,118
521,right__0_0_69,117
523,left_0_0_71,109
525,left_0_0_73,95
543,down_0_0_75,109
546,up_0_0_72,123
548,up_0_0_74,115
549,up_0_0_76,98
558,down_0_0_78,90
575,up_0_0_80,91
581,down_0_0_82,90
590,down_0_0_83,94
607,right__0_0_77,148
607,left_0_0_81,117
608,left_0_0_84,113
609,right__0_0_79,126
611,right__0_0_85,115
619,right__0_0_88,91
624,right__0_0_89,91
632,right__0_0_95,89
639,left_0_0_92,101
641,left_0_0_96,91
652,left_0_0_97,97
674,up_0_0_87,149
676,down_0_0_86,164
676,up_0_0_94,135
678,down_0_0_90,148
678,up_0_0_99,97
685,down_0_0_91,150
708,left_0_0_104,97
710,left_0_0_105,94
719,right__0_0_106,90
724,right__0_0_107,90
738,right__0_0_110,96
760,up_0_0_102,167
761,down_0_0_93,221
761,up_0_0_108,126
763,down_0_0_98,206
764,up_0_0_109,124
765,down_0_0_100,183
767,down_0_0_101,180
769,down_0_0_103,163
771,up_0_0_111,125
773,up_0_0_114,102
774,up_0_0_116,91
781,up_0_0_118,93
788,up_0_0_119,87
801,down_0_0_124,89
832,left_0_0_112,173
836,right__0_0_113,176
838,right__0_0_117,151
839,right__0_0_122,129
841,left_0_0_115,165
841,right__0_0_123,126
842,left_0_0_120,138
844,left_0_0_121,135
846,left_0_0_125,132
848,left_0_0_126,121
851,left_0_0_132,93
853,right__0_0_127,122
855,right__0_0_128,119
865,left_0_0_134,83
873,left_0_0_136,86
894,right__0_0_139,93
909,right__0_0_142,95
917,down_0_0_130,170
918,up_0_0_129,177
920,up_0_0_131,166
920,down_0_0_135,137
922,up_0_0_133,161
922,down_0_0_137,130
926,up_0_0_138,131
927,up_0_0_140,126
929,up_0_0_141,123
942,down_0_0_144,111
945,down_0_0_150,94
946,up_0_0_151,91
969,right__0_0_156,83
972,left_0_0_143,144
975,left_0_0_145,142
987,left_0_0_146,146
988,left_0_0_147,142
990,left_0_0_148,139
992,left_0_0_149,136
994,left_0_0_152,129
996,left_0_0_153,126
997,left_0_0_154,121
999,left_0_0_155,118
1001,left_0_0_157,109
1002,right__0_0_158,96
1004,right__0_0_159,93
1016,right__0_0_161,88
1046,down_0_0_164,105
1054,up_0_0_160,141
1056,up_0_0_162,124
1058,up_0_0_163,122
1059,up_0_0_167,93
1071,down_0_0_169,95
1085,down_0_0_172,97
1086,down_0_0_173,93
1091,down_0_0_174,93
1093,down_0_0_176,90
1107,right__0_0_166,146
1109,right__0_0_170,131
1112,left_0_0_165,162
1113,left_0_0_168,144
1117,left_0_0_171,129
1119,left_0_0_175,120
1120,left_0_0_177,112
1122,left_0_0_182,97
1132,right__0_0_184,94
1151,down_0_0_180,128
1152,up_0_0_178,135
1153,down_0_0_183,118
1154,up_0_0_179,132
1158,up_0_0_181,131
1165,up_0_0_185,119
1168,up_0_0_188,94
1170,down_0_0_189,93
1180,right__0_0_186,128
1191,right__0_0_187,126
1192,right__0_0_190,111
1194,right__0_0_196,96
1207,left_0_0_197,98
1207,right__0_0_200,94
1222,left_0_0_201,98
1224,left_0_0_202,95
1239,left_0_0_204,89
1245,left_0_0_205,90
1272,up_0_0_192,184
1275,up_0_0_193,182
1278,down_0_0_191,191
1279,up_0_0_194,181
1280,down_0_0_206,120
1281,down_0_0_207,116
1283,down_0_0_209,107
1285,down_0_0_210,104
1287,down_0_0_213,101
1288,down_0_0_215,97
1290,up_0_0_195,186
1292,up_0_0_198,183
1294,up_0_0_199,180
1296,up_0_0_203,160
1298,up_0_0_208,127
1298,down_0_0_218,89
1299,up_0_0_212,119
1301,up_0_0_216,110
1311,left_0_0_219,98
1312,right__0_0_211,132
1320,left_0_0_221,86
1324,right__0_0_214,139
1326,right__0_0_217,117
1340,left_0_0_222,101
1342,left_0_0_223,90
1348,right__0_0_225,93
1349,right__0_0_227,89
1353,right__0_0_228,88
1365,up_0_0_226,109
1373,down_0_0_220,157
1375,down_0_0_224,123
1375,up_0_0_229,108
1376,up_0_0_233,95
1377,down_0_0_231,102
1420,up_0_0_238,87
1425,up_0_0_239,87
1444,right__0_0_230,173
1444,left_0_0_236,132
1447,left_0_0_241,97
1450,right__0_0_232,173
1455,right__0_0_234,161
1457,right__0_0_235,150
1461,right__0_0_237,141
1463,right__0_0_242,107
1465,right__0_0_244,90
1476,right__0_0_247,90
1477,left_0_0_246,92
1483,down_0_0_248,95
1492,up_0_0_240,144
1492,down_0_0_252,92
1494,up_0_0_243,137
1496,up_0_0_245,117
1498,up_0_0_249,109
1502,up_0_0_250,104
1505,down_0_0_256,93
1525,up_0_0_255,115
1527,up_0_0_257,99
1553,left_0_0_253,149
1555,left_0_0_258,126
1557,right__0_0_251,157
1557,left_0_0_262,119
1560,right__0_0_254,154
1565,right__0_0_259,135
1573,right__0_0_260,138
1573,left_0_0_267,96
1575,right__0_0_261,135
1577,right__0_0_264,112
1583,up_0_0_263,122
1583,down_0_0_265,117
1585,up_0_0_266,116
1590,right__0_0_268,100
1602,right__0_0_272,89
1604,left_0_0_271,99
1623,down_0_0_269,131
1632,up_0_0_270,140
1633,down_0_0_273,117
1641,down_0_0_274,118
1668,down_0_0_275,138
1670,down_0_0_277,119
1672,up_0_0_276,123
1672,down_0_0_278,115
1674,up_0_0_279,117
1674,down_0_0_281,112
1676,up_0_0_280,114
1677,down_0_0_285,89
1678,up_0_0_282,109
1692,up_0_0_286,92
1705,up_0_0_287,97
1736,up_0_0_292,88
1756,left_0_0_288,143
1758,right__0_0_283,182
1758,left_0_0_289,126
1765,left_0_0_291,118
1768,left_0_0_297,93
1774,right__0_0_284,188
1776,right__0_0_290,139
1778,right__0_0_293,123
1780,right__0_0_295,119
1782,right__0_0_300,94
1805,down_0_0_294,147
1806,up_0_0_298,129
1807,down_0_0_296,137
1808,up_0_0_299,125
1810,up_0_0_302,119
1812,up_0_0_303,116
1813,down_0_0_301,125
1815,up_0_0_304,114
1815,down_0_0_309,97
1817,up_0_0_307,106
1817,down_0_0_311,89
1822,down_0_0_312,86
1829,down_0_0_313,88
1830,down_0_0_314,84
1845,down_0_0_315,85
1863,left_0_0_306,153
1867,right__0_0_305,157
1869,right__0_0_308,154
1872,up_0_0_318,94
1874,right__0_0_310,146
1878,down_0_0_320,85
1892,up_0_0_321,98
1902,up_0_0_324,95
1904,up_0_0_325,91
1905,down_0_0_326,95
1912,up_0_0_327,94
1916,down_0_0_328,91
1926,down_0_0_329,96
1928,up_0_0_331,90
1940,right__0_0_316,164
1941,right__0_0_319,158
1945,left_0_0_317,167
1953,left_0_0_322,156
1957,right__0_0_323,154
1959,right__0_0_330,125
1961,right__0_0_333,107
1963,right__0_0_335,104
1981,left_0_0_342,92
1992,right__0_0_344,92
2027,down_0_0_334,173
2031,right__0_0_347,103
2033,up_0_0_332,186
2034,up_0_0_336,175
2037,up_0_0_337,173
2037,down_0_0_338,175
2038,up_0_0_339,169
2039,down_0_0_343,142
2040,up_0_0_340,164
2042,down_0_0_345,137
2044,down_0_0_348,113
2051,up_0_0_341,166
2052,up_0_0_346,139
2054,up_0_0_352,94
2060,down_0_0_351,103
2064,up_0_0_354,92
2075,up_0_0_358,88
2078,down_0_0_357,94
2094,down_0_0_359,99
2099,down_0_0_361,94
2120,right__0_0_362,105
2130,left_0_0_349,196
2131,left_0_0_350,190
2132,right__0_0_363,97
2133,left_0_0_353,169
2135,left_0_0_355,158
2137,left_0_0_356,155
2138,left_0_0_360,134
2145,up_0_0_364,91
2147,up_0_0_365,87
2187,down_0_0_371,95
2195,right__0_0_366,130
2199,left_0_0_367,130
2200,right__0_0_369,123
2201,left_0_0_368,126
2203,left_0_0_370,114
2219,up_0_0_373,98
2221,down_0_0_372,122
2221,up_0_0_374,95
2223,down_0_0_376,87
2232,up_0_0_377,88
2263,left_0_0_378,117
2269,right__0_0_375,138
2269,left_0_0_380,118
2271,right__0_0_379,121
2271,left_0_0_381,115
2273,left_0_0_384,100
2290,up_0_0_383,118
2295,up_0_0_385,117
2299,up_0_0_386,112
2301,down_0_0_382,137
2303,down_0_0_391,94
2306,up_0_0_387,114
2308,up_0_0_388,111
2309,up_0_0_393,90
2318,down_0_0_397,86
2324,up_0_0_396,93
2330,down_0_0_399,87
2334,up_0_0_401,89
2372,left_0_0_390,172
2377,left_0_0_392,158
2379,right__0_0_389,185
2379,left_0_0_398,138
2380,right__0_0_394,155
2380,left_0_0_402,116
2382,right__0_0_395,152
2382,left_0_0_403,113
2384,right__0_0_400,139
2386,right__0_0_405,109
2387,left_0_0_406,101
2387,right__0_0_409,91
