step,veh_id,ttime
88,left_0_0_0,88
94,right__0_0_2,91
99,left_0_0_1,94
101,left_0_0_4,91
112,left_0_0_6,90
122,right__0_0_7,97
126,right__0_0_8,95
136,left_0_0_10,87
157,left_0_0_11,90
171,up_0_0_3,167
180,down_0_0_9,149
182,down_0_0_12,110
184,up_0_0_5,168
184,down_0_0_15,99
193,down_0_0_17,95
196,up_0_0_18,93
202,left_0_0_13,128
206,right__0_0_14,125
211,left_0_0_20,91
213,right__0_0_16,121
216,left_0_0_21,90
223,right__0_0_23,97
224,left_0_0_22,93
229,right__0_0_25,97
240,left_0_0_27,93
253,left_0_0_29,94
256,right__0_0_30,85
264,right__0_0_31,85
277,up_0_0_19,169
288,up_0_0_26,153
291,down_0_0_24,162
293,down_0_0_28,144
298,down_0_0_34,92
303,up_0_0_35,91
304,down_0_0_37,84
333,left_0_0_33,129
339,right__0_0_32,155
339,left_0_0_42,86
342,right__0_0_36,126
343,right__0_0_38,116
348,left_0_0_44,90
350,right__0_0_39,110
356,left_0_0_46,92
377,left_0_0_47,96
382,right__0_0_52,90
384,left_0_0_48,98
388,right__0_0_54,91
391,left_0_0_50,100
393,left_0_0_51,97
395,left_0_0_55,94
403,left_0_0_56,97
410,down_0_0_40,169
412,down_0_0_43,156
414,down_0_0_45,153
415,up_0_0_41,167
416,down_0_0_53,123
417,down_0_0_57,87
422,up_0_0_49,138
438,up_0_0_59,94
439,up_0_0_60,90
495,left_0_0_58,152
495,right__0_0_62,143
496,left_0_0_61,146
501,left_0_0_63,144
503,right__0_0_65,140
505,left_0_0_64,142
505,right__0_0_68,116
507,right__0_0_69,104
508,left_0_0_66,136
510,left_0_0_67,133
512,left_0_0_70,110
514,left_0_0_71,100
518,left_0_0_73,88
552,right__0_0_77,93
573,down_0_0_75,139
574,up_0_0_72,151
574,down_0_0_78,106
577,up_0_0_74,144
578,up_0_0_76,127
580,up_0_0_80,96
580,down_0_0_82,90
588,down_0_0_83,93
602,down_0_0_86,90
614,up_0_0_87,89
620,down_0_0_90,90
629,up_0_0_94,88
632,down_0_0_91,97
636,down_0_0_93,96
656,right__0_0_79,173
659,left_0_0_81,169
660,left_0_0_84,165
661,right__0_0_85,165
663,right__0_0_88,135
665,right__0_0_89,132
667,right__0_0_95,124
671,left_0_0_92,133
672,left_0_0_96,120
674,left_0_0_97,117
704,down_0_0_98,147
705,up_0_0_99,125
708,down_0_0_100,126
712,up_0_0_102,119
714,down_0_0_101,127
717,down_0_0_103,111
726,up_0_0_108,90
734,up_0_0_109,93
745,up_0_0_111,99
759,up_0_0_114,88
781,right__0_0_106,152
783,right__0_0_107,149
788,left_0_0_104,179
789,left_0_0_105,175
790,right__0_0_110,148
791,left_0_0_112,132
791,right__0_0_113,131
793,left_0_0_115,117
793,right__0_0_117,106
798,left_0_0_120,94
799,left_0_0_121,90
799,right__0_0_122,90
801,left_0_0_125,87
804,right__0_0_123,90
817,left_0_0_126,90
834,right__0_0_127,103
836,right__0_0_128,100
851,left_0_0_132,93
866,up_0_0_116,183
869,down_0_0_124,157
872,down_0_0_130,125
874,up_0_0_118,186
874,down_0_0_135,91
875,up_0_0_119,174
878,up_0_0_129,137
879,up_0_0_131,125
881,up_0_0_133,121
882,down_0_0_137,90
886,up_0_0_138,91
888,up_0_0_140,87
890,up_0_0_141,84
943,down_0_0_144,112
945,down_0_0_150,94
947,up_0_0_151,92
954,left_0_0_134,171
959,left_0_0_136,168
960,left_0_0_143,132
962,left_0_0_145,128
963,right__0_0_139,162
965,right__0_0_142,151
970,right__0_0_156,84
974,left_0_0_146,133
975,left_0_0_147,129
977,left_0_0_148,126
979,left_0_0_149,123
981,left_0_0_152,116
983,left_0_0_153,113
984,left_0_0_154,108
986,left_0_0_155,105
988,left_0_0_157,96
1001,right__0_0_158,95
1003,right__0_0_159,92
1016,right__0_0_161,88
1029,down_0_0_164,88
1040,up_0_0_160,127
1042,up_0_0_162,110
1044,up_0_0_163,108
1056,up_0_0_167,90
1070,down_0_0_169,94
1086,down_0_0_172,98
1087,down_0_0_173,94
1092,down_0_0_174,94
1093,down_0_0_176,90
1104,up_0_0_178,87
1124,right__0_0_166,162
1125,right__0_0_170,141
1127,left_0_0_165,177
1129,left_0_0_168,162
1132,right__0_0_184,94
1133,left_0_0_171,145
1135,left_0_0_175,136
1136,left_0_0_177,128
1138,left_0_0_182,113
1139,right__0_0_186,87
1162,right__0_0_187,97
1178,right__0_0_190,97
1188,right__0_0_196,90
1204,left_0_0_197,98
1208,down_0_0_180,185
1210,up_0_0_179,188
1211,down_0_0_183,176
1214,up_0_0_181,185
1217,down_0_0_189,140
1221,up_0_0_185,176
1222,up_0_0_188,148
1222,down_0_0_191,135
1224,up_0_0_192,136
1226,up_0_0_193,133
1228,up_0_0_194,130
1235,up_0_0_195,131
1237,up_0_0_198,128
1241,up_0_0_199,127
1243,up_0_0_203,107
1251,down_0_0_206,91
1258,down_0_0_207,93
1266,up_0_0_208,95
1279,right__0_0_200,166
1280,right__0_0_211,100
1282,left_0_0_201,157
1284,left_0_0_202,152
1286,left_0_0_204,136
1288,left_0_0_205,133
1289,right__0_0_214,104
1297,right__0_0_217,88
1308,left_0_0_219,95
1328,down_0_0_209,152
1328,up_0_0_212,148
1330,down_0_0_210,149
1331,down_0_0_213,145
1332,up_0_0_216,141
1333,down_0_0_215,142
1335,down_0_0_218,125
1337,up_0_0_226,81
1338,down_0_0_220,122
1341,down_0_0_224,89
1359,up_0_0_229,92
1360,down_0_0_231,85
1366,up_0_0_233,86
1397,left_0_0_221,163
1403,right__0_0_225,148
1404,right__0_0_227,144
1406,right__0_0_228,141
1408,right__0_0_230,137
1410,right__0_0_232,133
1412,left_0_0_222,173
1414,left_0_0_223,162
1416,right__0_0_234,122
1416,left_0_0_236,105
1417,right__0_0_235,109
1421,right__0_0_237,102
1440,left_0_0_241,90
1449,right__0_0_242,93
1472,up_0_0_238,137
1474,up_0_0_239,133
1474,down_0_0_248,86
1482,up_0_0_240,134
1484,up_0_0_243,127
1485,up_0_0_245,106
1487,up_0_0_249,98
1492,down_0_0_252,92
1493,up_0_0_250,95
1512,right__0_0_244,137
1514,left_0_0_246,129
1514,right__0_0_247,128
1516,left_0_0_253,112
1519,left_0_0_258,90
1523,right__0_0_251,123
1525,right__0_0_254,119
1527,left_0_0_262,89
1531,right__0_0_259,101
1545,right__0_0_260,110
1547,down_0_0_256,135
1547,right__0_0_261,107
1560,down_0_0_265,94
1562,up_0_0_255,152
1564,up_0_0_257,136
1566,up_0_0_263,105
1568,up_0_0_266,99
1574,down_0_0_269,83
1585,up_0_0_270,93
1607,down_0_0_273,91
1622,right__0_0_264,157
1629,left_0_0_267,152
1629,right__0_0_268,139
1631,right__0_0_272,115
1634,left_0_0_271,129
1667,right__0_0_283,91
1696,right__0_0_284,110
1721,down_0_0_274,198
1721,up_0_0_276,172
1722,up_0_0_279,165
1723,down_0_0_275,193
1724,up_0_0_280,162
1725,down_0_0_277,174
1726,down_0_0_278,169
1726,up_0_0_282,157
1728,down_0_0_281,166
1728,up_0_0_286,128
1730,down_0_0_285,142
1730,up_0_0_287,122
1735,up_0_0_292,87
1747,down_0_0_294,89
1756,down_0_0_296,86
1767,up_0_0_298,92
1768,up_0_0_299,85
1783,down_0_0_301,95
1783,up_0_0_302,92
1794,left_0_0_288,181
1796,left_0_0_289,164
1798,right__0_0_290,161
1800,right__0_0_293,145
1802,left_0_0_291,155
1803,right__0_0_295,142
1804,left_0_0_297,129
1805,right__0_0_300,117
1806,left_0_0_306,96
1807,right__0_0_305,97
1809,right__0_0_308,94
1825,right__0_0_310,97
1862,right__0_0_316,86
1868,right__0_0_319,85
1871,left_0_0_317,93
1884,up_0_0_303,188
1884,down_0_0_309,166
1885,down_0_0_311,157
1887,down_0_0_312,152
1889,up_0_0_304,188
1889,down_0_0_313,149
1891,up_0_0_307,180
1891,down_0_0_314,146
1892,up_0_0_318,114
1893,down_0_0_315,133
1894,down_0_0_320,101
1901,up_0_0_321,107
1903,up_0_0_324,100
1904,down_0_0_326,95
1905,up_0_0_325,97
1907,up_0_0_327,94
1915,down_0_0_328,90
1927,down_0_0_329,97
1946,left_0_0_322,148
1948,right__0_0_323,142
1950,right__0_0_330,116
1952,right__0_0_333,98
1956,right__0_0_335,97
1972,down_0_0_334,118
1976,up_0_0_331,138
1979,up_0_0_332,132
1980,up_0_0_336,121
1981,down_0_0_338,119
1982,up_0_0_337,118
1984,up_0_0_339,115
1986,up_0_0_340,110
1991,down_0_0_343,94
1996,up_0_0_341,111
1999,down_0_0_345,94
2000,up_0_0_346,87
2016,down_0_0_348,85
2052,left_0_0_342,163
2052,right__0_0_344,152
2059,left_0_0_349,125
2061,left_0_0_350,122
2063,right__0_0_347,135
2063,left_0_0_353,99
2067,left_0_0_355,90
2076,left_0_0_356,94
2088,left_0_0_360,84
2099,right__0_0_362,84
2138,up_0_0_352,178
2140,up_0_0_354,168
2142,up_0_0_358,155
2145,up_0_0_364,91
2147,down_0_0_351,190
2147,up_0_0_365,88
2149,down_0_0_357,163
2150,down_0_0_359,154
2152,down_0_0_361,147
2186,down_0_0_371,94
2189,down_0_0_372,90
2218,up_0_0_373,97
2227,left_0_0_367,158
2229,left_0_0_368,154
2230,right__0_0_363,195
2231,left_0_0_370,142
2232,right__0_0_366,165
2234,right__0_0_369,157
2241,left_0_0_378,95
2242,right__0_0_375,111
2250,left_0_0_380,99
2252,right__0_0_379,102
2252,left_0_0_381,96
2259,left_0_0_384,86
2291,down_0_0_376,155
2297,up_0_0_374,171
2299,up_0_0_377,155
2301,up_0_0_383,129
2302,up_0_0_385,124
2304,down_0_0_382,140
2304,up_0_0_386,117
2306,down_0_0_391,97
2309,up_0_0_387,117
2311,up_0_0_388,114
2313,up_0_0_393,94
2317,down_0_0_397,85
2323,up_0_0_396,92
2331,down_0_0_399,88
2335,up_0_0_401,90
2362,up_0_0_404,87
2378,left_0_0_390,178
2382,left_0_0_392,163
2384,right__0_0_389,190
2384,left_0_0_398,142
2386,right__0_0_394,161
2386,left_0_0_402,122
2387,right__0_0_395,156
2387,left_0_0_403,118
2389,right__0_0_400,144
2391,right__0_0_405,114
2391,left_0_0_406,105
