step,tl_id,previous_state,current_state,action,reward
75,0,[2 3 1],[2 2 0],[ 2.  3.  1. 15.],0.9783659046657532
104,0,[2 2 0],[3 3 1],[2. 2. 0. 8.],0.9650526152292936
148,0,[3 3 1],[4 3 0],[ 3.  3.  1. 13.],0.9567318093315065
216,0,[4 3 0],[1 6 1],[ 4.  3.  0. 21.],0.9531261267757987
287,0,[1 6 1],[5 4 0],[ 1.  6.  1. 22.],0.9572865297246923
358,0,[5 4 0],[ 2 11  1],[ 5.  4.  0. 22.],0.9387033965529674
369,0,[ 2 11  1],[ 2 11  0],[ 2. 11.  1.  2.],0.9423090791086752
431,0,[ 2 11  0],[ 1 15  1],[ 2. 11.  0. 19.],0.922339144953986
511,0,[ 1 15  1],[4 2 0],[ 1. 15.  1. 25.],0.9567318093315065
585,0,[4 2 0],[2 5 1],[ 4.  2.  0. 23.],0.9495204442200909
632,0,[2 5 1],[5 2 0],[ 2.  5.  1. 14.],0.961169572476993
670,0,[5 2 0],[3 4 1],[ 5.  2.  0. 11.],0.961169572476993
702,0,[3 4 1],[6 2 0],[3. 4. 1. 9.],0.961169572476993
725,0,[6 2 0],[3 5 1],[6. 2. 0. 6.],0.9531261267757987
739,0,[3 5 1],[3 4 0],[3. 5. 1. 3.],0.9603374918872143
789,0,[3 4 0],[2 6 1],[ 3.  4.  0. 15.],0.9495204442200909
872,0,[2 6 1],[6 7 0],[ 2.  6.  1. 26.],0.9301052304585873
961,0,[6 7 0],[ 2 12  1],[ 6.  7.  0. 28.],0.9314920314415519
1038,0,[ 2 12  1],[7 3 0],[ 2. 12.  1. 24.],0.9378713159631887
1100,0,[7 3 0],[3 4 1],[ 7.  3.  0. 19.],0.9567318093315065
1117,0,[3 4 1],[6 3 0],[3. 4. 1. 4.],0.9567318093315065
1188,0,[6 3 0],[4 5 1],[ 6.  3.  0. 22.],0.945914761664383
1244,0,[4 5 1],[8 3 0],[ 4.  5.  1. 17.],0.945914761664383
1291,0,[8 3 0],[3 6 1],[ 8.  3.  0. 14.],0.945914761664383
1338,0,[3 6 1],[4 3 0],[ 3.  6.  1. 14.],0.963943174442922
1373,0,[4 3 0],[4 4 1],[ 4.  3.  0. 10.],0.961169572476993
1435,0,[4 4 1],[9 3 0],[ 4.  4.  1. 19.],0.9387033965529674
1452,0,[9 3 0],[5 5 1],[9. 3. 0. 4.],0.9495204442200909
1523,0,[5 5 1],[8 2 0],[ 5.  5.  1. 22.],0.9423090791086752
1579,0,[8 2 0],[4 2 1],[ 8.  2.  0. 17.],0.9603374918872143
1608,0,[4 2 1],[5 2 0],[4. 2. 1. 8.],0.9572865297246923
1661,0,[5 2 0],[1 4 1],[ 5.  2.  0. 16.],0.9689356579815944
1714,0,[1 4 1],[6 2 0],[ 1.  4.  1. 16.],0.9531261267757987
1743,0,[6 2 0],[4 4 1],[6. 2. 0. 8.],0.9567318093315065
1811,0,[4 4 1],[7 3 0],[ 4.  4.  1. 21.],0.9387033965529674
1852,0,[7 3 0],[4 4 1],[ 7.  3.  0. 12.],0.9531261267757987
1926,0,[4 4 1],[10  1  0],[ 4.  4.  1. 23.],0.9314920314415519
2003,0,[10  1  0],[3 6 1],[10.  1.  0. 24.],0.9495204442200909
2086,0,[3 6 1],[5 2 0],[ 3.  6.  1. 26.],0.9531261267757987
2115,0,[5 2 0],[2 3 1],[5. 2. 0. 8.],0.9728187007338951
2207,0,[2 3 1],[8 2 0],[ 2.  3.  1. 29.],0.945914761664383
2272,0,[8 2 0],[2 5 1],[ 8.  2.  0. 20.],0.9531261267757987
2325,0,[2 5 1],[4 4 0],[ 2.  5.  1. 16.],0.9531261267757987
2387,0,[4 4 0],[3 7 1],[ 4.  4.  0. 19.],0.9378713159631887
2428,0,[3 7 1],[5 2 0],[ 3.  7.  1. 12.],0.9675488569986298
2484,0,[5 2 0],[2 5 1],[ 5.  2.  0. 17.],0.9603374918872143
2501,0,[2 5 1],[3 1 0],[2. 5. 1. 4.],0.9805847862384964
2575,0,[3 1 0],[1 6 1],[ 3.  1.  0. 23.],0.9531261267757987
2640,0,[1 6 1],[5 3 0],[ 1.  6.  1. 20.],0.9567318093315065
2705,0,[5 3 0],[3 6 1],[ 5.  3.  0. 20.],0.945914761664383
2785,0,[3 6 1],[7 1 0],[ 3.  6.  1. 25.],0.9456374014677902
2859,0,[7 1 0],[2 4 1],[ 7.  1.  0. 23.],0.9675488569986298
2903,0,[2 4 1],[3 3 0],[ 2.  4.  1. 13.],0.963943174442922
2971,0,[3 3 0],[3 7 1],[ 3.  3.  0. 21.],0.9456374014677902
3030,0,[3 7 1],[4 2 0],[ 3.  7.  1. 18.],0.9711545395543376
3113,0,[4 2 0],[3 6 1],[ 4.  2.  0. 26.],0.9495204442200909
3193,0,[3 6 1],[5 5 0],[ 3.  6.  1. 25.],0.945914761664383
3207,0,[5 5 0],[3 6 1],[5. 5. 0. 3.],0.9495204442200909
3269,0,[3 6 1],[7 2 0],[ 3.  6.  1. 19.],0.9423090791086752
