step,tl_id,new_state
21,0,1
71,0,0
100,0,1
144,0,0
212,0,1
283,0,0
354,0,1
365,0,0
427,0,1
507,0,0
581,0,1
628,0,0
666,0,1
698,0,0
721,0,1
735,0,0
785,0,1
868,0,0
957,0,1
1034,0,0
1096,0,1
1113,0,0
1184,0,1
1240,0,0
1287,0,1
1334,0,0
1369,0,1
1431,0,0
1448,0,1
1519,0,0
1575,0,1
1604,0,0
1657,0,1
1710,0,0
1739,0,1
1807,0,0
1848,0,1
1922,0,0
1999,0,1
2082,0,0
2111,0,1
2203,0,0
2268,0,1
2321,0,0
2383,0,1
2424,0,0
2480,0,1
2497,0,0
2571,0,1
2636,0,0
2701,0,1
2781,0,0
2855,0,1
2899,0,0
2967,0,1
3026,0,0
3109,0,1
3189,0,0
3203,0,1
3265,0,0
3339,0,1
3371,0,0
3430,0,1
3498,0,0
3545,0,1
3619,0,0
3699,0,1
3788,0,0
3874,0,1
3918,0,0
3950,0,1
4000,0,0
4032,0,1
4100,0,0
4192,0,1
4272,0,0
4358,0,1
4432,0,0
4488,0,1
4535,0,0
4579,0,1
4650,0,0
4682,0,1
4738,0,0
4827,0,1
4916,0,0
4981,0,1
5058,0,0
5108,0,1
5155,0,0
5223,0,1
5267,0,0
5287,0,1
5316,0,0
5399,0,1
5482,0,0
5565,0,1
5651,0,0
5725,0,1
5796,0,0
5885,0,1
5917,0,0
6009,0,1
6095,0,0
6181,0,1
6234,0,0
6314,0,1
6391,0,0
6438,0,1
6530,0,0
6556,0,1
6633,0,0
6665,0,1
6706,0,0
6741,0,1
6830,0,0
6895,0,1
6930,0,0
6983,0,1
7051,0,0
7071,0,1
7112,0,0
7195,0,1
7239,0,0
7253,0,1
7345,0,0
7419,0,1
7493,0,0
7567,0,1
7614,0,0
7664,0,1
7717,0,0
7791,0,1
7808,0,0
7834,0,1
7923,0,0
8003,0,1
8068,0,0
8157,0,1
8204,0,0
8266,0,1
8319,0,0
8339,0,1
8395,0,0
8475,0,1
8501,0,0
8557,0,1
8646,0,0
8675,0,1
8758,0,0
8778,0,1
8870,0,0
8911,0,1
8958,0,0
8999,0,1
9061,0,0
9102,0,1
9170,0,0
9253,0,1
9345,0,0
9392,0,1
9430,0,0
9465,0,1
9494,0,0
9544,0,1
9576,0,0
9647,0,1
9703,0,0
9744,0,1
9833,0,0
9916,0,1
10005,0,0
10034,0,1
10111,0,0
10197,0,1
10277,0,0
10309,0,1
10395,0,0
10463,0,1
10513,0,0
10575,0,1
10646,0,0
10705,0,1
10770,0,0
10832,0,1
10909,0,0
10977,0,1
11066,0,0
11149,0,1
11229,0,0
11309,0,1
11341,0,0
11355,0,1
11438,0,0
11494,0,1
11571,0,0
11663,0,1
11677,0,0
11766,0,1
11834,0,0
11878,0,1
11955,0,0
11990,0,1
12067,0,0
12078,0,1
12095,0,0
12187,0,1
12270,0,0
12359,0,1
12436,0,0
12516,0,1
12575,0,0
12664,0,1
12687,0,0
12770,0,1
12823,0,0
12876,0,1
12917,0,0
12958,0,1
13050,0,0
13124,0,1
13201,0,0
13260,0,1
13277,0,0
13303,0,1
13317,0,0
13358,0,1
13378,0,0
13431,0,1
13442,0,0
13477,0,1
13506,0,0
13565,0,1
13594,0,0
13635,0,1
13670,0,0
13732,0,1
13782,0,0
13844,0,1
13888,0,0
13938,0,1
13997,0,0
14062,0,1
14100,0,0
14150,0,1
14200,0,0
14235,0,1
14288,0,0
14323,0,1
14367,0,0
14441,0,1
14482,0,0
14508,0,1
14597,0,0
14614,0,1
14676,0,0
14762,0,1
14782,0,0
14826,0,1
14909,0,0
14950,0,1
14964,0,0
15041,0,1
15067,0,0
15129,0,1
15140,0,0
15190,0,1
15210,0,0
15230,0,1
15319,0,0
15399,0,1
15416,0,0
15475,0,1
15531,0,0
15623,0,1
15652,0,0
15687,0,1
15776,0,0
15835,0,1
15882,0,0
15896,0,1
15979,0,0
16050,0,1
16085,0,0
16117,0,1
16140,0,0
16214,0,1
16288,0,0
16323,0,1
16412,0,0
16501,0,1
16524,0,0
16613,0,1
16675,0,0
16692,0,1
16754,0,0
16810,0,1
16884,0,0
16946,0,1
17002,0,0
17055,0,1
17144,0,0
17209,0,1
17220,0,0
17231,0,1
17320,0,0
17400,0,1
17492,0,0
17572,0,1
17583,0,0
17636,0,1
17659,0,0
17679,0,1
17720,0,0
17752,0,1
17808,0,0
17873,0,1
17899,0,0
17931,0,1
17996,0,0
18052,0,1
18129,0,0
18182,0,1
18244,0,0
18270,0,1
18353,0,0
18436,0,1
18453,0,0
18536,0,1
18556,0,0
18645,0,1
18686,0,0
18697,0,1
18789,0,0
18869,0,1
18883,0,0
18951,0,1
18992,0,0
19021,0,1
19038,0,0
19115,0,1
19132,0,0
19158,0,1
19250,0,0
19339,0,1
19356,0,0
19394,0,1
19483,0,0
19542,0,1
19568,0,0
19621,0,1
19653,0,0
19724,0,1
19810,0,0
19902,0,1
19934,0,0
19969,0,1
20016,0,0
20042,0,1
20116,0,0
20178,0,1
20192,0,0
20254,0,1
20289,0,0
20378,0,1
20443,0,0
20475,0,1
20558,0,0
20650,0,1
20667,0,0
20696,0,1
20779,0,0
20823,0,1
20864,0,0
20953,0,1
20979,0,0
21065,0,1
21115,0,0
21171,0,1
21260,0,0
21331,0,1
21423,0,0
21506,0,1
21562,0,0
21588,0,1
21626,0,0
21718,0,1
21807,0,0
21896,0,1
21946,0,0
22020,0,1
22040,0,0
22093,0,1
22182,0,0
22241,0,1
22327,0,0
22392,0,1
22406,0,0
22498,0,1
22548,0,0
22631,0,1
22675,0,0
22734,0,1
22757,0,0
22807,0,1
22842,0,0
22859,0,1
22927,0,0
23001,0,1
23015,0,0
23074,0,1
23148,0,0
23222,0,1
23260,0,0
23334,0,1
23348,0,0
23422,0,1
23454,0,0
23480,0,1
23497,0,0
23532,0,1
23588,0,0
23674,0,1
23685,0,0
23699,0,1
23731,0,0
23814,0,1
23831,0,0
23872,0,1
23904,0,0
23966,0,1
24019,0,0
24078,0,1
24092,0,0
24151,0,1
24240,0,0
24308,0,1
24352,0,0
24426,0,1
24503,0,0
24586,0,1
24669,0,0
24743,0,1
24820,0,0
24879,0,1
24959,0,0
25039,0,1
25113,0,0
25190,0,1
25276,0,0
25362,0,1
25385,0,0
25471,0,1
25536,0,0
25556,0,1
25636,0,0
25686,0,1
25712,0,0
25774,0,1
25812,0,0
25832,0,1
25867,0,0
25890,0,1
25940,0,0
26023,0,1
26112,0,0
26141,0,1
26191,0,0
26232,0,1
26309,0,0
26398,0,1
26466,0,0
26510,0,1
26596,0,0
26664,0,1
26729,0,0
26797,0,1
26865,0,0
26951,0,1
27040,0,0
27126,0,1
27215,0,0
27232,0,1
27321,0,0
27413,0,1
27484,0,0
27573,0,1
27662,0,0
27727,0,1
27759,0,0
27815,0,1
27826,0,0
27891,0,1
27956,0,0
27967,0,1
28050,0,0
28106,0,1
28159,0,0
28236,0,1
28274,0,0
28297,0,1
28380,0,0
28442,0,1
28486,0,0
28578,0,1
28643,0,0
28711,0,1
28791,0,0
28862,0,1
28900,0,0
28986,0,1
28997,0,0
29014,0,1
29076,0,0
29159,0,1
29176,0,0
29259,0,1
29348,0,0
29440,0,1
29481,0,0
29570,0,1
29596,0,0
29637,0,1
29699,0,0
29728,0,1
29778,0,0
29855,0,1
29878,0,0
29955,0,1
29975,0,0
30010,0,1
30090,0,0
30128,0,1
30205,0,0
30288,0,1
30335,0,0
30427,0,1
30498,0,0
30587,0,1
30598,0,0
30669,0,1
30698,0,0
30784,0,1
30840,0,0
30920,0,1
30931,0,0
30993,0,1
31067,0,0
31078,0,1
31155,0,0
31196,0,1
31288,0,0
31371,0,1
31442,0,0
31498,0,1
31575,0,0
31658,0,1
31732,0,0
31782,0,1
31796,0,0
31813,0,1
31851,0,0
31928,0,1
31939,0,0
31959,0,1
32051,0,0
32131,0,1
32157,0,0
32216,0,1
32308,0,0
32355,0,1
32423,0,0
32512,0,1
32604,0,0
32645,0,1
32713,0,0
32736,0,1
32825,0,0
32890,0,1
32901,0,0
32966,0,1
33043,0,0
33132,0,1
33197,0,0
33253,0,1
33345,0,0
33365,0,1
33451,0,0
33489,0,1
33503,0,0
33586,0,1
33645,0,0
33674,0,1
33688,0,0
33735,0,1
33770,0,0
33853,0,1
33876,0,0
33932,0,1
33982,0,0
34068,0,1
34154,0,0
34186,0,1
34197,0,0
34286,0,1
34342,0,0
