step,tl_id,previous_state,current_state,action,reward
25,0,[0 0 0],[2 3 1],[ 0.  0.  0. 26.],0.48148148148148145
111,0,[2 3 1],[4 2 0],[ 2.  3.  1. 27.],0.9285257565923896
182,0,[4 2 0],[1 7 1],[ 4.  2.  0. 22.],0.8102032803698629
265,0,[1 7 1],[6 2 0],[ 1.  7.  1. 26.],0.9038997459996955
348,0,[6 2 0],[ 1 10  1],[ 6.  2.  0. 26.],0.8894770157768642
359,0,[ 1 10  1],[2 9 0],[ 1. 10.  1.  2.],0.36575883592541847
418,0,[2 9 0],[ 0 15  1],[ 2.  9.  0. 18.],0.7020840845171991
501,0,[ 0 15  1],[4 2 0],[ 0. 15.  1. 26.],0.9038997459996955
572,0,[4 2 0],[4 6 1],[ 4.  2.  0. 22.],0.8150108571108067
661,0,[4 6 1],[7 3 0],[ 4.  6.  1. 28.],0.9387290369622526
726,0,[7 3 0],[3 7 1],[ 7.  3.  0. 20.],0.7681626242958903
797,0,[3 7 1],[6 3 0],[ 3.  7.  1. 22.],0.8126070687403347
889,0,[6 3 0],[ 1 13  1],[ 6.  3.  0. 29.],0.9609512591844748
969,0,[ 1 13  1],[4 2 0],[ 1. 13.  1. 25.],0.8840813121479453
1052,0,[4 2 0],[4 6 1],[ 4.  2.  0. 26.],0.9014959576292236
1102,0,[4 6 1],[7 3 0],[ 4.  6.  1. 15.],0.6570515131847792
1182,0,[7 3 0],[3 5 1],[ 7.  3.  0. 25.],0.8792737354070015
1235,0,[3 5 1],[8 1 0],[ 3.  5.  1. 16.],0.6768699470365296
1312,0,[8 1 0],[2 8 1],[ 8.  1.  0. 24.],0.8570515131847792
1374,0,[2 8 1],[6 1 0],[ 2.  8.  1. 19.],0.750747978814612
1460,0,[6 1 0],[2 8 1],[ 6.  1.  0. 27.],0.918910603110502
1483,0,[2 8 1],[4 3 0],[2. 8. 1. 6.],0.4594553015552511
1551,0,[4 3 0],[3 5 1],[ 4.  3.  0. 21.],0.7903848465181126
1628,0,[3 5 1],[7 1 0],[ 3.  5.  1. 24.],0.8522439364438356
1711,0,[7 1 0],[5 5 1],[ 7.  1.  0. 26.],0.9014959576292236
1752,0,[5 5 1],[7 3 0],[ 5.  5.  1. 12.],0.5879810581476407
1838,0,[7 3 0],[4 7 1],[ 7.  3.  0. 27.],0.9213143914809739
1864,0,[4 7 1],[7 3 0],[4. 7. 1. 7.],0.4792737354070014
1875,0,[7 3 0],[7 3 1],[7. 3. 0. 2.],0.3753739894073059
1904,0,[7 3 1],[9 2 0],[7. 3. 1. 8.],0.49909216925875177
1996,0,[9 2 0],[3 6 1],[ 9.  2.  0. 29.],0.9705664126663622
2064,0,[3 6 1],[5 1 0],[ 3.  6.  1. 21.],0.7903848465181126
2129,0,[5 1 0],[2 3 1],[ 5.  1.  0. 20.],0.7705664126663622
2152,0,[2 3 1],[3 1 0],[2. 3. 1. 6.],0.46185908992572294
2241,0,[3 1 0],[3 6 1],[ 3.  1.  0. 28.],0.945940402073668
2300,0,[3 6 1],[5 4 0],[ 3.  6.  1. 18.],0.7237181798514459
2335,0,[5 4 0],[2 6 1],[ 5.  4.  0. 10.],0.54834419044414
2406,0,[2 6 1],[6 3 0],[ 2.  6.  1. 22.],0.8102032803698629
2441,0,[6 3 0],[4 5 1],[ 6.  3.  0. 10.],0.54834419044414
2527,0,[4 5 1],[8 3 0],[ 4.  5.  1. 27.],0.918910603110502
2601,0,[8 3 0],[3 8 1],[ 8.  3.  0. 23.],0.8324255025920851
2660,0,[3 8 1],[6 2 0],[ 3.  8.  1. 18.],0.7237181798514459
2746,0,[6 2 0],[3 7 1],[ 6.  2.  0. 27.],0.9213143914809739
2826,0,[3 7 1],[9 2 0],[ 3.  7.  1. 25.],0.8744661586660577
2915,0,[9 2 0],[2 7 1],[ 9.  2.  0. 28.],0.9435366137031962
2995,0,[2 7 1],[4 3 0],[ 2.  7.  1. 25.],0.8792737354070015
3051,0,[4 3 0],[2 5 1],[ 4.  3.  0. 17.],0.7038997459996955
3107,0,[2 5 1],[5 3 0],[ 2.  5.  1. 17.],0.7014959576292236
3199,0,[5 3 0],[2 8 1],[ 5.  3.  0. 29.],0.9681626242958904
3288,0,[2 8 1],[9 3 0],[ 2.  8.  1. 28.],0.9435366137031962
3359,0,[9 3 0],[4 9 1],[ 9.  3.  0. 22.],0.8126070687403347
3439,0,[4 9 1],[6 3 0],[ 4.  9.  1. 25.],0.8768699470365297
3510,0,[6 3 0],[3 5 1],[ 6.  3.  0. 22.],0.8150108571108067
3545,0,[3 5 1],[3 4 0],[ 3.  5.  1. 10.],0.5459404020736681
3598,0,[3 4 0],[3 5 1],[ 3.  4.  0. 16.],0.6768699470365296
3630,0,[3 5 1],[4 2 0],[3. 5. 1. 9.],0.5261219682219177
3704,0,[4 2 0],[3 6 1],[ 4.  2.  0. 23.],0.8348292909625571
3772,0,[3 6 1],[8 1 0],[ 3.  6.  1. 21.],0.7855772697771689
3840,0,[8 1 0],[2 6 1],[ 8.  1.  0. 21.],0.7951924232590564
3905,0,[2 6 1],[7 2 0],[ 2.  6.  1. 20.],0.7681626242958903
3997,0,[7 2 0],[6 4 1],[ 7.  2.  0. 29.],0.9729702010368341
4086,0,[6 4 1],[11  2  0],[ 6.  4.  1. 28.],0.9339214602213088
4151,0,[11  2  0],[3 5 1],[11.  2.  0. 20.],0.7705664126663622
4219,0,[3 5 1],[6 3 0],[ 3.  5.  1. 21.],0.7855772697771689
