step,tl_id,previous_state,current_state,action,reward
99,0,[2 3 1],[3 2 0],[ 2.  3.  1. 23.],0.9675488569986298
140,0,[3 2 0],[3 5 1],[ 3.  2.  0. 12.],0.9495204442200909
208,0,[3 5 1],[3 3 0],[ 3.  5.  1. 21.],0.9650526152292936
273,0,[3 3 0],[3 6 1],[ 3.  3.  0. 20.],0.9495204442200909
356,0,[3 6 1],[5 2 0],[ 3.  6.  1. 26.],0.9567318093315065
427,0,[5 2 0],[1 8 1],[ 5.  2.  0. 22.],0.9495204442200909
480,0,[1 8 1],[3 1 0],[ 1.  8.  1. 16.],0.9767017434861958
545,0,[3 1 0],[3 5 1],[ 3.  1.  0. 20.],0.9531261267757987
601,0,[3 5 1],[7 1 0],[ 3.  5.  1. 17.],0.9534034869723915
624,0,[7 1 0],[3 3 1],[7. 1. 0. 6.],0.9689356579815944
683,0,[3 3 1],[6 2 0],[ 3.  3.  1. 18.],0.9531261267757987
760,0,[6 2 0],[2 7 1],[ 6.  2.  0. 24.],0.9423090791086752
780,0,[2 7 1],[3 2 0],[2. 7. 1. 5.],0.9711545395543376
845,0,[3 2 0],[2 7 1],[ 3.  2.  0. 20.],0.9495204442200909
904,0,[2 7 1],[3 5 0],[ 2.  7.  1. 18.],0.9603374918872143
954,0,[3 5 0],[3 7 1],[ 3.  5.  0. 15.],0.9423090791086752
986,0,[3 7 1],[4 3 0],[3. 7. 1. 9.],0.9567318093315065
1003,0,[4 3 0],[4 4 1],[4. 3. 0. 4.],0.9531261267757987
1074,0,[4 4 1],[11  5  0],[ 4.  4.  1. 22.],0.9184561022016853
1124,0,[11  5  0],[ 8 10  1],[11.  5.  0. 15.],0.9278863488858441
1213,0,[ 8 10  1],[15  4  0],[ 8. 10.  1. 28.],0.8954352058844739
1251,0,[15  4  0],[5 5 1],[15.  4.  0. 11.],0.9387033965529674
1337,0,[5 5 1],[9 6 0],[ 5.  5.  1. 27.],0.9170693012187207
1405,0,[9 6 0],[ 5 11  1],[ 9.  6.  0. 21.],0.913463618663013
1461,0,[ 5 11  1],[9 4 0],[ 5. 11.  1. 17.],0.913463618663013
1526,0,[9 4 0],[4 8 1],[ 9.  4.  0. 20.],0.9314920314415519
1570,0,[4 8 1],[12  0  0],[ 4.  8.  1. 13.],0.9242806663301363
1647,0,[12  0  0],[3 5 1],[12.  0.  0. 24.],0.9567318093315065
1688,0,[3 5 1],[8 4 0],[ 3.  5.  1. 12.],0.9242806663301363
1759,0,[8 4 0],[ 6 10  1],[ 8.  4.  0. 22.],0.922339144953986
1824,0,[ 6 10  1],[12  4  0],[ 6. 10.  1. 20.],0.9026465709958895
1859,0,[12  4  0],[7 8 1],[12.  4.  0. 10.],0.9062522535515973
1933,0,[7 8 1],[15  3  0],[ 7.  8.  1. 23.],0.8846181582173506
2013,0,[15  3  0],[ 7 15  1],[15.  3.  0. 25.],0.8629840628831038
2105,0,[ 7 15  1],[24  8  0],[ 7. 15.  1. 29.],0.7836590466575323
2116,0,[24  8  0],[25 10  1],[24.  8.  0.  2.],0.7620249513232855
2196,0,[25 10  1],[40  8  0],[25. 10.  1. 25.],0.6718828874305907
2255,0,[40  8  0],[28 19  1],[40.  8.  0. 18.],0.6790942525420062
2317,0,[28 19  1],[37  8  0],[28. 19.  1. 19.],0.6899113002091295
2409,0,[37  8  0],[11 25  1],[37.  8.  0. 29.],0.7548135862118699
2447,0,[11 25  1],[18 19  0],[11. 25.  1. 11.],0.7584192687675777
2482,0,[18 19  0],[12 25  1],[18. 19.  0. 10.],0.7512079036561621
2502,0,[12 25  1],[16 24  0],[12. 25.  1.  5.],0.7331794908776231
2567,0,[16 24  0],[ 9 37  1],[16. 24.  0. 20.],0.6790942525420062
2596,0,[ 9 37  1],[13 33  0],[ 9. 37.  1.  8.],0.6790942525420062
2682,0,[13 33  0],[ 8 50  1],[13. 33.  0. 27.],0.592557871205019
2774,0,[ 8 50  1],[26 24  0],[ 8. 50.  1. 29.],0.6502487920963438
2827,0,[26 24  0],[15 31  1],[26. 24.  0. 16.],0.6718828874305907
2877,0,[15 31  1],[24 22  0],[15. 31.  1. 15.],0.6718828874305907
2957,0,[24 22  0],[ 7 36  1],[24. 22.  0. 25.],0.6935169827648373
3019,0,[ 7 36  1],[17 22  0],[ 7. 36.  1. 19.],0.7259681257662075
3108,0,[17 22  0],[ 6 36  1],[17. 22.  0. 28.],0.6971226653205451
3179,0,[ 6 36  1],[18 19  0],[ 6. 36.  1. 22.],0.7331794908776231
3262,0,[18 19  0],[ 8 33  1],[18. 19.  0. 26.],0.7115453955433764
3300,0,[ 8 33  1],[14 27  0],[ 8. 33.  1. 11.],0.7079397129876686
3380,0,[14 27  0],[ 8 42  1],[14. 27.  0. 25.],0.646643109540636
3448,0,[ 8 42  1],[21 27  0],[ 8. 42.  1. 21.],0.6610658397634672
3525,0,[21 27  0],[ 8 40  1],[21. 27.  0. 24.],0.664671522319175
3614,0,[ 8 40  1],[22 16  0],[ 8. 40.  1. 28.],0.7331794908776231
3682,0,[22 16  0],[ 8 25  1],[22. 16.  0. 21.],0.7656306338789933
3705,0,[ 8 25  1],[12 24  0],[ 8. 25.  1.  6.],0.7439965385447465
3773,0,[12 24  0],[ 8 37  1],[12. 24.  0. 21.],0.6790942525420062
3841,0,[ 8 37  1],[20 21  0],[ 8. 37.  1. 21.],0.7079397129876686
3918,0,[20 21  0],[ 8 32  1],[20. 21.  0. 24.],0.7151510780990842
3974,0,[ 8 32  1],[16 20  0],[ 8. 32.  1. 17.],0.7439965385447465
4042,0,[16 20  0],[ 8 31  1],[16. 20.  0. 21.],0.7223624432104998
4134,0,[ 8 31  1],[25  7  0],[ 8. 31.  1. 29.],0.7764476815461167
4220,0,[25  7  0],[ 8 21  1],[25.  7.  0. 27.],0.7980817768803634
4267,0,[ 8 21  1],[15 13  0],[ 8. 21.  1. 14.],0.8088988245474868
4350,0,[15 13  0],[ 9 27  1],[15. 13.  0. 26.],0.7548135862118699
4433,0,[ 9 27  1],[24  8  0],[ 9. 27.  1. 26.],0.7728419989904088
4465,0,[24  8  0],[20 13  1],[24.  8.  0.  9.],0.769236316434701
4506,0,[20 13  1],[28  8  0],[20. 13.  1. 12.],0.7476022211004543
4571,0,[28  8  0],[12 19  1],[28.  8.  0. 20.],0.7836590466575323
4612,0,[12 19  1],[18 12  0],[12. 19.  1. 12.],0.7908704117689478
4695,0,[18 12  0],[ 8 26  1],[18. 12.  0. 26.],0.7584192687675777
4748,0,[ 8 26  1],[18 15  0],[ 8. 26.  1. 16.],0.769236316434701
4789,0,[18 15  0],[11 22  1],[18. 15.  0. 12.],0.769236316434701
4830,0,[11 22  1],[18 14  0],[11. 22.  1. 12.],0.7764476815461167
4910,0,[18 14  0],[ 9 28  1],[18. 14.  0. 25.],0.7403908559890386
4975,0,[ 9 28  1],[19 13  0],[ 9. 28.  1. 20.],0.7764476815461167
5046,0,[19 13  0],[ 8 24  1],[19. 13.  0. 22.],0.7764476815461167
5102,0,[ 8 24  1],[18 12  0],[ 8. 24.  1. 17.],0.7980817768803634
5194,0,[18 12  0],[ 7 27  1],[18. 12.  0. 29.],0.7548135862118699
5265,0,[ 7 27  1],[21 10  0],[ 7. 27.  1. 22.],0.7836590466575323
5333,0,[21 10  0],[ 8 18  1],[21. 10.  0. 21.],0.8125045071031947
5413,0,[ 8 18  1],[21  7  0],[ 8. 18.  1. 25.],0.8016874594360712
5490,0,[21  7  0],[ 8 20  1],[21.  7.  0. 24.],0.805293141991779
5525,0,[ 8 20  1],[13 15  0],[ 8. 20.  1. 10.],0.8016874594360712
5569,0,[13 15  0],[ 8 22  1],[13. 15.  0. 13.],0.7836590466575323
5628,0,[ 8 22  1],[19  9  0],[ 8. 22.  1. 18.],0.8088988245474868
5702,0,[19  9  0],[ 8 21  1],[19.  9.  0. 23.],0.7980817768803634
5782,0,[ 8 21  1],[22  7  0],[ 8. 21.  1. 25.],0.7944760943246556
5811,0,[22  7  0],[18 12  1],[22.  7.  0.  8.],0.7872647292132401
5891,0,[18 12  1],[32  8  0],[18. 12.  1. 25.],0.7151510780990842
5902,0,[32  8  0],[32  9  1],[32.  8.  0.  2.],0.7043340304319607
5952,0,[32  9  1],[42  8  0],[32.  9.  1. 15.],0.6430374269849282
5969,0,[42  8  0],[41 11  1],[42.  8.  0.  4.],0.628614696762097
6058,0,[41 11  1],[58  9  0],[41. 11.  1. 28.],0.524049902646571
6129,0,[58  9  0],[36 22  1],[58.  9.  0. 22.],0.5889521886493112
6182,0,[36 22  1],[42 12  0],[36. 22.  1. 16.],0.6214033316506815
6220,0,[42 12  0],[37 18  1],[42. 12.  0. 11.],0.6141919665392659
6234,0,[37 18  1],[39 17  0],[37. 18.  1.  3.],0.6069806014278503
6275,0,[39 17  0],[32 25  1],[39. 17.  0. 12.],0.6033749188721425
6322,0,[32 25  1],[40 16  0],[32. 25.  1. 14.],0.6105862839835581
6357,0,[40 16  0],[35 22  1],[40. 16.  0. 10.],0.6069806014278503
6446,0,[35 22  1],[52  8  0],[35. 22.  1. 28.],0.5817408235378957
6535,0,[52  8  0],[28 24  1],[52.  8.  0. 28.],0.6430374269849282
6603,0,[28 24  1],[39  9  0],[28. 24.  1. 21.],0.6790942525420062
6656,0,[39  9  0],[27 16  1],[39.  9.  0. 16.],0.7079397129876686
6667,0,[27 16  1],[29 16  0],[27. 16.  1.  2.],0.6935169827648373
6750,0,[29 16  0],[ 8 33  1],[29. 16.  0. 26.],0.7079397129876686
6833,0,[ 8 33  1],[23 11  0],[ 8. 33.  1. 26.],0.769236316434701
6922,0,[23 11  0],[ 7 26  1],[23. 11.  0. 28.],0.7656306338789933
6936,0,[ 7 26  1],[ 9 26  0],[ 7. 26.  1.  3.],0.7476022211004543
7022,0,[ 9 26  0],[ 8 43  1],[ 9. 26.  0. 27.],0.6358260618735126
7105,0,[ 8 43  1],[25 22  0],[ 8. 43.  1. 26.],0.6718828874305907
7152,0,[25 22  0],[16 28  1],[25. 22.  0. 14.],0.6899113002091295
7178,0,[16 28  1],[20 25  0],[16. 28.  1.  7.],0.6790942525420062
7246,0,[20 25  0],[ 8 39  1],[20. 25.  0. 21.],0.6682772048748828
7293,0,[ 8 39  1],[15 29  0],[ 8. 39.  1. 14.],0.6899113002091295
7364,0,[15 29  0],[ 8 41  1],[15. 29.  0. 22.],0.6538544746520516
7423,0,[ 8 41  1],[18 29  0],[ 8. 41.  1. 18.],0.6718828874305907
7500,0,[18 29  0],[ 8 42  1],[18. 29.  0. 24.],0.646643109540636
7556,0,[ 8 42  1],[18 29  0],[ 8. 42.  1. 17.],0.6718828874305907
7630,0,[18 29  0],[ 8 41  1],[18. 29.  0. 23.],0.6538544746520516
7659,0,[ 8 41  1],[14 38  0],[ 8. 41.  1.  8.],0.6394317444292204
7751,0,[14 38  0],[ 7 55  1],[14. 38.  0. 29.],0.5637124107593567
7813,0,[ 7 55  1],[19 41  0],[ 7. 55.  1. 19.],0.5853465060936035
7896,0,[19 41  0],[ 7 52  1],[19. 41.  0. 26.],0.5853465060936035
7973,0,[ 7 52  1],[20 33  0],[ 7. 52.  1. 24.],0.6610658397634672
8044,0,[20 33  0],[ 7 44  1],[20. 33.  0. 22.],0.6538544746520516
8133,0,[ 7 44  1],[25 20  0],[ 7. 44.  1. 28.],0.7512079036561621
8201,0,[25 20  0],[ 9 31  1],[25. 20.  0. 21.],0.7439965385447465
8278,0,[ 9 31  1],[23 11  0],[ 9. 31.  1. 24.],0.823321554770318
8355,0,[23 11  0],[ 7 24  1],[23. 11.  0. 24.],0.8088988245474868
8420,0,[ 7 24  1],[20  8  0],[ 7. 24.  1. 20.],0.8449556501045647
8473,0,[20  8  0],[ 9 16  1],[20.  8.  0. 16.],0.8485613326602726
8520,0,[ 9 16  1],[18  9  0],[ 9. 16.  1. 14.],0.8629840628831038
8576,0,[18  9  0],[ 9 18  1],[18.  9.  0. 17.],0.8305329198817336
8629,0,[ 9 18  1],[19  8  0],[ 9. 18.  1. 16.],0.8629840628831038
8646,0,[19  8  0],[18 12  1],[19.  8.  0.  4.],0.8521670152159804
8732,0,[18 12  1],[35  8  0],[18. 12.  1. 27.],0.8088988245474868
8779,0,[35  8  0],[26 16  1],[35.  8.  0. 14.],0.7836590466575323
8844,0,[26 16  1],[38  8  0],[26. 16.  1. 20.],0.7872647292132401
8909,0,[38  8  0],[24 20  1],[38.  8.  0. 20.],0.7584192687675777
8989,0,[24 20  1],[39  8  0],[24. 20.  1. 25.],0.7836590466575323
9063,0,[39  8  0],[21 22  1],[39.  8.  0. 23.],0.7620249513232855
9104,0,[21 22  1],[29 15  0],[21. 22.  1. 12.],0.7764476815461167
9154,0,[29 15  0],[19 23  1],[29. 15.  0. 15.],0.7584192687675777
9243,0,[19 23  1],[36  8  0],[19. 23.  1. 28.],0.7872647292132401
9329,0,[36  8  0],[13 23  1],[36.  8.  0. 27.],0.7872647292132401
9400,0,[13 23  1],[27  8  0],[13. 23.  1. 22.],0.8305329198817336
9468,0,[27  8  0],[11 19  1],[27.  8.  0. 21.],0.8161101896589025
9518,0,[11 19  1],[21  9  0],[11. 19.  1. 15.],0.8305329198817336
9598,0,[21  9  0],[ 5 23  1],[21.  9.  0. 25.],0.7980817768803634
9663,0,[ 5 23  1],[10  9  0],[ 5. 23.  1. 20.],0.8665897454388116
