step,tl_id,previous_state,current_state,action,reward
25,0,[0 0 1],[2 3 1],[ 0.  0.  1. 17.],0.48148148148148145
111,0,[2 3 1],[4 2 0],[ 2.  3.  1. 27.],0.9285257565923896
203,0,[4 2 0],[0 7 1],[ 4.  2.  0. 29.],0.9609512591844748
235,0,[0 7 1],[2 2 0],[0. 7. 1. 9.],0.5333333333333333
300,0,[2 2 0],[3 8 1],[ 2.  2.  0. 20.],0.7705664126663622
368,0,[3 8 1],[4 3 0],[ 3.  8.  1. 21.],0.7927886348885845
454,0,[4 3 0],[2 9 1],[ 4.  3.  0. 27.],0.9165068147400302
540,0,[2 9 1],[7 3 0],[ 2.  9.  1. 27.],0.9237181798514458
605,0,[7 3 0],[2 4 1],[ 7.  3.  0. 20.],0.7681626242958903
616,0,[2 4 1],[3 3 0],[2. 4. 1. 2.],0.3729702010368341
651,0,[3 3 0],[3 5 1],[ 3.  3.  0. 10.],0.5507479788146118
725,0,[3 5 1],[7 3 0],[ 3.  5.  1. 23.],0.8348292909625571
808,0,[7 3 0],[2 7 1],[ 7.  3.  0. 26.],0.8990921692587518
840,0,[2 7 1],[3 2 0],[2. 7. 1. 9.],0.5285257565923897
920,0,[3 2 0],[ 1 11  1],[ 3.  2.  0. 25.],0.869658581925114
955,0,[ 1 11  1],[3 2 0],[ 1. 11.  1. 10.],0.5555555555555555
1011,0,[3 2 0],[5 6 1],[ 3.  2.  0. 17.],0.7014959576292236
1049,0,[5 6 1],[10  3  0],[ 5.  6.  1. 11.],0.5657588359254184
1135,0,[10  3  0],[ 6 12  1],[10.  3.  0. 27.],0.9141030263695583
1185,0,[ 6 12  1],[12  3  0],[ 6. 12.  1. 15.],0.6474363597028917
1208,0,[12  3  0],[7 4 1],[12.  3.  0.  6.],0.4570515131847792
1222,0,[7 4 1],[8 5 0],[7. 4. 1. 3.],0.38798105814764067
1293,0,[8 5 0],[ 3 10  1],[ 8.  5.  0. 22.],0.8102032803698629
1307,0,[ 3 10  1],[3 8 0],[ 3. 10.  1.  3.],0.39278863488858445
1390,0,[3 8 0],[ 4 16  1],[ 3.  8.  0. 26.],0.8774580739245049
1479,0,[ 4 16  1],[13  4  0],[ 4. 16.  1. 28.],0.9339214602213088
1559,0,[13  4  0],[6 7 1],[13.  4.  0. 25.],0.8720623702955859
1642,0,[6 7 1],[12  2  0],[ 6.  7.  1. 26.],0.8870732274063924
1698,0,[12  2  0],[6 6 1],[12.  2.  0. 17.],0.7038997459996955
1754,0,[6 6 1],[12  4  0],[ 6.  6.  1. 17.],0.6942845925178082
1825,0,[12  4  0],[ 4 10  1],[12.  4.  0. 22.],0.8053957036289191
1872,0,[ 4 10  1],[12  4  0],[ 4. 10.  1. 14.],0.6324255025920852
1964,0,[12  4  0],[3 9 1],[12.  4.  0. 29.],0.9633550475549466
2041,0,[3 9 1],[17  8  0],[ 3.  9.  1. 24.],0.8426287829619481
2073,0,[17  8  0],[13 14  1],[17.  8.  0.  9.],0.5116992379990866
2141,0,[13 14  1],[25  8  0],[13. 14.  1. 21.],0.7543280209610347
2224,0,[25  8  0],[ 8 24  1],[25.  8.  0. 26.],0.8702467088130894
2301,0,[ 8 24  1],[21  7  0],[ 8. 24.  1. 24.],0.8306098411095887
2381,0,[21  7  0],[ 7 21  1],[21.  7.  0. 25.],0.8552358517022828
2470,0,[ 7 21  1],[24  7  0],[ 7. 21.  1. 28.],0.9146911532575338
2538,0,[24  7  0],[ 8 19  1],[24.  7.  0. 21.],0.7687507511838657
2594,0,[ 8 19  1],[16  9  0],[ 8. 19.  1. 17.],0.6846694390359206
2671,0,[16  9  0],[ 8 23  1],[16.  9.  0. 24.],0.825802264368645
2748,0,[ 8 23  1],[22  8  0],[ 8. 23.  1. 24.],0.8282060527391168
2777,0,[22  8  0],[18 12  1],[22.  8.  0.  8.],0.4918808041473362
2824,0,[18 12  1],[27  8  0],[18. 12.  1. 14.],0.5939648886645353
2886,0,[27  8  0],[12 19  1],[27.  8.  0. 19.],0.7194987299984777
2915,0,[12 19  1],[17 15  0],[12. 19.  1.  8.],0.47986186229497685
2932,0,[17 15  0],[16 19  1],[17. 15.  0.  4.],0.38135781992420054
3024,0,[16 19  1],[34  8  0],[16. 19.  1. 29.],0.9080679150340938
3062,0,[34  8  0],[27 14  1],[34.  8.  0. 11.],0.536913375479756
3106,0,[27 14  1],[35  8  0],[27. 14.  1. 13.],0.5501085711080663
3120,0,[35  8  0],[34 11  1],[35.  8.  0.  3.],0.3302901372563159
3137,0,[34 11  1],[37 10  0],[34. 11.  1.  4.],0.3501085711080663
