step,tl_id,previous_state,current_state,action,reward
57,0,[0 0 2 3 1],[1 0 1 2 0],[0. 0. 2. 3. 1. 9.],0.9963943174442922
86,0,[1 0 1 2 0],[0 2 1 2 1],[1. 0. 1. 2. 0. 8.],0.9883508717430979
142,0,[0 2 1 2 1],[2 0 2 3 0],[ 0.  2.  1.  2.  1. 17.],0.9927886348885844
219,0,[2 0 2 3 0],[0 5 1 1 1],[ 2.  0.  2.  3.  0. 24.],0.9711545395543376
236,0,[0 5 1 1 1],[0 2 2 1 0],[0. 5. 1. 1. 1. 4.],0.9891829523328766
277,0,[0 2 2 1 0],[0 3 3 3 1],[ 0.  2.  2.  1.  0. 12.],0.9783659046657532
339,0,[0 3 3 3 1],[4 0 1 3 0],[ 0.  3.  3.  3.  1. 19.],0.9783659046657532
362,0,[4 0 1 3 0],[0 3 2 3 1],[4. 0. 1. 3. 0. 6.],0.9855772697771689
424,0,[0 3 2 3 1],[2 0 0 2 0],[ 0.  3.  2.  3.  1. 19.],0.9891829523328766
441,0,[2 0 0 2 0],[0 1 2 2 1],[2. 0. 0. 2. 0. 4.],0.9963943174442922
470,0,[0 1 2 2 1],[1 0 2 1 0],[0. 1. 2. 2. 1. 8.],0.9963943174442922
484,0,[1 0 2 1 0],[0 1 1 0 1],[1. 0. 2. 1. 0. 3.],0.9963943174442922
567,0,[0 1 1 0 1],[4 0 4 3 0],[ 0.  1.  1.  0.  1. 26.],0.9783659046657532
584,0,[4 0 4 3 0],[2 2 2 1 1],[4. 0. 4. 3. 0. 4.],0.981971587221461
670,0,[2 2 2 1 1],[7 0 0 4 0],[ 2.  2.  2.  1.  1. 27.],0.963943174442922
687,0,[7 0 0 4 0],[2 2 2 2 1],[7. 0. 0. 4. 0. 4.],0.981971587221461
764,0,[2 2 2 2 1],[6 0 3 2 0],[ 2.  2.  2.  2.  1. 24.],0.963943174442922
778,0,[6 0 3 2 0],[2 1 4 1 1],[6. 0. 3. 2. 0. 3.],0.981971587221461
861,0,[2 1 4 1 1],[9 0 1 6 0],[ 2.  1.  4.  1.  1. 26.],0.9495204442200909
902,0,[9 0 1 6 0],[0 6 0 5 1],[ 9.  0.  1.  6.  0. 12.],0.9747602221100454
925,0,[0 6 0 5 1],[0 2 1 3 0],[0. 6. 0. 5. 1. 6.],0.9922339144953986
972,0,[0 2 1 3 0],[0 5 3 2 1],[ 0.  2.  1.  3.  0. 14.],0.9675488569986298
1028,0,[0 5 3 2 1],[3 0 4 3 0],[ 0.  5.  3.  2.  1. 17.],0.9805847862384964
1057,0,[3 0 4 3 0],[0 3 4 1 1],[3. 0. 4. 3. 0. 8.],0.9891829523328766
1074,0,[0 3 4 1 1],[3 0 1 3 0],[0. 3. 4. 1. 1. 4.],0.9844678289907972
1130,0,[3 0 1 3 0],[0 4 6 2 1],[ 3.  0.  1.  3.  0. 17.],0.9855772697771689
