step,tl_id,new_state
21,0,1
89,0,0
172,0,1
189,0,0
215,0,1
277,0,0
357,0,1
437,0,0
517,0,1
534,0,0
587,0,1
628,0,0
696,0,1
773,0,0
862,0,1
894,0,0
968,0,1
1000,0,0
1029,0,1
1103,0,0
1192,0,1
1221,0,0
1250,0,1
1291,0,0
1362,0,1
1418,0,0
1480,0,1
1554,0,0
1580,0,1
1630,0,0
1704,0,1
1793,0,0
1834,0,1
1911,0,0
1982,0,1
2020,0,0
2112,0,1
2201,0,0
2233,0,1
2289,0,0
2348,0,1
2386,0,0
2448,0,1
2486,0,0
2539,0,1
2622,0,0
2699,0,1
2749,0,0
2841,0,1
2855,0,0
2893,0,1
2976,0,0
3035,0,1
3082,0,0
3135,0,1
3203,0,0
3250,0,1
3282,0,0
3320,0,1
3352,0,0
3426,0,1
3470,0,0
3544,0,1
3594,0,0
3668,0,1
3745,0,0
3819,0,1
3878,0,0
3910,0,1
3954,0,0
4034,0,1
4096,0,0
4176,0,1
4262,0,0
4318,0,1
4347,0,0
4379,0,1
4441,0,0
4500,0,1
4553,0,0
4624,0,1
4692,0,0
4745,0,1
4813,0,0
4890,0,1
4934,0,0
5023,0,1
5052,0,0
5120,0,1
5209,0,0
5259,0,1
5291,0,0
5383,0,1
5457,0,0
5525,0,1
5596,0,0
5670,0,1
5681,0,0
5719,0,1
5805,0,0
5894,0,1
5980,0,0
6057,0,1
6068,0,0
6157,0,1
6213,0,0
6257,0,1
6343,0,0
6414,0,1
6476,0,0
6568,0,1
6657,0,0
6743,0,1
6832,0,0
6894,0,1
6950,0,0
7000,0,1
7074,0,0
7139,0,1
7186,0,0
7275,0,1
7358,0,0
7444,0,1
7521,0,0
7571,0,1
7654,0,0
7743,0,1
7787,0,0
7822,0,1
7908,0,0
7964,0,1
8050,0,0
8142,0,1
8216,0,0
8272,0,1
8325,0,0
8399,0,1
8476,0,0
8559,0,1
8618,0,0
8674,0,1
8748,0,0
8813,0,1
8851,0,0
8886,0,1
8957,0,0
9010,0,1
9060,0,0
9134,0,1
9151,0,0
9219,0,1
9305,0,0
9379,0,1
9450,0,0
9530,0,1
9595,0,0
9666,0,1
9701,0,0
9781,0,1
9819,0,0
9857,0,1
9925,0,0
10014,0,1
10088,0,0
10129,0,1
10212,0,0
10259,0,1
10312,0,0
10326,0,1
10406,0,0
10456,0,1
10524,0,0
10547,0,1
10633,0,0
10710,0,1
10778,0,0
10852,0,1
10908,0,0
10991,0,1
11080,0,0
11115,0,1
11165,0,0
11200,0,1
11256,0,0
11315,0,1
11395,0,0
11475,0,1
11564,0,0
11644,0,1
11706,0,0
11765,0,1
11788,0,0
11850,0,1
11900,0,0
11917,0,1
11976,0,0
12014,0,1
12091,0,0
12177,0,1
12224,0,0
12283,0,1
12366,0,0
12395,0,1
12469,0,0
12552,0,1
12644,0,0
12727,0,1
12780,0,0
12866,0,1
12919,0,0
12984,0,1
13076,0,0
13168,0,1
13206,0,0
13283,0,1
13324,0,0
13380,0,1
13436,0,0
13459,0,1
13515,0,0
13550,0,1
13636,0,0
13722,0,1
13778,0,0
13861,0,1
13947,0,0
14039,0,1
14110,0,0
14178,0,1
14201,0,0
14260,0,1
14328,0,0
14393,0,1
14443,0,0
14490,0,1
14564,0,0
14647,0,1
14679,0,0
14762,0,1
14791,0,0
14865,0,1
14939,0,0
14986,0,1
15051,0,0
15137,0,1
15223,0,0
15288,0,1
15338,0,0
15403,0,1
15474,0,0
15524,0,1
15601,0,0
15645,0,1
15707,0,0
15760,0,1
15834,0,0
15923,0,1
15949,0,0
15975,0,1
16058,0,0
16120,0,1
16179,0,0
16244,0,1
16333,0,0
16389,0,1
16451,0,0
16477,0,1
16551,0,0
16598,0,1
16684,0,0
16698,0,1
16790,0,0
16837,0,1
16902,0,0
16985,0,1
17074,0,0
17115,0,1
17156,0,0
17230,0,1
17283,0,0
17375,0,1
17458,0,0
17523,0,1
17612,0,0
17677,0,1
17751,0,0
17810,0,1
17857,0,0
17877,0,1
17942,0,0
18004,0,1
18066,0,0
18086,0,1
18133,0,0
18198,0,1
18278,0,0
18334,0,1
18423,0,0
18473,0,1
18496,0,0
18546,0,1
18581,0,0
18655,0,1
18687,0,0
18773,0,1
18838,0,0
18852,0,1
18935,0,0
18964,0,1
19014,0,0
19100,0,1
19156,0,0
19215,0,1
19253,0,0
19303,0,1
19371,0,0
19451,0,1
19492,0,0
19572,0,1
19655,0,0
19711,0,1
19791,0,0
19835,0,1
19867,0,0
19959,0,1
20018,0,0
20101,0,1
20181,0,0
20261,0,1
20308,0,0
20382,0,1
20456,0,0
20545,0,1
20583,0,0
20645,0,1
20704,0,0
20769,0,1
20810,0,0
20899,0,1
20919,0,0
21008,0,1
21079,0,0
21132,0,1
21170,0,0
21250,0,1
21315,0,0
21395,0,1
21484,0,0
21516,0,1
21602,0,0
21685,0,1
21774,0,0
21860,0,1
21895,0,0
21960,0,1
21989,0,0
22027,0,1
22083,0,0
22172,0,1
22210,0,0
22281,0,1
22319,0,0
22393,0,1
22485,0,0
22577,0,1
22621,0,0
22638,0,1
22676,0,0
22738,0,1
22785,0,0
22841,0,1
22888,0,0
22971,0,1
23006,0,0
23098,0,1
23160,0,0
23246,0,1
23278,0,0
23310,0,1
23402,0,0
23476,0,1
23565,0,0
23657,0,1
23740,0,0
23751,0,1
23840,0,0
23899,0,1
23931,0,0
24014,0,1
24079,0,0
24147,0,1
24200,0,0
24250,0,1
24285,0,0
24371,0,1
24460,0,0
24510,0,1
24569,0,0
24583,0,1
24651,0,0
24740,0,1
24793,0,0
24849,0,1
24932,0,0
24988,0,1
25044,0,0
25091,0,1
25144,0,0
25224,0,1
25283,0,0
25348,0,1
25437,0,0
25508,0,1
25582,0,0
25668,0,1
25754,0,0
25843,0,1
25914,0,0
25985,0,1
26068,0,0
26121,0,1
26135,0,0
26227,0,1
26316,0,0
26339,0,1
26398,0,0
26463,0,1
26495,0,0
26572,0,1
26637,0,0
26702,0,1
26734,0,0
26784,0,1
26831,0,0
26878,0,1
26964,0,0
27053,0,1
27127,0,0
27213,0,1
27284,0,0
27367,0,1
27456,0,0
27533,0,1
27607,0,0
27660,0,1
27749,0,0
27820,0,1
27903,0,0
27983,0,1
28060,0,0
28149,0,1
28199,0,0
28270,0,1
28341,0,0
28367,0,1
28435,0,0
28506,0,1
28532,0,0
28570,0,1
28659,0,0
28733,0,1
28789,0,0
28812,0,1
28889,0,0
28927,0,1
29016,0,0
29054,0,1
29089,0,0
29154,0,1
29174,0,0
29194,0,1
29277,0,0
29348,0,1
29422,0,0
29490,0,1
29501,0,0
29533,0,1
29613,0,0
29705,0,1
29794,0,0
29871,0,1
29948,0,0
30040,0,1
30099,0,0
30119,0,1
30211,0,0
30285,0,1
30317,0,0
30349,0,1
30417,0,0
30488,0,1
30580,0,0
30672,0,1
30710,0,0
30748,0,1
30789,0,0
30854,0,1
30922,0,0
30975,0,1
31061,0,0
31096,0,1
31110,0,0
31124,0,1
31207,0,0
31290,0,1
31331,0,0
31396,0,1
31485,0,0
31562,0,1
31600,0,0
31662,0,1
31694,0,0
31771,0,1
31836,0,0
31865,0,1
31876,0,0
31959,0,1
32036,0,0
32116,0,1
32160,0,0
32234,0,1
32326,0,0
32361,0,1
32420,0,0
32500,0,1
32592,0,0
32681,0,1
32743,0,0
32811,0,1
32864,0,0
32938,0,1
33021,0,0
33068,0,1
33106,0,0
33183,0,1
33272,0,0
33355,0,1
33444,0,0
33506,0,1
33526,0,0
33606,0,1
33620,0,0
33655,0,1
33690,0,0
33761,0,1
33832,0,0
33885,0,1
33959,0,0
33991,0,1
34041,0,0
34130,0,1
34213,0,0
34305,0,1
34373,0,0
34465,0,1
34500,0,0
34580,0,1
34618,0,0
34674,0,1
34766,0,0
34798,0,1
34857,0,0
34886,0,1
34945,0,0
35010,0,1
35078,0,0
35137,0,1
35208,0,0
35279,0,1
35290,0,0
35337,0,1
35351,0,0
35398,0,1
35484,0,0
35546,0,1
35578,0,0
35649,0,1
35738,0,0
35758,0,1
35844,0,0
35888,0,1
35959,0,0
35979,0,1
36005,0,0
36076,0,1
36147,0,0
36233,0,1
36271,0,0
36324,0,1
36410,0,0
36502,0,1
36585,0,0
36647,0,1
36721,0,0
36810,0,1
36884,0,0
36970,0,1
37023,0,0
37070,0,1
37105,0,0
37185,0,1
37250,0,0
37288,0,1
37326,0,0
37409,0,1
37441,0,0
37488,0,1
37511,0,0
37573,0,1
37656,0,0
37676,0,1
37738,0,0
37797,0,1
37889,0,0
37933,0,1
38013,0,0
38054,0,1
38098,0,0
38118,0,1
38195,0,0
38281,0,1
38337,0,0
38399,0,1
38479,0,0
38535,0,1
38612,0,0
38704,0,1
38766,0,0
38849,0,1
38902,0,0
38940,0,1
39014,0,0
39043,0,1
39111,0,0
39161,0,1
39208,0,0
39267,0,1
39296,0,0
39370,0,1
39420,0,0
39485,0,1
39568,0,0
39660,0,1
39683,0,0
39739,0,1
39756,0,0
39830,0,1
39913,0,0
39981,0,1
40058,0,0
40126,0,1
