step,tl_id,reward_type,previous,current,max,reward
25,0,vehicle_cumulative_delay,0,0,12735.0,1.0
63,0,vehicle_cumulative_delay,0,16,12735.0,0.9987436199450334
146,0,vehicle_cumulative_delay,16,375,12735.0,0.9705535924617197
235,0,vehicle_cumulative_delay,375,328,12735.0,0.9742442088731842
294,0,vehicle_cumulative_delay,328,111,12735.0,0.991283863368669
341,0,vehicle_cumulative_delay,111,138,12735.0,0.9891637220259129
394,0,vehicle_cumulative_delay,138,204,12735.0,0.9839811542991755
459,0,vehicle_cumulative_delay,204,65,12735.0,0.9948959560266981
548,0,vehicle_cumulative_delay,65,256,12735.0,0.9798979191205339
568,0,vehicle_cumulative_delay,256,11,12735.0,0.9991362387122105
660,0,vehicle_cumulative_delay,11,452,12735.0,0.9645072634471927
704,0,vehicle_cumulative_delay,452,57,12735.0,0.9955241460541814
787,0,vehicle_cumulative_delay,57,481,12735.0,0.9622300745975658
840,0,vehicle_cumulative_delay,481,141,12735.0,0.9889281507656066
929,0,vehicle_cumulative_delay,141,465,12735.0,0.9634864546525324
1021,0,vehicle_cumulative_delay,465,197,12735.0,0.9845308205732234
1104,0,vehicle_cumulative_delay,197,329,12735.0,0.9741656851197488
1193,0,vehicle_cumulative_delay,329,506,12735.0,0.9602669807616804
1279,0,vehicle_cumulative_delay,506,315,12735.0,0.9752650176678446
1338,0,vehicle_cumulative_delay,315,130,12735.0,0.9897919120533961
1388,0,vehicle_cumulative_delay,130,141,12735.0,0.9889281507656066
1447,0,vehicle_cumulative_delay,141,160,12735.0,0.9874361994503337
1476,0,vehicle_cumulative_delay,160,86,12735.0,0.9932469572045544
1529,0,vehicle_cumulative_delay,86,57,12735.0,0.9955241460541814
1582,0,vehicle_cumulative_delay,57,103,12735.0,0.9919120533961523
1662,0,vehicle_cumulative_delay,103,479,12735.0,0.9623871221044366
1748,0,vehicle_cumulative_delay,479,330,12735.0,0.9740871613663133
1828,0,vehicle_cumulative_delay,330,352,12735.0,0.9723596387907342
1917,0,vehicle_cumulative_delay,352,304,12735.0,0.9761287789556341
1955,0,vehicle_cumulative_delay,304,71,12735.0,0.9944248135060856
2011,0,vehicle_cumulative_delay,71,99,12735.0,0.992226148409894
2049,0,vehicle_cumulative_delay,99,77,12735.0,0.9939536709854732
2123,0,vehicle_cumulative_delay,77,212,12735.0,0.9833529642716922
2203,0,vehicle_cumulative_delay,212,232,12735.0,0.9817824892029839
2274,0,vehicle_cumulative_delay,232,136,12735.0,0.9893207695327837
2345,0,vehicle_cumulative_delay,136,283,12735.0,0.9777777777777777
2362,0,vehicle_cumulative_delay,283,11,12735.0,0.9991362387122105
2445,0,vehicle_cumulative_delay,11,337,12735.0,0.9735374950922654
2510,0,vehicle_cumulative_delay,337,163,12735.0,0.9872006281900275
2536,0,vehicle_cumulative_delay,163,25,12735.0,0.9980369061641147
2613,0,vehicle_cumulative_delay,25,383,12735.0,0.9699254024342363
2660,0,vehicle_cumulative_delay,383,71,12735.0,0.9944248135060856
2680,0,vehicle_cumulative_delay,71,7,12735.0,0.9994503337259522
2733,0,vehicle_cumulative_delay,7,126,12735.0,0.9901060070671378
2804,0,vehicle_cumulative_delay,126,351,12735.0,0.9724381625441696
2878,0,vehicle_cumulative_delay,351,403,12735.0,0.9683549273655281
2964,0,vehicle_cumulative_delay,403,344,12735.0,0.9729878288182175
3005,0,vehicle_cumulative_delay,344,83,12735.0,0.9934825284648606
3076,0,vehicle_cumulative_delay,83,238,12735.0,0.9813113466823714
3147,0,vehicle_cumulative_delay,238,245,12735.0,0.9807616804083236
3227,0,vehicle_cumulative_delay,245,91,12735.0,0.9928543384373774
3310,0,vehicle_cumulative_delay,91,294,12735.0,0.9769140164899882
3372,0,vehicle_cumulative_delay,294,226,12735.0,0.9822536317235964
3458,0,vehicle_cumulative_delay,226,211,12735.0,0.9834314880251276
3538,0,vehicle_cumulative_delay,211,168,12735.0,0.9868080094228504
3576,0,vehicle_cumulative_delay,168,16,12735.0,0.9987436199450334
3653,0,vehicle_cumulative_delay,16,75,12735.0,0.9941107184923439
3727,0,vehicle_cumulative_delay,75,257,12735.0,0.9798193953670985
3777,0,vehicle_cumulative_delay,257,99,12735.0,0.992226148409894
3866,0,vehicle_cumulative_delay,99,409,12735.0,0.9678837848449156
3958,0,vehicle_cumulative_delay,409,317,12735.0,0.9751079701609737
4044,0,vehicle_cumulative_delay,317,488,12735.0,0.9616804083235179
4088,0,vehicle_cumulative_delay,488,66,12735.0,0.9948174322732627
4174,0,vehicle_cumulative_delay,66,424,12735.0,0.9667059285433843
4236,0,vehicle_cumulative_delay,424,204,12735.0,0.9839811542991755
4253,0,vehicle_cumulative_delay,204,62,12735.0,0.9951315272870043
4294,0,vehicle_cumulative_delay,62,201,12735.0,0.9842167255594817
4326,0,vehicle_cumulative_delay,201,77,12735.0,0.9939536709854732
4403,0,vehicle_cumulative_delay,77,418,12735.0,0.9671770710639969
4441,0,vehicle_cumulative_delay,418,54,12735.0,0.9957597173144876
4521,0,vehicle_cumulative_delay,54,388,12735.0,0.9695327836670593
4565,0,vehicle_cumulative_delay,388,30,12735.0,0.9976442873969376
4609,0,vehicle_cumulative_delay,30,121,12735.0,0.9904986258343149
4680,0,vehicle_cumulative_delay,121,260,12735.0,0.9795838241067923
4757,0,vehicle_cumulative_delay,260,267,12735.0,0.9790341578327444
4786,0,vehicle_cumulative_delay,267,17,12735.0,0.9986650961915979
4833,0,vehicle_cumulative_delay,17,222,12735.0,0.982567726737338
4892,0,vehicle_cumulative_delay,222,242,12735.0,0.9809972516686297
4912,0,vehicle_cumulative_delay,242,76,12735.0,0.9940321947389085
4953,0,vehicle_cumulative_delay,76,103,12735.0,0.9919120533961523
4994,0,vehicle_cumulative_delay,103,141,12735.0,0.9889281507656066
5071,0,vehicle_cumulative_delay,141,241,12735.0,0.9810757754220651
5085,0,vehicle_cumulative_delay,241,108,12735.0,0.9915194346289753
5156,0,vehicle_cumulative_delay,108,460,12735.0,0.9638790734197095
5236,0,vehicle_cumulative_delay,460,362,12735.0,0.9715744012563801
5310,0,vehicle_cumulative_delay,362,446,12735.0,0.9649784059678053
5402,0,vehicle_cumulative_delay,446,546,12735.0,0.9571260306242638
5458,0,vehicle_cumulative_delay,546,117,12735.0,0.9908127208480565
5490,0,vehicle_cumulative_delay,117,55,12735.0,0.9956811935610522
5582,0,vehicle_cumulative_delay,55,404,12735.0,0.9682764036120927
5671,0,vehicle_cumulative_delay,404,703,12735.0,0.9447978013349038
