step,tl_id,new_state
21,0,1
59,0,0
142,0,1
231,0,0
290,0,1
337,0,0
390,0,1
455,0,0
544,0,1
564,0,0
656,0,1
700,0,0
783,0,1
836,0,0
925,0,1
1017,0,0
1100,0,1
1189,0,0
1275,0,1
1334,0,0
1384,0,1
1443,0,0
1472,0,1
1525,0,0
1578,0,1
1658,0,0
1744,0,1
1824,0,0
1913,0,1
1951,0,0
2007,0,1
2045,0,0
2119,0,1
2199,0,0
2270,0,1
2341,0,0
2358,0,1
2441,0,0
2506,0,1
2532,0,0
2609,0,1
2656,0,0
2676,0,1
2729,0,0
2800,0,1
2874,0,0
2960,0,1
3001,0,0
3072,0,1
3143,0,0
3223,0,1
3306,0,0
3368,0,1
3454,0,0
3534,0,1
3572,0,0
3649,0,1
3723,0,0
3773,0,1
3862,0,0
3954,0,1
4040,0,0
4084,0,1
4170,0,0
4232,0,1
4249,0,0
4290,0,1
4322,0,0
4399,0,1
4437,0,0
4517,0,1
4561,0,0
4605,0,1
4676,0,0
4753,0,1
4782,0,0
4829,0,1
4888,0,0
4908,0,1
4949,0,0
4990,0,1
5067,0,0
5081,0,1
5152,0,0
5232,0,1
5306,0,0
5398,0,1
5454,0,0
5486,0,1
5578,0,0
5667,0,1
5681,0,0
5770,0,1
5844,0,0
5927,0,1
5989,0,0
6081,0,1
6125,0,0
6190,0,1
6246,0,0
6287,0,1
6379,0,0
6444,0,1
6524,0,0
6601,0,1
6684,0,0
6767,0,1
6847,0,0
6885,0,1
6950,0,0
7000,0,1
7071,0,0
7124,0,1
7150,0,0
7230,0,1
7259,0,0
7288,0,1
7380,0,0
7457,0,1
7510,0,0
7593,0,1
7664,0,0
7753,0,1
7836,0,0
7925,0,1
7969,0,0
7980,0,1
8036,0,0
8065,0,1
8106,0,0
8162,0,1
8254,0,0
8337,0,1
8396,0,0
8440,0,1
8511,0,0
8588,0,1
8668,0,0
8742,0,1
8810,0,0
8851,0,1
8907,0,0
8960,0,1
9028,0,0
9096,0,1
9188,0,0
9256,0,1
9330,0,0
9368,0,1
9460,0,0
9528,0,1
9575,0,0
9637,0,1
9687,0,0
9743,0,1
9811,0,0
9891,0,1
9947,0,0
9997,0,1
10059,0,0
10100,0,1
10117,0,0
10194,0,1
10262,0,0
10354,0,1
10419,0,0
10484,0,1
10567,0,0
10632,0,1
10709,0,0
10747,0,1
10803,0,0
10886,0,1
10960,0,0
11046,0,1
11081,0,0
11173,0,1
11235,0,0
11318,0,1
11386,0,0
11448,0,1
11522,0,0
11605,0,1
11670,0,0
11705,0,1
11788,0,0
11871,0,1
11930,0,0
12016,0,1
12069,0,0
12143,0,1
12235,0,0
12279,0,1
12308,0,0
12358,0,1
12417,0,0
12503,0,1
12589,0,0
12603,0,1
12635,0,0
12697,0,1
12780,0,0
12803,0,1
12862,0,0
12924,0,1
12971,0,0
13036,0,1
13107,0,0
13142,0,1
13225,0,0
13272,0,1
13295,0,0
13384,0,1
13470,0,0
13559,0,1
13618,0,0
13680,0,1
13721,0,0
13771,0,1
13809,0,0
13856,0,1
13933,0,0
14010,0,1
14084,0,0
14149,0,1
14241,0,0
14312,0,1
14383,0,0
14454,0,1
14477,0,0
14524,0,1
14562,0,0
14648,0,1
14689,0,0
14781,0,1
14852,0,0
14944,0,1
15006,0,0
15068,0,1
15118,0,0
15192,0,1
15209,0,0
15280,0,1
15330,0,0
15386,0,1
15448,0,0
15483,0,1
15572,0,0
15625,0,1
15717,0,0
15800,0,1
15886,0,0
15948,0,1
16022,0,0
16099,0,1
16167,0,0
16235,0,1
16285,0,0
16365,0,1
16448,0,0
16462,0,1
16533,0,0
16607,0,1
16687,0,0
16764,0,1
16823,0,0
16849,0,1
16902,0,0
16973,0,1
17056,0,0
17112,0,1
17180,0,0
17266,0,1
17337,0,0
17420,0,1
17503,0,0
17580,0,1
17630,0,0
17671,0,1
17754,0,0
17846,0,1
17923,0,0
17991,0,1
18083,0,0
18130,0,1
18153,0,0
18173,0,1
18187,0,0
18276,0,1
18332,0,0
18400,0,1
18489,0,0
18566,0,1
18622,0,0
18705,0,1
18752,0,0
18823,0,1
18873,0,0
18953,0,1
18988,0,0
19032,0,1
19097,0,0
19150,0,1
19182,0,0
19226,0,1
19267,0,0
19323,0,1
19367,0,0
19441,0,1
19461,0,0
19535,0,1
19612,0,0
19665,0,1
19757,0,0
19774,0,1
19842,0,0
19892,0,1
19960,0,0
20028,0,1
20069,0,0
20143,0,1
20223,0,0
20279,0,1
20341,0,0
20412,0,1
20429,0,0
20491,0,1
20556,0,0
20645,0,1
20689,0,0
20769,0,1
20855,0,0
20908,0,1
20946,0,0
20981,0,1
21040,0,0
21117,0,1
21203,0,0
21247,0,1
21330,0,0
21422,0,1
21496,0,0
21570,0,1
21629,0,0
21709,0,1
21774,0,0
21818,0,1
21856,0,0
21942,0,1
21995,0,0
22063,0,1
22137,0,0
22175,0,1
22246,0,0
22314,0,1
22400,0,0
22438,0,1
22512,0,0
22547,0,1
22606,0,0
22653,0,1
22682,0,0
22753,0,1
22806,0,0
22883,0,1
22960,0,0
23025,0,1
23054,0,0
23125,0,1
23154,0,0
23210,0,1
23263,0,0
23355,0,1
23399,0,0
23470,0,1
23559,0,0
23636,0,1
23695,0,0
23781,0,1
23810,0,0
23893,0,1
23964,0,0
24029,0,1
24064,0,0
24132,0,1
24194,0,0
24277,0,1
24351,0,0
24428,0,1
24520,0,0
24597,0,1
24644,0,0
24730,0,1
24774,0,0
24803,0,1
24880,0,0
24948,0,1
25004,0,0
25081,0,1
25125,0,0
25172,0,1
25243,0,0
25323,0,1
25334,0,0
25384,0,1
25476,0,0
25526,0,1
25585,0,0
25659,0,1
25751,0,0
25840,0,1
25902,0,0
25922,0,1
25987,0,0
26052,0,1
26114,0,0
26140,0,1
26181,0,0
26213,0,1
26254,0,0
26271,0,1
26339,0,0
26353,0,1
26400,0,0
26486,0,1
26566,0,0
26646,0,1
26705,0,0
26770,0,1
26787,0,0
26840,0,1
26905,0,0
26997,0,1
27086,0,0
27154,0,1
27207,0,0
27287,0,1
27340,0,0
27420,0,1
27503,0,0
27592,0,1
27615,0,0
27680,0,1
27763,0,0
27825,0,1
27851,0,0
27940,0,1
28023,0,0
28097,0,1
28165,0,0
28257,0,1
28313,0,0
28402,0,1
28476,0,0
28532,0,1
28600,0,0
28677,0,1
28724,0,0
28771,0,1
28809,0,0
28892,0,1
28975,0,0
29040,0,1
29129,0,0
29167,0,1
29235,0,0
29327,0,1
29368,0,0
29412,0,1
29462,0,0
29533,0,1
29598,0,0
29630,0,1
29710,0,0
29742,0,1
29798,0,0
29857,0,1
29910,0,0
29972,0,1
30037,0,0
30075,0,1
30128,0,0
30193,0,1
30264,0,0
30356,0,1
30442,0,0
30492,0,1
30578,0,0
30670,0,1
30741,0,0
30833,0,1
30895,0,0
30936,0,1
31025,0,0
31093,0,1
31170,0,0
