step,tl_id,new_state
21,0,1
77,0,0
109,0,1
195,0,0
209,0,1
259,0,0
273,0,1
323,0,0
391,0,1
468,0,0
560,0,1
643,0,0
711,0,1
788,0,0
802,0,1
816,0,0
830,0,1
883,0,0
897,0,1
950,0,0
1018,0,1
1053,0,0
1106,0,1
1192,0,0
1227,0,1
1313,0,0
1342,0,1
1428,0,0
1496,0,1
1525,0,0
1563,0,1
1649,0,0
1660,0,1
1725,0,0
1802,0,1
1831,0,0
1869,0,1
1943,0,0
2011,0,1
2040,0,0
2093,0,1
2107,0,0
2148,0,1
2189,0,0
2230,0,1
2316,0,0
2384,0,1
2413,0,0
2424,0,1
2444,0,0
2518,0,1
2559,0,0
2588,0,1
2617,0,0
2706,0,1
2789,0,0
2803,0,1
2841,0,0
2909,0,1
2983,0,0
3036,0,1
3113,0,0
3166,0,1
3258,0,0
3290,0,1
3370,0,0
3387,0,1
3470,0,0
3547,0,1
3576,0,0
3632,0,1
3661,0,0
3741,0,1
3764,0,0
3838,0,1
3894,0,0
3932,0,1
3982,0,0
4059,0,1
4079,0,0
4138,0,1
4194,0,0
4253,0,1
4297,0,0
4329,0,1
4409,0,0
4444,0,1
4485,0,0
4496,0,1
4519,0,0
4566,0,1
4607,0,0
4627,0,1
4656,0,0
4745,0,1
4828,0,0
4842,0,1
4931,0,0
4942,0,1
5016,0,0
5027,0,1
5101,0,0
5118,0,1
5192,0,0
5212,0,1
5253,0,0
5333,0,1
5362,0,0
5421,0,1
5450,0,0
5527,0,1
5610,0,0
5702,0,1
5788,0,0
5856,0,1
5897,0,0
5989,0,1
6030,0,0
6041,0,1
6088,0,0
6099,0,1
6128,0,0
6139,0,1
6168,0,0
6185,0,1
6214,0,0
6240,0,1
6287,0,0
6364,0,1
6393,0,0
6431,0,1
6517,0,0
6531,0,1
6581,0,0
6595,0,1
6645,0,0
6659,0,1
6688,0,0
6702,0,1
6719,0,0
6733,0,1
6747,0,0
6782,0,1
6859,0,0
6927,0,1
6956,0,0
7009,0,1
7083,0,0
7160,0,1
7246,0,0
7260,0,1
7289,0,0
7348,0,1
7425,0,0
7493,0,1
7570,0,0
7662,0,1
7748,0,0
7816,0,1
7893,0,0
7964,0,1
7993,0,0
8034,0,1
8120,0,0
8188,0,1
8244,0,0
8258,0,1
8314,0,0
8325,0,1
8402,0,0
8422,0,1
8463,0,0
8543,0,1
8605,0,0
8619,0,1
8657,0,0
8725,0,1
8775,0,0
8828,0,1
8905,0,0
8958,0,1
9050,0,0
9073,0,1
9126,0,0
9140,0,1
9184,0,0
9198,0,1
9287,0,0
9325,0,1
9417,0,0
9440,0,1
9451,0,0
9486,0,1
9563,0,0
9643,0,1
9672,0,0
9710,0,1
9784,0,0
9798,0,1
9881,0,0
9958,0,1
9987,0,0
10025,0,1
10099,0,0
10176,0,1
10205,0,0
10258,0,1
10275,0,0
10292,0,1
10351,0,0
10365,0,1
10415,0,0
10432,0,1
10479,0,0
10556,0,1
10585,0,0
10623,0,1
10709,0,0
10723,0,1
10752,0,0
10820,0,1
10897,0,0
10965,0,1
10994,0,0
11035,0,1
11121,0,0
11135,0,1
11227,0,0
11244,0,1
11318,0,0
11338,0,1
11415,0,0
11474,0,1
11551,0,0
11568,0,1
11594,0,0
11671,0,1
11757,0,0
11813,0,1
11839,0,0
11892,0,1
11978,0,0
11992,0,1
12021,0,0
12089,0,1
12166,0,0
12219,0,1
12266,0,0
12319,0,1
12396,0,0
12428,0,1
12508,0,0
12576,0,1
12605,0,0
12658,0,1
12732,0,0
12770,0,1
12784,0,0
12801,0,1
12884,0,0
12895,0,1
12969,0,0
12989,0,1
13015,0,0
13092,0,1
13178,0,0
13192,0,1
13221,0,0
13235,0,1
13294,0,0
13305,0,1
13367,0,0
13447,0,1
13476,0,0
13532,0,1
13561,0,0
13638,0,1
13721,0,0
13789,0,1
13830,0,0
13871,0,1
13912,0,0
13986,0,1
14066,0,0
14083,0,1
14160,0,0
14171,0,1
14209,0,0
14220,0,1
14294,0,0
14371,0,1
14400,0,0
14459,0,1
14488,0,0
14553,0,1
14636,0,0
14689,0,1
14763,0,0
14816,0,1
14893,0,0
14946,0,1
15032,0,0
15085,0,1
15162,0,0
15215,0,1
15292,0,0
15345,0,1
15437,0,0
15514,0,1
15543,0,0
15623,0,1
15664,0,0
15684,0,1
15713,0,0
15775,0,1
15792,0,0
15851,0,1
15928,0,0
16008,0,1
16091,0,0
16144,0,1
16173,0,0
16265,0,1
16348,0,0
16401,0,1
16475,0,0
16528,0,1
16557,0,0
16637,0,1
16678,0,0
16770,0,1
16793,0,0
16810,0,1
16881,0,0
16901,0,1
16945,0,0
17031,0,1
17111,0,0
17164,0,1
17184,0,0
17267,0,1
17287,0,0
17370,0,1
17390,0,0
17455,0,1
17490,0,0
17549,0,1
17569,0,0
17649,0,1
17711,0,0
17794,0,1
17838,0,0
17900,0,1
17983,0,0
18003,0,1
18026,0,0
18076,0,1
18159,0,0
18212,0,1
18253,0,0
18330,0,1
18413,0,0
18466,0,1
18495,0,0
18557,0,1
18637,0,0
18669,0,1
18755,0,0
18790,0,1
18882,0,0
18935,0,1
19012,0,0
19065,0,1
19142,0,0
19171,0,1
19257,0,0
19343,0,1
19429,0,0
19497,0,1
19526,0,0
19606,0,1
19647,0,0
19739,0,1
19816,0,0
19869,0,1
19904,0,0
19954,0,1
20037,0,0
20087,0,1
20116,0,0
20169,0,1
20201,0,0
20245,0,1
