step,veh_id,ttime
88,left_0,88
94,right_2,91
98,right_4,90
99,left_1,94
101,left_3,91
107,right_8,94
113,left_7,98
114,left_12,92
117,right_9,99
119,right_11,96
120,right_14,92
123,left_15,95
130,right_16,97
132,right_20,94
135,right_21,91
138,left_23,97
142,right_22,93
145,left_25,99
147,left_29,96
153,down_6,147
155,down_13,132
162,down_17,131
164,up_5,160
164,down_19,128
166,up_10,150
166,left_37,99
167,up_18,135
169,up_30,118
173,left_40,99
179,down_33,122
181,right_24,127
183,right_26,124
183,up_52,90
191,down_39,119
193,down_41,116
198,down_49,113
199,up_56,96
200,down_53,102
201,down_55,98
201,up_58,93
205,up_59,92
207,up_61,89
223,left_43,144
225,left_45,141
227,right_27,163
228,right_28,159
230,right_31,156
232,right_32,153
233,left_47,144
234,right_34,150
235,right_35,146
238,right_36,144
238,left_50,144
239,left_54,138
240,right_38,139
241,right_42,135
241,left_64,124
243,right_44,129
243,left_65,121
245,right_46,126
245,left_66,118
247,left_67,115
249,left_68,112
250,left_69,108
252,left_72,105
253,right_48,129
254,left_75,102
255,right_51,126
256,left_78,99
257,right_57,123
257,left_81,94
259,right_60,120
260,right_62,113
260,left_86,92
262,right_63,110
262,left_87,89
264,right_70,107
266,right_71,103
268,right_74,100
268,left_89,90
269,right_76,96
271,right_79,93
273,right_80,90
278,right_82,90
278,left_93,95
280,left_99,92
289,down_73,160
293,up_77,158
295,up_90,131
296,down_83,147
297,up_94,127
303,up_97,128
304,right_84,111
305,down_92,138
307,down_111,100
312,right_85,114
315,left_104,122
317,up_100,137
317,left_105,119
321,up_113,109
323,down_115,109
325,down_121,105
332,down_129,91
332,up_130,90
334,up_134,86
345,down_138,91
346,down_141,87
359,left_108,156
361,right_88,158
367,left_110,159
368,right_91,159
369,left_112,156
370,right_95,156
370,left_119,152
372,right_96,153
372,left_123,137
373,right_98,148
374,left_125,131
375,right_101,145
375,left_126,127
377,right_102,142
377,left_133,124
379,right_103,138
379,left_136,119
380,left_143,111
381,right_106,131
382,right_107,125
384,right_109,122
386,right_114,118
388,right_116,115
390,right_117,110
391,right_118,106
394,right_120,104
396,right_122,100
397,right_124,96
398,left_144,124
400,left_148,121
401,left_150,117
403,left_153,114
405,left_154,111
407,left_155,108
408,right_127,102
409,left_157,105
410,right_128,99
410,left_159,101
412,right_131,95
413,left_160,99
414,left_161,95
416,left_162,92
417,right_132,95
425,down_145,161
429,up_147,170
431,up_149,167
431,down_151,162
432,up_156,160
434,up_164,150
438,down_158,164
440,down_169,147
443,left_163,114
446,right_135,119
448,right_137,116
448,left_166,114
457,up_194,111
462,down_171,164
464,down_180,153
466,down_188,132
466,up_197,115
467,down_192,124
468,up_203,112
469,down_207,108
469,up_221,84
471,down_208,105
473,down_212,102
475,down_216,99
476,down_220,92
480,down_224,90
482,down_226,87
502,down_235,92
513,left_167,174
515,right_139,178
515,left_173,171
517,right_140,175
520,right_142,173
522,left_175,173
523,left_182,169
525,right_146,172
525,left_186,164
527,right_152,168
527,left_189,161
529,right_165,165
529,left_191,156
530,right_168,160
532,right_170,157
535,right_172,155
537,right_174,151
537,left_199,155
539,right_176,148
539,left_200,148
541,right_177,145
541,left_202,144
542,right_178,141
543,left_204,141
544,right_179,134
544,left_205,136
546,right_181,130
546,left_211,132
547,right_183,125
548,left_213,129
549,left_215,125
550,right_184,123
551,left_218,122
552,right_185,120
554,left_219,120
555,left_225,116
556,right_187,119
557,left_228,111
558,right_190,115
559,right_193,111
559,left_229,108
561,left_231,104
562,left_233,100
565,right_195,112
565,left_237,98
567,right_196,109
569,right_198,105
569,up_238,154
577,up_240,157
578,up_243,153
578,down_251,144
580,up_249,147
580,down_257,130
581,down_266,112
583,down_269,108
585,left_239,113
592,left_241,115
596,right_201,127
596,left_246,114
597,right_206,123
598,left_247,111
599,right_209,120
599,left_248,106
601,right_210,117
603,left_250,105
605,left_256,101
606,right_214,117
607,left_258,98
608,right_217,114
610,right_222,111
612,right_223,108
614,right_227,105
616,right_230,101
618,right_232,95
625,right_234,96
625,left_260,110
627,right_236,93
627,left_263,107
629,left_265,104
631,right_242,92
631,left_268,101
633,left_270,98
635,right_244,91
641,right_245,90
646,left_271,99
648,left_282,96
661,up_253,223
666,down_274,186
668,down_278,183
670,down_281,180
671,up_259,220
672,down_287,176
673,up_273,197
674,down_290,173
675,up_283,191
676,down_295,170
676,up_309,151
678,down_301,166
678,up_321,137
679,down_308,154
681,down_312,151
683,down_313,148
683,up_347,102
684,down_320,144
686,up_352,93
688,down_329,136
690,down_330,133
699,right_252,137
699,left_286,140
701,left_289,136
702,left_292,132
705,right_254,138
705,left_298,130
706,left_299,126
708,left_300,122
711,left_302,120
712,left_306,115
714,left_315,112
716,left_316,108
717,left_318,99
719,left_325,96
721,right_255,149
723,right_261,146
723,left_327,95
725,right_262,143
726,right_264,139
727,left_328,92
728,right_267,136
730,right_272,131
732,right_275,125
732,left_332,91
734,right_276,122
736,right_277,119
737,right_279,115
739,right_280,112
741,left_333,95
742,right_284,109
743,left_337,92
744,right_285,106
745,left_340,89
746,right_288,103
748,right_291,100
750,right_293,97
752,right_294,94
753,right_296,90
759,right_297,91
761,left_341,100
763,left_345,97
767,down_334,205
769,down_336,200
773,down_346,193
774,down_348,189
775,up_374,145
778,up_378,143
784,up_382,144
785,down_349,195
786,up_390,140
787,down_362,181
788,down_370,169
788,up_408,116
790,up_416,106
792,up_420,102
793,up_421,97
797,right_303,124
797,left_353,126
800,left_355,124
801,right_304,123
805,right_305,122
805,left_357,123
806,right_307,118
807,left_360,120
808,left_364,116
810,left_366,111
812,right_310,119
812,left_367,107
813,right_311,111
815,right_314,107
816,left_371,106
817,right_317,100
818,left_372,103
819,right_319,96
820,left_376,99
828,right_322,100
828,left_379,102
829,left_383,97
831,left_385,94
836,right_323,102
838,right_324,99
839,left_387,97
840,right_326,95
841,right_331,91
844,left_389,96
845,left_393,92
847,left_394,88
852,right_335,97
854,right_338,93
855,right_339,89
856,left_396,92
870,down_386,227
872,down_395,218
872,up_428,171
874,down_398,215
875,down_404,209
875,up_441,160
878,down_409,202
879,up_455,138
882,down_422,191
884,down_424,188
887,up_458,141
889,up_463,135
890,up_469,130
891,left_397,122
892,up_476,123
894,up_479,119
895,right_342,124
898,left_400,124
900,right_343,123
900,left_402,121
902,right_344,120
902,left_403,118
903,right_350,116
906,left_405,117
913,left_407,119
914,right_351,122
915,left_410,114
916,right_354,119
916,left_412,110
917,right_356,115
919,right_358,111
921,right_359,108
922,left_413,109
923,right_361,103
924,left_414,105
925,right_363,100
926,left_415,102
927,right_365,96
928,right_368,92
928,left_423,99
932,right_369,91
934,left_425,100
935,left_426,94
937,left_427,91
939,left_430,84
943,right_373,96
949,left_432,89
956,right_375,104
958,right_377,101
960,down_429,258
961,right_380,99
963,up_488,168
964,down_438,252
966,down_460,219
967,up_491,166
969,up_492,163
972,up_520,117
974,up_527,112
975,down_471,214
976,up_534,101
977,down_474,211
978,down_482,194
978,up_540,94
980,down_487,187
987,down_495,179
989,down_500,165
991,down_505,160
993,down_517,142
995,down_522,138
997,down_524,135
998,down_532,126
1002,left_435,137
1006,right_381,139
1008,right_384,136
1010,right_388,132
1012,right_391,129
1012,left_440,142
1013,right_392,125
1013,left_442,137
1015,right_399,122
1015,left_444,134
1017,right_401,119
1017,left_447,131
1019,left_452,128
1020,left_453,124
1021,right_406,118
1022,right_411,114
1024,right_417,108
1028,right_418,106
1030,right_419,102
1032,left_459,129
1034,left_462,126
1036,left_464,122
1038,right_431,103
1038,left_467,119
1040,right_433,100
1040,left_475,112
1041,left_477,108
1043,left_478,105
1045,left_480,101
1047,left_481,98
1049,left_483,95
1052,left_484,93
1053,left_493,89
1054,right_434,109
1055,left_494,86
1056,right_436,106
1058,right_437,103
1059,right_439,99
1061,right_443,96
1063,right_445,93
1066,right_446,91
1069,left_502,95
1075,down_539,196
1082,down_557,161
1083,down_571,142
1085,down_572,139
1086,up_553,173
1088,up_562,156
1090,up_565,153
1090,down_579,134
1091,down_585,122
1091,up_586,125
1093,down_591,115
1095,down_596,111
1097,down_601,108
1098,down_603,104
1100,up_620,83
1102,down_605,102
1104,down_606,99
1105,down_609,95
1107,down_612,92
1109,down_624,89
1109,up_625,87
1114,down_626,89
1121,down_630,91
1124,up_627,97
1127,down_633,92
1133,down_637,92
1133,up_641,88
1166,down_649,104
1167,left_506,188
1169,left_508,185
1170,left_509,181
1173,right_448,193
1174,left_510,180
1175,right_449,190
1175,left_511,175
1176,right_450,186
1177,left_512,171
1179,right_451,184
1179,left_513,166
1182,right_454,182
1184,right_456,179
1185,left_515,167
1186,right_457,173
1187,left_516,163
1188,right_461,168
1189,right_465,164
1189,left_519,159
1191,right_466,161
1191,left_523,156
1192,left_526,152
1193,right_468,152
1194,left_528,149
1195,right_470,146
1196,right_472,141
1196,left_529,146
1198,right_473,138
1198,left_530,142
1199,left_531,138
1200,right_485,135
1201,right_486,131
1204,right_489,129
1206,right_490,126
1206,left_535,140
1207,right_496,122
1208,left_536,137
1209,right_497,119
1211,right_498,116
1211,left_537,135
1213,right_499,113
1213,left_538,132
1215,right_501,110
1215,left_543,129
1217,right_503,107
1217,left_544,126
1218,right_504,103
1218,left_545,122
1220,left_546,119
1222,left_549,116
1224,left_550,113
1225,left_555,109
1227,left_559,105
1229,left_560,102
1231,left_563,99
1233,left_567,96
1238,right_507,118
1240,right_514,115
1242,right_518,111
1242,left_568,100
1244,right_521,108
1244,left_570,97
1246,right_525,104
1246,left_575,94
1247,right_533,100
1249,right_541,97
1256,up_656,181
1260,down_660,183
1261,down_663,170
1263,down_708,103
1270,up_659,187
1272,up_664,181
1274,up_665,176
1276,up_666,171
1277,up_669,167
1277,down_709,112
1279,up_672,164
1279,down_724,106
1280,down_728,102
1281,up_675,160
1284,right_542,127
1285,left_578,127
1287,right_547,125
1289,right_548,119
1291,left_582,128
1293,left_583,125
1294,left_584,118
1296,left_587,114
1297,right_551,122
1298,left_593,109
1299,right_552,119
1300,right_554,115
1300,left_595,99
1301,left_598,94
1302,right_556,110
1304,right_558,105
1304,left_600,91
1306,right_561,102
1313,right_564,104
1313,left_608,95
1314,left_610,91
1315,right_566,97
1320,left_615,92
1323,right_569,98
1325,left_618,91
1328,right_573,95
1334,right_574,96
