step,tl_id,new_state
21,0,1
65,0,0
124,0,1
216,0,0
278,0,1
301,0,0
360,0,1
452,0,0
526,0,1
600,0,0
674,0,1
766,0,0
828,0,1
887,0,0
922,0,1
999,0,0
1034,0,1
1111,0,0
1185,0,1
1220,0,0
1300,0,1
1359,0,0
1418,0,1
1510,0,0
1536,0,1
1589,0,0
1660,0,1
1719,0,0
1754,0,1
1828,0,0
1902,0,1
1961,0,0
2023,0,1
2082,0,0
2117,0,1
2203,0,0
2265,0,1
2342,0,0
2416,0,1
2475,0,0
2537,0,1
2596,0,0
2670,0,1
2729,0,0
2821,0,1
2913,0,0
2975,0,1
3052,0,0
3087,0,1
3161,0,0
3223,0,1
3282,0,0
3344,0,1
3421,0,0
3495,0,1
3572,0,0
3634,0,1
3645,0,0
3680,0,1
3739,0,0
3813,0,1
3872,0,0
3916,0,1
3990,0,0
4052,0,1
4111,0,0
4185,0,1
4244,0,0
4306,0,1
4365,0,0
4439,0,1
4498,0,0
4560,0,1
4619,0,0
4654,0,1
4728,0,0
4790,0,1
4867,0,0
4929,0,1
4970,0,0
5029,0,1
5088,0,0
5150,0,1
5218,0,0
5292,0,1
5369,0,0
5443,0,1
5502,0,0
5537,0,1
5611,0,0
5673,0,1
5765,0,0
5839,0,1
5856,0,0
5882,0,1
5944,0,0
6036,0,1
6104,0,0
6166,0,1
6225,0,0
6290,0,1
6334,0,0
6369,0,1
6446,0,0
6481,0,1
6555,0,0
6617,0,1
6637,0,0
6663,0,1
6689,0,0
6748,0,1
6840,0,0
6866,0,1
6886,0,0
6960,0,1
7052,0,0
7123,0,1
7215,0,0
7304,0,1
7372,0,0
7407,0,1
7484,0,0
7519,0,1
7596,0,0
7658,0,1
7735,0,0
7797,0,1
7856,0,0
7930,0,1
7986,0,0
8021,0,1
8098,0,0
8136,0,1
8195,0,0
8230,0,1
8304,0,0
8330,0,1
8413,0,0
8484,0,1
8543,0,0
8581,0,1
8667,0,0
8720,0,1
8764,0,0
8823,0,1
8882,0,0
8917,0,1
8994,0,0
9029,0,1
9103,0,0
9153,0,1
9230,0,0
9313,0,1
9372,0,0
9407,0,1
9484,0,0
9546,0,1
9626,0,0
9700,0,1
9780,0,0
9842,0,1
9901,0,0
9933,0,1
9980,0,0
10021,0,1
10098,0,0
10160,0,1
10252,0,0
10278,0,1
10298,0,0
10372,0,1
10431,0,0
10493,0,1
10585,0,0
10644,0,1
10703,0,0
10732,0,1
10806,0,0
10892,0,1
10975,0,0
11001,0,1
11021,0,0
11095,0,1
11172,0,0
11228,0,1
11305,0,0
11367,0,1
11378,0,0
11413,0,1
11472,0,0
11534,0,1
11572,0,0
11607,0,1
11684,0,0
11719,0,1
11796,0,0
11849,0,1
11926,0,0
11988,0,1
12002,0,0
12079,0,1
12105,0,0
12134,0,1
12226,0,0
12279,0,1
12362,0,0
12424,0,1
12501,0,0
12563,0,1
12622,0,0
12696,0,1
12755,0,0
12829,0,1
12921,0,0
12983,0,1
13042,0,0
13116,0,1
13175,0,0
13237,0,1
13296,0,0
13370,0,1
13447,0,0
13509,0,1
13568,0,0
13630,0,1
13689,0,0
13751,0,1
13828,0,0
13863,0,1
13937,0,0
13999,0,1
14076,0,0
14138,0,1
14158,0,0
14184,0,1
14255,0,0
14290,0,1
14364,0,0
14441,0,1
14533,0,0
