step,tl_id,max_length
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,1
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,0,2
69,0,2
70,0,2
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,0,3
84,0,3
85,0,3
86,0,3
87,0,4
88,0,4
89,0,4
90,0,4
91,0,5
92,0,5
93,0,5
94,0,5
95,0,5
96,0,5
97,0,5
98,0,5
99,0,6
100,0,6
101,0,6
102,0,6
103,0,6
104,0,6
105,0,6
106,0,6
107,0,6
108,0,7
109,0,7
110,0,7
111,0,8
112,0,8
113,0,8
114,0,9
115,0,9
116,0,9
117,0,9
118,0,9
119,0,9
120,0,9
121,0,9
122,0,9
123,0,9
124,0,10
125,0,10
126,0,10
127,0,10
128,0,10
129,0,10
130,0,10
131,0,10
132,0,10
133,0,10
134,0,11
135,0,11
136,0,11
137,0,11
138,0,11
139,0,11
140,0,11
141,0,11
142,0,11
143,0,11
144,0,11
145,0,11
146,0,11
147,0,11
148,0,11
149,0,11
150,0,11
151,0,11
152,0,11
153,0,11
154,0,11
155,0,12
156,0,12
157,0,12
158,0,12
159,0,12
160,0,12
161,0,12
162,0,12
163,0,11
164,0,11
165,0,11
166,0,11
167,0,10
168,0,10
169,0,9
170,0,8
171,0,9
172,0,8
173,0,7
174,0,6
175,0,5
176,0,5
177,0,5
178,0,4
179,0,3
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,2
187,0,2
188,0,2
189,0,2
190,0,2
191,0,2
192,0,2
193,0,2
194,0,2
195,0,2
196,0,2
197,0,2
198,0,2
199,0,2
200,0,2
201,0,2
202,0,2
203,0,2
204,0,2
205,0,2
206,0,2
207,0,3
208,0,3
209,0,3
210,0,3
211,0,3
212,0,3
213,0,3
214,0,3
215,0,4
216,0,4
217,0,4
218,0,4
219,0,4
220,0,4
221,0,5
222,0,5
223,0,5
224,0,5
225,0,5
226,0,6
227,0,6
228,0,6
229,0,6
230,0,6
231,0,6
232,0,6
233,0,6
234,0,6
235,0,6
236,0,6
237,0,5
238,0,5
239,0,5
240,0,4
241,0,4
242,0,3
243,0,3
244,0,2
245,0,1
246,0,1
247,0,1
248,0,1
249,0,1
250,0,1
251,0,1
252,0,1
253,0,1
254,0,1
255,0,1
256,0,1
257,0,1
258,0,1
259,0,1
260,0,2
261,0,2
262,0,2
263,0,3
264,0,3
265,0,3
266,0,3
267,0,3
268,0,3
269,0,2
270,0,2
271,0,2
272,0,1
273,0,0
274,0,1
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,1
288,0,1
289,0,1
290,0,1
291,0,1
292,0,1
293,0,1
294,0,1
295,0,2
296,0,2
297,0,2
298,0,2
299,0,2
300,0,2
301,0,2
302,0,2
303,0,2
304,0,3
305,0,3
306,0,3
307,0,3
308,0,4
309,0,4
310,0,4
311,0,4
312,0,4
313,0,5
314,0,5
315,0,5
316,0,5
317,0,5
318,0,5
319,0,6
320,0,6
321,0,6
322,0,5
323,0,5
324,0,5
325,0,4
326,0,4
327,0,3
328,0,2
329,0,2
330,0,2
331,0,2
332,0,3
333,0,3
334,0,3
335,0,3
336,0,3
337,0,3
338,0,4
339,0,4
340,0,4
341,0,4
342,0,5
343,0,5
344,0,5
345,0,6
346,0,6
347,0,6
348,0,6
349,0,6
350,0,7
351,0,7
352,0,7
353,0,7
354,0,6
355,0,6
356,0,6
357,0,6
358,0,5
359,0,4
360,0,4
361,0,3
362,0,3
363,0,3
364,0,3
365,0,4
366,0,4
367,0,5
368,0,6
369,0,6
370,0,6
371,0,6
372,0,6
373,0,6
374,0,6
375,0,6
376,0,6
377,0,6
378,0,6
379,0,6
380,0,6
381,0,6
382,0,6
383,0,7
384,0,7
385,0,7
386,0,7
387,0,7
388,0,7
389,0,7
390,0,8
391,0,8
392,0,8
393,0,8
394,0,8
395,0,8
396,0,9
397,0,9
398,0,9
399,0,9
400,0,9
401,0,9
402,0,9
403,0,9
404,0,10
405,0,10
406,0,10
407,0,10
408,0,10
409,0,11
410,0,11
411,0,11
412,0,11
413,0,12
414,0,12
415,0,12
416,0,12
417,0,12
418,0,13
419,0,13
420,0,13
421,0,13
422,0,13
423,0,14
424,0,14
425,0,14
426,0,14
427,0,14
428,0,14
429,0,14
430,0,14
431,0,14
432,0,14
433,0,14
434,0,15
435,0,15
436,0,15
437,0,15
438,0,15
439,0,15
440,0,15
441,0,16
442,0,16
443,0,16
444,0,16
445,0,16
446,0,17
447,0,17
448,0,17
449,0,17
450,0,17
451,0,17
452,0,18
453,0,18
454,0,18
455,0,18
456,0,18
457,0,17
458,0,17
459,0,17
460,0,17
461,0,16
462,0,15
463,0,14
464,0,13
465,0,12
466,0,12
467,0,11
468,0,11
469,0,10
470,0,9
471,0,8
472,0,8
473,0,7
474,0,6
475,0,5
476,0,5
477,0,4
478,0,4
479,0,4
480,0,4
481,0,4
482,0,4
483,0,5
484,0,5
485,0,5
486,0,5
487,0,5
488,0,5
489,0,5
490,0,5
491,0,5
492,0,5
493,0,5
494,0,6
495,0,6
496,0,6
497,0,6
498,0,6
499,0,6
500,0,6
501,0,6
502,0,6
503,0,6
504,0,6
505,0,6
506,0,6
507,0,6
508,0,6
509,0,6
510,0,6
511,0,6
512,0,6
513,0,6
514,0,6
515,0,6
516,0,6
517,0,6
518,0,6
519,0,7
520,0,7
521,0,7
522,0,7
523,0,7
524,0,7
525,0,7
526,0,8
527,0,8
528,0,7
529,0,7
530,0,7
531,0,7
532,0,6
533,0,5
534,0,4
535,0,5
536,0,4
537,0,3
538,0,2
539,0,2
540,0,3
541,0,3
542,0,3
543,0,3
544,0,3
545,0,4
546,0,4
547,0,4
548,0,4
549,0,5
550,0,5
551,0,5
552,0,5
553,0,5
554,0,5
555,0,5
556,0,5
557,0,5
558,0,5
559,0,5
560,0,6
561,0,6
562,0,6
563,0,6
564,0,6
565,0,6
566,0,6
567,0,6
568,0,6
569,0,6
570,0,6
