step,veh_id,ttime
88,left_0,88
94,right_2,91
99,left_1,94
100,right_6,89
112,left_5,102
116,right_8,94
117,right_11,90
121,right_12,89
122,left_9,100
135,left_18,94
136,right_16,99
138,right_17,96
147,up_3,143
148,down_4,142
150,down_10,127
152,down_13,121
157,up_7,141
158,up_14,126
159,down_15,123
160,up_21,109
163,down_23,106
165,down_28,93
167,down_30,90
176,down_32,91
185,up_34,92
187,up_37,84
188,down_35,90
195,up_38,87
196,down_36,93
209,up_39,96
211,up_40,93
219,up_51,84
229,down_49,100
233,right_19,185
237,left_20,188
241,right_22,185
244,left_26,177
246,left_29,172
248,left_42,131
249,left_43,127
251,left_44,123
252,right_24,189
253,left_45,120
254,right_25,186
255,right_27,182
257,right_31,176
258,left_48,120
259,right_33,167
260,left_52,117
261,right_41,146
262,right_46,136
262,left_54,114
264,right_47,133
264,left_58,105
267,right_50,131
269,right_53,128
270,right_56,120
272,right_57,117
274,right_60,110
276,right_63,105
278,right_66,99
282,down_55,133
283,up_59,120
284,down_61,120
285,up_62,115
295,left_69,91
297,right_67,113
299,right_68,110
306,down_70,100
308,down_73,94
310,up_64,134
311,left_75,93
315,up_65,134
321,right_72,108
323,right_74,105
323,left_78,90
325,right_77,98
327,right_79,88
340,right_80,91
346,right_83,92
347,left_86,92
353,right_85,93
353,left_89,91
357,right_96,91
370,left_92,100
372,left_94,94
385,down_76,165
387,up_71,175
388,down_81,147
389,up_82,147
390,down_87,136
391,up_84,143
392,down_88,133
394,down_90,130
398,up_91,139
400,up_93,136
404,left_99,121
407,left_100,119
407,right_102,120
409,right_105,117
411,right_108,114
413,left_103,119
417,left_104,118
419,left_109,115
419,right_111,110
421,left_110,112
421,right_112,107
423,right_113,103
423,left_115,108
424,right_116,99
426,right_117,96
428,right_119,88
436,left_120,93
436,right_124,88
438,left_125,88
443,right_126,90
454,down_95,185
456,down_98,182
460,down_106,167
461,up_97,189
462,up_101,178
462,down_107,164
464,down_114,153
464,up_122,120
466,up_123,117
468,up_128,113
474,right_133,111
478,right_137,104
484,right_142,95
485,left_127,130
487,left_129,127
489,left_130,124
490,left_134,120
492,left_136,117
494,left_138,114
501,right_146,97
503,right_148,94
505,left_144,113
506,left_147,104
508,left_149,97
510,left_151,94
521,up_141,136
526,up_152,111
527,down_118,197
529,down_121,186
531,down_131,170
533,up_153,113
534,down_132,168
535,up_154,110
536,down_135,165
537,up_156,104
539,down_139,162
540,up_158,102
541,down_140,157
542,down_143,151
544,down_145,144
546,down_150,136
548,down_157,114
549,up_160,98
550,down_159,100
560,down_162,92
562,down_163,89
570,down_166,92
571,up_165,96
572,up_173,88
575,down_168,92
584,left_155,154
585,right_161,126
588,left_164,119
590,right_167,113
596,right_169,114
598,left_172,114
606,down_171,118
608,down_175,114
610,right_170,120
614,right_177,118
616,left_174,126
616,right_179,115
618,left_178,123
618,right_181,112
620,right_183,103
622,right_186,94
624,left_192,86
631,right_187,98
634,right_190,96
638,right_191,95
639,right_193,91
642,right_196,89
650,left_199,102
652,left_200,99
653,left_204,95
657,right_197,99
660,down_176,161
662,down_180,158
667,down_182,155
668,up_185,143
672,down_184,146
674,down_188,143
675,up_195,133
677,up_212,97
680,left_210,104
681,right_198,118
683,right_203,115
687,right_206,114
691,right_208,113
693,right_209,109
694,right_216,98
695,left_221,85
696,right_217,95
698,right_218,92
702,right_220,91
717,left_222,101
723,up_215,130
728,down_189,191
730,down_194,188
730,up_225,100
732,up_227,97
734,up_228,94
736,up_231,90
737,down_201,185
739,down_202,181
741,down_205,177
743,down_207,171
744,down_211,165
746,down_213,162
752,down_214,162
754,down_219,148
756,down_223,137
758,down_230,115
760,down_234,106
761,down_236,102
763,down_242,97
763,up_243,91
765,down_244,93
777,up_250,94
785,left_233,134
789,right_224,160
791,right_226,157
794,right_229,152
794,left_235,135
795,left_238,131
797,right_232,144
798,left_240,129
800,left_241,126
802,left_245,119
803,right_237,143
803,left_247,115
805,right_239,140
805,left_248,111
807,right_246,132
807,left_249,108
809,right_251,122
811,right_263,102
813,right_265,99
816,right_270,92
818,right_272,88
827,left_255,123
827,right_273,92
829,left_257,120
831,left_258,117
833,left_261,114
835,left_262,111
837,left_264,108
838,left_267,104
839,right_274,99
840,left_269,100
843,right_276,98
844,left_271,99
845,right_279,94
846,left_280,94
851,right_282,95
861,up_252,173
864,up_253,170
866,down_254,175
868,down_256,172
873,up_259,172
875,up_268,160
877,up_275,133
879,down_260,177
880,left_283,122
880,right_286,117
881,down_266,169
881,left_288,115
883,down_278,136
887,left_291,105
888,up_277,139
893,down_285,132
894,up_281,140
902,down_287,136
904,down_292,121
905,down_294,113
907,down_299,99
912,up_284,151
914,up_289,145
916,up_290,141
916,down_302,92
917,up_295,122
919,up_297,118
921,up_298,115
924,down_305,93
938,down_311,87
942,down_315,85
943,up_313,88
949,down_316,85
954,down_320,84
955,up_317,93
969,down_325,90
970,up_321,98
979,left_293,192
980,right_296,177
983,right_300,169
984,left_303,156
986,left_306,153
990,left_307,149
991,right_301,168
993,right_304,162
993,left_308,147
994,left_309,142
994,right_312,141
996,right_314,138
998,right_327,111
1001,left_310,144
1003,left_318,138
1003,right_329,97
1004,left_319,134
1005,right_330,94
1009,left_322,134
1014,left_323,134
1016,left_324,130
1017,left_328,125
1028,down_332,107
1030,up_326,147
1032,up_331,119
1033,right_334,105
1040,right_337,105
1041,left_333,117
1042,left_339,103
1044,right_338,104
1045,left_343,95
1049,down_340,106
1057,up_335,125
1059,up_336,121
1061,down_341,113
1064,right_342,119
1064,left_344,108
1066,right_346,108
1066,left_348,100
1076,up_350,110
1077,right_347,114
1077,left_351,106
1080,down_345,124
1085,down_349,119
1086,down_353,110
1088,down_355,104
1090,down_357,101
1092,down_358,98
1094,down_360,95
1102,right_352,126
1102,up_368,85
1103,left_356,115
1104,right_354,123
1105,left_364,106
1106,left_367,98
1111,right_359,121
1113,up_372,91
1117,down_361,113
1120,right_362,123
1121,down_363,112
1124,right_366,119
1128,left_375,103
1130,right_369,112
1130,left_378,97
1132,right_370,109
1133,right_377,102
1144,right_380,108
1146,right_381,104
1147,down_365,133
1154,up_374,126
1156,down_371,137
1156,up_384,111
1160,down_373,136
1161,up_390,87
1162,down_376,132
1168,down_379,133
1170,down_382,130
1171,up_392,91
1172,down_387,110
1173,down_393,96
1174,up_397,86
1176,up_398,82
1178,down_396,91
1188,up_399,89
1197,up_400,93
1199,up_402,90
1208,up_405,94
1215,up_406,94
1219,up_416,85
1234,left_394,156
1235,right_383,188
1239,left_403,135
1240,right_385,188
1242,left_404,133
1244,right_386,187
1246,right_388,180
1246,left_408,132
1250,left_411,126
1252,right_389,181
1252,left_412,119
1254,right_391,177
1255,right_395,173
1257,right_401,159
1263,right_407,150
1264,left_413,126
1265,right_409,147
1266,left_415,122
1267,right_410,144
1268,right_414,135
1268,left_420,118
1270,right_418,132
1270,left_421,115
1271,left_428,106
1272,right_419,128
1273,left_430,103
1274,right_422,120
1276,right_424,117
1276,left_431,101
1277,right_438,97
1278,left_432,98
1280,left_435,95
1282,right_440,96
1283,left_446,90
1284,right_442,93
1288,right_447,84
1307,right_448,98
1308,right_450,94
1311,left_451,98
1317,up_417,178
1322,up_423,165
1324,up_427,162
1325,up_429,157
1327,down_425,166
1327,up_433,154
1328,down_426,162
1334,up_439,154
1336,up_445,145
1338,down_434,162
1338,up_456,103
1340,down_436,159
1342,down_437,154
1342,right_463,87
1344,down_441,151
1345,down_443,146
1347,down_444,143
1349,down_449,140
1349,right_465,89
1350,up_459,110
1351,down_452,135
1352,down_453,131
1352,up_460,107
1355,down_454,129
1361,left_455,126
1363,up_464,107
1366,down_457,129
1369,left_458,129
1371,left_461,116
1371,down_462,119
1371,up_467,104
1374,left_473,90
1380,right_466,114
1382,right_468,111
1382,left_475,93
1387,right_471,109
1393,up_472,113
1401,down_469,126
1403,down_470,123
1405,down_478,104
1411,up_484,93
1416,down_487,88
1423,up_491,90
1425,up_493,87
1434,down_499,82
1444,up_495,99
1447,up_497,95
1453,up_501,96
1462,left_482,151
1463,right_474,178
1464,left_486,144
1466,left_498,116
1469,right_476,175
1471,right_477,172
1481,up_503,115
1482,up_504,111
1484,up_505,108
1486,up_508,105
1492,up_515,103
1494,up_516,100
1495,down_507,117
1496,up_517,97
1497,down_509,114
1499,down_510,111
1501,down_512,108
1503,down_514,105
1504,down_520,101
1511,left_511,124
1513,right_479,209
1515,right_480,206
1517,right_481,203
1520,left_522,116
1522,left_528,101
1525,up_525,115
1525,down_526,113
1527,down_527,110
1528,up_529,100
1529,down_533,96
1535,up_538,95
1537,down_535,99
1539,down_540,92
1540,up_542,89
1552,down_543,96
1552,up_544,91
1557,down_546,91
1559,down_548,84
1560,up_547,91
1569,up_549,94
1579,left_530,150
1585,right_483,266
1587,right_485,263
1588,right_488,259
1589,left_536,151
1591,left_539,148
1593,left_550,116
1594,right_489,260
1596,right_490,257
1598,right_492,254
1598,left_551,116
1599,right_494,250
1600,left_552,113
1601,right_496,247
1603,right_500,244
1604,left_553,112
1606,right_502,242
1606,left_555,109
1608,right_506,233
1608,left_559,106
1609,right_513,223
1610,left_562,103
1611,right_518,212
1613,right_519,209
1614,right_521,205
1616,left_569,98
1617,right_523,202
1618,right_524,198
1620,right_531,190
1622,right_532,186
1624,right_534,183
1632,right_537,186
1634,right_541,183
1635,right_545,169
1637,right_556,147
1639,right_563,128
1643,right_564,127
1644,right_565,122
1646,right_571,119
1648,right_575,112
1650,right_576,109
1651,right_578,105
1668,up_558,177
1672,down_554,186
1673,down_557,177
1673,up_566,158
1675,down_560,174
1675,up_577,138
1677,down_561,171
1677,up_580,133
1679,down_567,163
1679,up_582,130
1681,up_583,126
1683,up_586,123
1684,up_587,119
1686,down_568,165
1687,down_570,159
1687,up_589,116
1689,down_572,156
1689,up_592,113
1691,down_573,153
1691,up_601,91
1693,down_574,150
1695,down_579,147
1697,down_581,144
1698,down_584,138
1699,up_603,91
1700,down_585,135
1702,down_588,132
1704,down_590,129
1705,down_594,125
1708,down_599,120
1710,down_605,97
1712,down_606,94
1722,down_609,88
1723,up_610,89
1732,down_612,91
1738,up_615,90
1739,down_613,93
1751,right_591,185
1751,left_602,142
1753,right_593,182
1755,right_595,179
1760,right_596,179
1760,left_604,146
1761,left_607,137
