step,tl_id,new_state
21,0,1
56,0,0
100,0,1
132,0,0
176,0,1
205,0,0
249,0,1
311,0,0
349,0,1
381,0,0
470,0,1
499,0,0
510,0,1
578,0,0
649,0,1
699,0,0
767,0,1
829,0,0
897,0,1
947,0,0
1006,0,1
1074,0,0
1145,0,1
1195,0,0
1263,0,1
1313,0,0
1372,0,1
1422,0,0
1493,0,1
1555,0,0
1626,0,1
1676,0,0
1720,0,1
1788,0,0
1859,0,1
1909,0,0
1938,0,1
1967,0,0
2038,0,1
2100,0,0
2120,0,1
2197,0,0
2268,0,1
2318,0,0
2389,0,1
2415,0,0
2498,0,1
2512,0,0
2571,0,1
2612,0,0
2689,0,1
2712,0,0
2783,0,1
2827,0,0
2874,0,1
2909,0,0
2950,0,1
3018,0,0
3029,0,1
3058,0,0
3093,0,1
3107,0,0
3148,0,1
3216,0,0
3257,0,1
3319,0,0
3390,0,1
3404,0,0
3463,0,1
3504,0,0
3581,0,1
3667,0,0
3711,0,1
3725,0,0
3784,0,1
3834,0,0
3878,0,1
3958,0,0
4029,0,1
4043,0,0
4102,0,1
4170,0,0
4214,0,1
4282,0,0
4371,0,1
4415,0,0
4456,0,1
4470,0,0
4487,0,1
4501,0,0
4566,0,1
4655,0,0
4726,0,1
4740,0,0
4796,0,1
4876,0,0
4911,0,1
4940,0,0
5017,0,1
5049,0,0
5132,0,1
5173,0,0
5238,0,1
5306,0,0
5389,0,1
5433,0,0
5447,0,1
5461,0,0
5526,0,1
5612,0,0
5656,0,1
5691,0,0
5729,0,1
5743,0,0
5826,0,1
5894,0,0
5977,0,1
6054,0,0
6098,0,1
6172,0,0
6243,0,1
6272,0,0
6343,0,1
6417,0,0
6488,0,1
6526,0,0
6618,0,1
6659,0,0
6751,0,1
6837,0,0
6914,0,1
6994,0,0
7071,0,1
7136,0,0
7204,0,1
7233,0,0
7310,0,1
7384,0,0
7455,0,1
7469,0,0
7525,0,1
7593,0,0
7673,0,1
7753,0,0
7824,0,1
7910,0,0
7933,0,1
8007,0,0
8018,0,1
8083,0,0
8127,0,1
8162,0,0
8185,0,1
8226,0,0
8249,0,1
8293,0,0
8328,0,1
8396,0,0
8431,0,1
8466,0,0
8483,0,1
8509,0,0
8532,0,1
8600,0,0
8683,0,1
8742,0,0
8810,0,1
8860,0,0
8904,0,1
8972,0,0
9001,0,1
9078,0,0
9149,0,1
9166,0,0
9243,0,1
9332,0,0
9403,0,1
9423,0,0
9509,0,1
9583,0,0
9654,0,1
9668,0,0
9745,0,1
9786,0,0
9851,0,1
9916,0,0
9999,0,1
10076,0,0
10168,0,1
10209,0,0
10247,0,1
10312,0,0
10404,0,1
10472,0,0
10510,0,1
10545,0,0
10571,0,1
10600,0,0
10638,0,1
10727,0,0
10786,0,1
10818,0,0
10886,0,1
10909,0,0
10947,0,1
11036,0,0
11107,0,1
11157,0,0
11225,0,1
11287,0,0
11355,0,1
11423,0,0
11494,0,1
11544,0,0
11615,0,1
11677,0,0
11745,0,1
11795,0,0
11863,0,1
11913,0,0
11981,0,1
12043,0,0
12111,0,1
12161,0,0
12232,0,1
12297,0,0
12338,0,1
12370,0,0
12444,0,1
12506,0,0
12565,0,1
12615,0,0
12668,0,1
12760,0,0
12783,0,1
12821,0,0
12838,0,1
12861,0,0
12884,0,1
12937,0,0
12972,0,1
13049,0,0
13117,0,1
13206,0,0
13277,0,1
13345,0,0
13416,0,1
13466,0,0
13510,0,1
13560,0,0
13628,0,1
13678,0,0
13746,0,1
13808,0,0
13876,0,1
13956,0,0
13988,0,1
13999,0,0
14082,0,1
14105,0,0
14140,0,1
14154,0,0
14213,0,1
14281,0,0
14319,0,1
14408,0,0
14431,0,1
14499,0,0
14570,0,1
14638,0,0
14730,0,1
14792,0,0
14884,0,1
14913,0,0
14954,0,1
15043,0,0
15135,0,1
15206,0,0
15247,0,1
15279,0,0
15371,0,1
15400,0,0
15411,0,1
15443,0,0
15508,0,1
15522,0,0
15608,0,1
15700,0,0
15792,0,1
15866,0,0
15904,0,1
15927,0,0
15989,0,1
16063,0,0
16155,0,1
16169,0,0
16243,0,1
16284,0,0
16331,0,1
16399,0,0
16437,0,1
16451,0,0
16468,0,1
16491,0,0
16538,0,1
16618,0,0
16710,0,1
16784,0,0
16876,0,1
16950,0,0
17000,0,1
17029,0,0
17091,0,1
17180,0,0
17272,0,1
17286,0,0
17363,0,1
17440,0,0
17478,0,1
17567,0,0
17629,0,1
17691,0,0
17783,0,1
17806,0,0
17868,0,1
17948,0,0
18037,0,1
18111,0,0
18137,0,1
18199,0,0
18258,0,1
18308,0,0
18400,0,1
18414,0,0
18491,0,1
18568,0,0
18606,0,1
18680,0,0
18772,0,1
18789,0,0
18863,0,1
18931,0,0
18993,0,1
19034,0,0
19111,0,1
19122,0,0
19163,0,1
19243,0,0
19254,0,1
19286,0,0
19348,0,1
19437,0,0
19529,0,1
19618,0,0
19683,0,1
19766,0,0
19858,0,1
19884,0,0
19895,0,1
19927,0,0
20019,0,1
20096,0,0
