step,tl_id,max_length
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,1
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,0,2
69,0,2
70,0,2
71,0,1
72,0,1
73,0,1
74,0,2
75,0,2
76,0,2
77,0,2
78,0,3
79,0,3
80,0,3
81,0,3
82,0,4
83,0,4
84,0,4
85,0,4
86,0,4
87,0,4
88,0,4
89,0,5
90,0,5
91,0,5
92,0,5
93,0,6
94,0,6
95,0,6
96,0,6
97,0,5
98,0,6
99,0,6
100,0,5
101,0,4
102,0,3
103,0,4
104,0,3
105,0,2
106,0,1
107,0,2
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,0,2
115,0,2
116,0,3
117,0,4
118,0,5
119,0,6
120,0,6
121,0,6
122,0,7
123,0,7
124,0,7
125,0,7
126,0,7
127,0,8
128,0,8
129,0,8
130,0,8
131,0,9
132,0,9
133,0,9
134,0,9
135,0,9
136,0,9
137,0,9
138,0,9
139,0,9
140,0,8
141,0,7
142,0,7
143,0,7
144,0,6
145,0,5
146,0,5
147,0,4
148,0,4
149,0,3
150,0,2
151,0,2
152,0,2
153,0,2
154,0,3
155,0,3
156,0,3
157,0,4
158,0,4
159,0,4
160,0,4
161,0,4
162,0,5
163,0,5
164,0,5
165,0,5
166,0,5
167,0,5
168,0,5
169,0,5
170,0,5
171,0,5
172,0,5
173,0,5
174,0,5
175,0,5
176,0,5
177,0,5
178,0,5
179,0,6
180,0,6
181,0,6
182,0,6
183,0,6
184,0,6
185,0,6
186,0,6
187,0,6
188,0,6
189,0,6
190,0,6
191,0,6
192,0,6
193,0,6
194,0,6
195,0,6
196,0,5
197,0,5
198,0,5
199,0,5
200,0,4
201,0,3
202,0,2
203,0,2
204,0,2
205,0,3
206,0,3
207,0,3
208,0,3
209,0,3
210,0,4
211,0,4
212,0,4
213,0,4
214,0,5
215,0,5
216,0,5
217,0,5
218,0,5
219,0,5
220,0,6
221,0,6
222,0,6
223,0,6
224,0,7
225,0,7
226,0,7
227,0,7
228,0,8
229,0,8
230,0,8
231,0,8
232,0,8
233,0,8
234,0,8
235,0,9
236,0,9
237,0,9
238,0,9
239,0,10
240,0,10
241,0,10
242,0,10
243,0,10
244,0,10
245,0,11
246,0,11
247,0,11
248,0,11
249,0,12
250,0,12
251,0,12
252,0,12
253,0,12
254,0,13
255,0,13
256,0,13
257,0,13
258,0,13
259,0,13
260,0,14
261,0,14
262,0,14
263,0,14
264,0,14
265,0,15
266,0,15
267,0,15
268,0,15
269,0,15
270,0,16
271,0,16
272,0,16
273,0,16
274,0,16
275,0,17
276,0,16
277,0,16
278,0,16
279,0,15
280,0,15
281,0,15
282,0,15
283,0,14
284,0,13
285,0,13
286,0,12
287,0,11
288,0,10
289,0,9
290,0,10
291,0,9
292,0,8
293,0,8
294,0,8
295,0,7
296,0,5
297,0,5
298,0,5
299,0,4
300,0,4
301,0,3
302,0,3
303,0,2
304,0,3
305,0,3
306,0,3
307,0,3
308,0,3
309,0,4
310,0,4
311,0,4
312,0,4
313,0,4
314,0,4
315,0,4
316,0,5
317,0,6
318,0,7
319,0,8
320,0,8
321,0,9
322,0,10
323,0,11
324,0,11
325,0,12
326,0,12
327,0,12
328,0,12
329,0,13
330,0,13
331,0,13
332,0,13
333,0,14
334,0,14
335,0,14
336,0,14
337,0,14
338,0,14
339,0,15
340,0,15
341,0,15
342,0,15
343,0,16
344,0,16
345,0,16
346,0,16
347,0,17
348,0,17
349,0,17
350,0,17
351,0,17
352,0,18
353,0,18
354,0,18
355,0,18
356,0,18
357,0,19
358,0,19
359,0,19
360,0,19
361,0,19
362,0,19
363,0,19
364,0,19
365,0,18
366,0,18
367,0,17
368,0,17
369,0,16
370,0,16
371,0,16
372,0,15
373,0,14
374,0,13
375,0,12
376,0,11
377,0,10
378,0,11
379,0,10
380,0,9
381,0,9
382,0,9
383,0,8
384,0,7
385,0,6
386,0,6
387,0,6
388,0,5
389,0,5
390,0,4
391,0,3
392,0,2
393,0,2
394,0,2
395,0,2
396,0,2
397,0,2
398,0,3
399,0,4
400,0,4
401,0,5
402,0,6
403,0,7
404,0,7
405,0,8
406,0,9
407,0,9
408,0,10
409,0,11
410,0,12
411,0,13
412,0,14
413,0,14
414,0,15
415,0,16
416,0,16
417,0,16
418,0,17
419,0,17
420,0,17
421,0,17
422,0,18
423,0,18
424,0,18
425,0,17
426,0,18
427,0,18
428,0,17
429,0,17
430,0,16
431,0,16
432,0,16
433,0,15
434,0,14
435,0,13
436,0,14
437,0,13
438,0,12
439,0,12
440,0,12
441,0,11
442,0,10
443,0,9
444,0,8
445,0,8
446,0,7
447,0,6
448,0,5
449,0,5
450,0,5
451,0,5
452,0,5
453,0,5
454,0,6
455,0,6
456,0,6
457,0,6
458,0,6
459,0,6
460,0,6
461,0,6
462,0,6
463,0,5
464,0,5
465,0,6
466,0,6
467,0,7
468,0,8
469,0,9
470,0,10
471,0,10
472,0,11
473,0,12
474,0,13
475,0,13
476,0,13
477,0,14
478,0,14
479,0,14
480,0,14
481,0,14
482,0,15
483,0,15
484,0,15
485,0,15
486,0,16
487,0,17
488,0,16
489,0,16
490,0,16
491,0,17
492,0,17
493,0,17
494,0,17
495,0,17
496,0,17
497,0,18
498,0,18
499,0,18
500,0,18
501,0,19
502,0,19
503,0,19
504,0,19
505,0,19
506,0,20
507,0,20
508,0,20
509,0,20
510,0,21
511,0,21
512,0,21
513,0,21
514,0,21
515,0,22
516,0,22
517,0,22
518,0,22
519,0,22
520,0,23
521,0,23
522,0,23
523,0,23
524,0,23
525,0,24
526,0,24
527,0,24
528,0,24
529,0,24
530,0,25
531,0,25
532,0,25
533,0,25
534,0,25
535,0,25
536,0,25
537,0,25
538,0,25
539,0,25
540,0,26
541,0,26
542,0,26
543,0,25
544,0,25
545,0,26
546,0,25
547,0,24
548,0,23
549,0,24
550,0,23
551,0,22
552,0,22
553,0,21
554,0,21
555,0,20
556,0,20
557,0,19
558,0,18
559,0,18
560,0,17
561,0,16
562,0,15
563,0,16
564,0,15
565,0,14
566,0,13
567,0,13
568,0,13
569,0,12
570,0,12
