step,veh_id,ttime
88,left_0,88
94,right_2,91
99,left_1,94
100,right_6,89
112,left_5,102
116,right_8,94
122,left_9,100
126,up_3,122
127,down_4,121
129,down_10,106
131,down_13,100
136,up_7,120
138,up_14,106
138,down_15,102
143,up_21,92
154,down_23,97
159,down_28,87
162,down_30,85
176,down_32,91
185,up_34,92
187,up_37,84
188,down_35,90
194,up_38,86
196,down_36,93
211,up_39,98
219,right_11,192
221,right_12,189
224,left_18,183
226,left_20,177
229,left_26,162
231,right_16,194
231,left_29,157
232,left_42,115
233,right_17,191
234,left_43,112
235,right_19,187
236,right_22,180
236,left_44,108
238,left_45,105
243,right_24,180
243,left_48,105
245,right_25,177
245,left_52,102
246,left_54,98
247,right_27,174
248,right_31,167
250,right_33,158
250,left_58,91
252,right_41,137
254,right_46,128
256,right_47,125
258,right_50,122
260,right_53,119
262,right_56,112
263,right_57,108
265,right_60,101
267,right_63,96
276,right_66,97
280,right_67,96
281,right_68,92
303,up_40,185
304,up_51,169
309,up_59,147
310,down_49,181
310,up_62,140
312,down_55,163
314,down_61,150
315,up_64,139
315,down_70,109
317,down_73,103
319,up_65,138
319,down_76,99
321,up_71,109
332,down_81,91
334,up_82,92
336,up_84,88
344,down_87,90
350,down_88,91
354,down_90,90
356,up_91,97
359,up_93,95
359,down_95,90
369,up_97,97
377,left_69,173
380,right_72,167
380,left_75,161
382,right_74,164
382,left_78,146
383,right_77,151
387,down_98,113
393,up_101,109
393,down_106,100
395,down_107,97
399,down_114,88
430,right_79,191
432,left_86,178
433,right_80,187
434,left_89,171
438,right_83,187
440,right_85,184
441,right_96,175
444,right_102,157
445,left_92,177
446,right_105,154
447,left_94,174
448,left_99,167
448,right_108,151
450,left_100,164
452,left_103,160
454,left_104,157
456,left_109,154
456,right_111,147
457,left_110,150
458,right_112,144
459,right_113,139
459,left_115,144
461,right_116,136
461,left_120,118
463,right_117,133
463,left_125,113
465,right_119,125
466,right_124,118
468,right_126,115
468,left_127,113
470,left_129,110
470,right_133,107
472,left_130,107
472,right_137,98
474,left_134,103
475,left_136,99
477,left_138,94
484,right_142,95
499,right_146,97
505,up_122,161
505,left_144,113
507,down_118,177
507,left_147,105
509,down_121,166
509,up_123,159
510,up_128,155
510,down_131,149
512,up_141,125
514,up_152,99
515,down_132,149
516,down_135,145
518,down_139,142
520,down_140,136
521,up_153,101
522,down_143,132
522,up_154,97
524,down_145,129
524,up_156,91
526,down_150,116
527,down_157,93
535,up_158,97
536,down_159,86
548,up_160,97
557,down_162,92
559,down_163,89
568,down_166,92
572,up_165,97
574,down_168,93
574,up_173,90
583,down_171,96
587,left_149,180
591,right_148,184
591,left_151,177
592,right_161,133
593,left_155,163
594,left_164,122
594,right_167,117
598,right_169,116
600,right_170,113
602,right_177,107
603,left_172,119
603,right_179,103
604,left_174,114
605,right_181,100
606,left_178,111
607,right_183,90
615,right_186,87
625,left_192,87
631,right_187,98
635,right_190,97
638,right_191,95
639,right_193,91
650,left_199,102
658,down_175,166
658,up_185,131
660,down_176,163
661,down_180,159
663,down_182,149
664,up_195,123
665,down_184,140
667,down_188,137
669,down_189,134
671,down_194,131
671,up_212,91
677,down_201,125
679,down_202,121
680,down_205,116
680,up_215,87
682,down_207,113
684,down_211,105
686,down_213,102
691,down_214,102
702,down_219,96
706,down_223,87
722,up_225,92
724,up_227,89
736,right_196,183
739,left_200,186
741,left_204,183
743,left_210,167
744,left_221,135
745,right_197,187
746,right_198,182
748,right_203,179
750,right_206,176
752,right_208,173
754,right_209,170
754,left_222,139
755,right_216,159
755,left_233,104
757,right_217,153
757,left_235,98
759,right_218,150
759,left_238,95
761,right_220,147
762,right_224,133
762,left_240,93
764,right_226,130
764,left_241,90
766,right_229,124
768,right_232,118
770,left_245,91
773,left_247,89
774,right_237,114
775,left_248,86
776,right_239,111
777,right_246,102
781,left_249,87
785,right_251,98
809,up_228,169
809,down_230,166
810,up_231,164
813,left_255,114
815,left_257,111
817,down_234,163
817,up_243,146
819,down_236,160
820,down_242,154
821,up_250,135
822,down_244,150
823,up_252,132
825,up_253,128
828,down_254,137
830,down_256,134
833,up_259,131
835,up_268,120
836,up_275,95
838,up_277,92
841,down_260,139
842,up_281,88
843,down_266,131
845,down_278,98
851,down_285,90
863,down_287,97
869,up_284,109
871,up_289,102
871,down_292,88
873,up_290,98
895,left_258,185
897,left_261,182
897,right_263,188
898,left_262,178
899,right_265,184
900,left_264,175
901,right_270,177
902,right_272,172
904,right_273,169
907,left_267,176
909,left_269,173
913,right_274,169
914,left_271,173
915,right_276,166
916,left_280,161
917,right_279,162
918,right_282,158
918,left_283,156
919,left_288,151
920,right_286,155
921,left_291,139
922,right_296,121
923,left_293,136
924,right_300,109
924,left_303,96
926,right_301,103
926,left_306,93
927,right_304,97
933,left_307,92
939,left_308,93
939,right_312,86
940,left_309,89
942,right_314,84
952,left_310,96
954,left_318,89
957,left_319,87
975,down_294,183
977,down_299,167
980,up_295,185
982,up_297,181
983,down_302,158
984,up_298,178
986,down_305,155
986,up_313,131
988,down_311,137
988,up_317,125
989,down_315,132
991,down_316,129
993,down_320,122
995,up_321,123
995,down_325,116
997,up_326,116
1003,up_331,90
1012,down_332,91
1028,down_340,87
1030,up_335,98
1031,up_336,94
1045,down_341,99
1050,down_345,94
1063,right_327,177
1066,left_322,190
1067,right_329,158
1069,right_330,150
1071,left_323,190
1073,left_324,187
1073,up_350,107
1080,down_349,114
1081,down_353,105
1083,down_355,95
1086,down_357,93
1088,down_358,90
1090,down_360,87
1102,down_361,94
1109,down_363,96
1112,right_334,184
1119,left_328,227
1120,right_337,185
1124,left_333,197
1124,right_338,184
1125,left_339,186
1126,right_342,181
1127,left_343,177
1128,right_346,170
1129,left_344,173
1131,left_348,165
1138,right_347,175
1140,right_352,164
1141,left_351,169
1142,right_354,161
1143,left_356,155
1144,right_359,154
1145,left_364,146
1146,right_362,149
1147,right_366,142
1147,left_367,139
1149,right_369,131
1151,right_370,128
1151,left_375,126
1153,right_377,122
1153,left_378,122
1155,right_380,119
1157,right_381,116
1159,right_383,113
1160,right_385,109
1161,left_394,83
1162,right_386,106
1164,right_388,98
1169,right_389,96
1171,right_391,93
1172,right_395,89
1186,right_401,88
1197,down_365,179
1197,up_368,180
1203,up_372,181
1207,down_371,184
1208,up_374,180
1210,down_373,179
1210,up_384,165
1212,down_376,176
1212,up_390,138
1213,up_392,132
1215,up_397,125
1217,down_379,176
1217,up_398,122
1219,up_399,117
1220,down_382,174
1221,up_400,114
1222,down_387,160
1222,up_402,110
1223,down_393,146
1225,down_396,138
1226,up_405,109
1227,up_406,105
1229,up_416,95
1231,up_417,92
1239,left_403,136
1242,left_404,134
1246,left_408,132
1249,right_407,136
1250,left_411,126
1251,right_409,132
1252,right_410,127
1253,left_412,124
1254,right_414,121
1256,right_418,118
1258,right_419,111
1260,right_422,106
1261,right_424,102
1264,left_413,130
1264,right_438,84
1266,left_415,126
1268,left_420,115
1270,left_421,110
1271,left_428,106
1273,left_430,101
1278,left_431,101
1280,left_432,98
1282,left_435,95
1282,right_440,97
1284,right_442,94
1284,left_446,91
1287,right_447,83
1307,up_423,150
1309,up_427,147
1311,up_429,144
1312,up_433,140
1313,down_425,153
1314,down_426,149
1319,up_439,139
1321,up_445,130
1323,up_456,88
1324,down_434,151
1326,down_436,148
1328,down_437,145
1330,down_441,142
1331,down_443,138
1333,down_444,135
1335,down_449,122
1337,down_452,115
1339,down_453,112
1341,down_454,109
1343,down_457,106
1344,down_462,92
1348,up_459,108
1350,up_460,105
1352,up_464,96
1359,up_467,92
1370,up_472,90
1374,down_469,99
1376,down_470,96
1395,right_448,186
1396,left_451,183
1397,right_450,183
1398,left_455,164
1399,right_463,144
1406,left_458,167
1410,down_478,109
1410,up_484,92
1416,down_487,88
1423,up_491,90
1425,up_493,86
1433,down_499,81
1443,up_495,99
1445,up_497,96
1452,up_501,95
1458,up_503,94
1460,up_504,91
1477,right_465,217
1482,left_461,230
1482,right_466,216
1483,right_468,212
1483,left_473,199
1485,left_475,196
1487,right_471,209
1487,left_482,176
1489,right_474,204
1489,left_486,169
1490,left_498,140
1491,right_476,197
1492,left_511,107
1493,right_477,194
1495,right_479,191
1497,right_480,188
1499,right_481,185
1501,right_483,182
1502,right_485,178
1502,left_522,98
1504,right_488,175
1507,right_489,173
1509,right_490,170
1511,right_492,167
1511,left_528,90
1512,right_494,163
1512,left_530,83
1514,right_496,160
1516,right_500,157
1520,right_502,156
1522,right_506,147
1523,right_513,137
1525,right_518,126
1527,right_519,121
1528,right_521,117
1530,right_523,114
1532,right_524,110
1532,left_536,94
1534,right_531,104
1534,left_539,91
1536,right_532,101
1537,right_534,97
1545,right_537,100
1549,up_505,173
1550,up_508,169
1558,up_515,169
1560,up_516,166
1561,up_517,162
1563,up_525,153
1565,up_529,137
1567,up_538,127
1568,down_507,190
1569,up_542,118
1570,down_509,187
1570,up_544,109
1572,down_510,184
1572,up_547,103
1574,down_512,181
1574,up_549,99
1576,down_514,178
1578,down_520,175
1580,down_526,168
1581,down_527,164
1583,down_533,150
1583,up_558,92
1585,down_535,147
1587,down_540,140
1589,down_543,133
1591,down_546,125
1592,down_548,117
1594,down_554,108
1596,down_557,105
1598,down_560,100
1600,down_561,96
1604,down_567,88
1610,up_566,95
1619,right_541,168
1620,down_568,99
1624,right_545,159
1625,left_550,148
1627,right_556,137
1629,down_570,103
1631,up_577,94
1632,left_551,149
1634,left_552,141
1637,down_572,106
1637,up_580,93
1644,down_573,108
1644,up_582,95
1646,up_583,92
1648,down_574,107
1648,up_586,88
1650,down_579,104
1652,down_581,101
1653,down_584,92
1656,up_587,91
1663,down_585,93
1665,up_589,95
1667,up_592,91
1668,down_588,93
1681,right_563,169
1690,left_553,188
1691,left_555,184
1691,right_564,174
1693,left_559,181
1693,right_565,171
1695,left_562,178
1695,right_571,167
1697,left_569,174
1697,right_575,161
1698,right_576,157
1699,left_602,93
1700,right_578,154
1702,right_591,136
1704,right_593,133
1705,right_595,129
1707,right_596,126
1709,right_597,123
1710,left_604,97
1711,right_598,120
1713,right_600,117
1719,left_607,95
1723,right_611,86
1727,left_608,95
1731,left_614,84
1753,down_590,172
1756,down_594,171
1757,up_601,157
1759,up_603,151
1760,up_610,126
1762,up_615,114
