step,tl_id,new_state
21,0,1
68,0,0
115,0,1
168,0,0
254,0,1
289,0,0
336,0,1
389,0,0
454,0,1
507,0,0
593,0,1
670,0,0
687,0,1
725,0,0
784,0,1
861,0,0
878,0,1
925,0,0
942,0,1
989,0,0
1006,0,1
1053,0,0
1112,0,1
1165,0,0
1182,0,1
1220,0,0
1279,0,1
1344,0,0
1430,0,1
1516,0,0
1575,0,1
1628,0,0
1645,0,1
1683,0,0
1742,0,1
1822,0,0
1839,0,1
1850,0,0
1867,0,1
1896,0,0
1922,0,1
1960,0,0
2043,0,1
2120,0,0
2206,0,1
2259,0,0
2282,0,1
2329,0,0
2346,0,1
2384,0,0
2401,0,1
2427,0,0
2444,0,1
2482,0,0
2502,0,1
2552,0,0
2629,0,1
2706,0,0
2792,0,1
2869,0,0
2886,0,1
2921,0,0
2938,0,1
2976,0,0
3035,0,1
3115,0,0
3201,0,1
3254,0,0
3298,0,1
3378,0,0
3437,0,1
3466,0,0
3552,0,1
3629,0,0
3706,0,1
3729,0,0
3815,0,1
3892,0,0
3909,0,1
3920,0,0
4012,0,1
4065,0,0
4082,0,1
4156,0,0
4194,0,1
4274,0,0
4312,0,1
4389,0,0
4427,0,1
4474,0,0
4512,0,1
4592,0,0
4669,0,1
4749,0,0
4820,0,1
4873,0,0
4896,0,1
4976,0,0
4993,0,1
5040,0,0
5060,0,1
5098,0,0
5115,0,1
5153,0,0
5200,0,1
5280,0,0
5300,0,1
5338,0,0
5415,0,1
5492,0,0
5551,0,1
5598,0,0
5684,0,1
5704,0,0
5715,0,1
5792,0,0
5812,0,1
5850,0,0
5870,0,1
5908,0,0
5928,0,1
5966,0,0
6031,0,1
6090,0,0
6119,0,1
6199,0,0
6216,0,1
6254,0,0
6313,0,1
6366,0,0
6383,0,1
6424,0,0
6492,0,1
6506,0,0
6553,0,1
6606,0,0
6695,0,1
6748,0,0
6834,0,1
6920,0,0
6934,0,1
6975,0,0
7034,0,1
7114,0,0
7131,0,1
7169,0,0
7186,0,1
7275,0,0
7295,0,1
7306,0,0
7323,0,1
7382,0,0
7402,0,1
7440,0,0
7523,0,1
7600,0,0
7617,0,1
7658,0,0
7678,0,1
7746,0,0
7766,0,1
7777,0,0
7794,0,1
7832,0,0
7891,0,1
7944,0,0
8030,0,1
8107,0,0
8166,0,1
8246,0,0
8263,0,1
8274,0,0
8291,0,1
8302,0,0
8364,0,1
8417,0,0
8446,0,1
8526,0,0
8543,0,1
8581,0,0
8598,0,1
8609,0,0
8626,0,1
8664,0,0
8723,0,1
8776,0,0
8862,0,1
8939,0,0
8956,0,1
8994,0,0
9080,0,1
9133,0,0
9219,0,1
9272,0,0
9322,0,1
9366,0,0
9413,0,1
9466,0,0
9483,0,1
9566,0,0
9643,0,1
9681,0,0
9728,0,1
9808,0,0
9828,0,1
9878,0,0
9898,0,1
9912,0,0
9971,0,1
10051,0,0
10068,0,1
10106,0,0
10165,0,1
10242,0,0
10283,0,1
10351,0,0
10368,0,1
10379,0,0
10396,0,1
10407,0,0
10424,0,1
10462,0,0
10482,0,1
10493,0,0
10510,0,1
10521,0,0
10595,0,1
10672,0,0
10689,0,1
10727,0,0
10744,0,1
10806,0,0
10826,0,1
10864,0,0
10941,0,1
10994,0,0
11080,0,1
11160,0,0
11177,0,1
11188,0,0
11205,0,1
11264,0,0
11323,0,1
11376,0,0
11435,0,1
11467,0,0
11553,0,1
11609,0,0
11626,0,1
11664,0,0
11681,0,1
11728,0,0
11814,0,1
11891,0,0
11908,0,1
11919,0,0
11969,0,1
12022,0,0
12108,0,1
12194,0,0
12211,0,1
12255,0,0
12314,0,1
12391,0,0
12408,0,1
12446,0,0
12466,0,1
12477,0,0
12506,0,1
12574,0,0
12594,0,1
12632,0,0
12685,0,1
12738,0,0
12803,0,1
12856,0,0
12942,0,1
13019,0,0
13078,0,1
13161,0,0
13178,0,1
13216,0,0
13233,0,1
13271,0,0
13285,0,1
13323,0,0
13400,0,1
13414,0,0
13455,0,1
13532,0,0
13585,0,1
13647,0,0
13733,0,1
13762,0,0
13809,0,1
13889,0,0
13906,0,1
13944,0,0
14027,0,1
14080,0,0
14166,0,1
14201,0,0
14287,0,1
14373,0,0
14393,0,1
14404,0,0
14421,0,1
14432,0,0
14494,0,1
