step,veh_id,ttime
88,left_0,88
96,down_6,90
106,up_5,102
108,up_10,92
118,right_2,115
120,right_4,112
121,left_1,116
123,left_3,113
126,right_8,113
128,left_7,113
129,left_12,107
131,left_15,103
132,right_9,114
134,right_11,111
136,right_14,108
137,right_16,104
139,right_20,101
139,left_23,98
140,down_13,117
147,up_18,115
149,down_17,118
149,up_30,98
151,down_19,115
153,down_33,96
170,down_39,98
172,down_41,95
184,down_49,99
184,up_52,91
186,down_53,88
194,down_55,91
199,up_56,96
205,right_21,161
210,right_22,161
212,left_25,166
214,left_29,163
216,left_37,149
217,left_40,143
219,left_43,140
220,right_24,166
221,left_45,137
222,right_26,163
224,right_27,160
224,left_47,135
226,right_28,157
227,right_31,153
229,right_32,150
229,left_50,135
231,right_34,147
231,left_54,130
233,right_35,144
233,left_64,113
236,down_73,107
238,up_58,130
243,up_59,130
243,down_83,94
245,up_61,127
246,up_77,111
253,up_90,91
259,up_94,87
266,down_92,102
273,up_97,96
275,up_100,93
303,down_111,97
303,up_113,91
310,down_115,96
311,down_121,91
325,right_36,231
326,right_38,226
328,right_42,223
330,right_44,220
330,left_65,204
332,left_66,200
333,right_46,218
334,left_67,197
336,left_68,194
337,left_69,190
339,left_72,187
340,right_48,217
341,left_75,184
342,right_51,213
343,left_78,181
344,right_57,210
344,left_81,176
346,right_60,207
346,left_86,173
348,right_62,204
349,right_63,200
355,up_130,112
357,down_129,111
357,up_134,109
359,down_138,105
360,down_141,101
361,up_147,102
362,down_145,98
363,up_149,99
364,up_156,92
365,down_151,96
371,down_158,96
374,up_164,90
388,down_169,95
394,down_171,96
398,down_180,87
413,left_87,235
415,right_70,261
417,left_89,234
419,right_71,259
421,right_74,256
423,right_76,253
424,left_93,236
425,right_79,250
425,left_99,232
427,right_80,247
428,right_82,243
429,left_104,231
430,right_84,240
430,left_105,227
432,left_108,224
433,right_85,238
434,left_110,221
435,right_88,235
436,left_112,218
438,left_119,211
439,left_123,206
441,left_125,203
442,right_91,236
443,right_95,231
443,left_126,200
444,left_133,195
445,right_96,228
446,left_136,192
447,right_98,225
448,left_143,189
449,right_101,222
451,right_102,218
452,right_103,214
454,right_106,210
456,right_107,207
458,right_109,204
459,right_114,199
461,right_116,196
463,right_117,193
464,left_144,200
465,right_118,190
466,left_148,196
467,right_120,186
468,right_122,182
468,left_150,193
470,right_124,179
470,left_153,190
471,left_154,186
473,left_155,183
475,left_157,180
477,right_127,181
477,left_159,177
479,right_128,178
479,left_160,174
481,right_131,175
481,left_161,171
482,left_162,167
483,right_132,172
484,left_163,163
485,right_135,168
486,right_137,164
486,left_166,160
488,right_139,161
488,left_167,155
489,left_173,151
490,right_140,158
492,right_142,155
492,left_175,148
493,left_182,144
494,right_146,150
495,left_186,141
496,right_152,147
497,right_165,143
497,left_189,138
499,right_168,140
499,left_191,135
501,right_170,137
502,left_199,133
503,right_172,133
504,left_200,130
506,left_202,127
507,up_194,163
507,left_204,123
508,down_188,178
509,left_205,120
510,down_192,167
513,down_207,149
515,up_197,166
515,down_208,146
517,up_203,163
517,down_212,143
519,down_216,140
519,up_221,134
520,up_238,105
521,down_220,137
522,up_240,102
523,down_224,133
524,down_226,129
524,up_243,99
526,up_249,93
528,down_235,118
531,up_253,93
534,down_251,100
536,down_257,86
552,up_259,101
557,down_266,92
559,down_269,89
575,left_211,181
576,left_213,177
577,right_174,202
578,left_215,174
579,right_176,199
580,right_177,195
580,left_218,171
582,right_178,192
584,right_179,189
586,right_181,186
587,right_183,181
588,left_219,173
589,left_225,168
591,left_228,163
592,right_184,181
593,left_229,158
595,right_185,178
595,left_231,152
596,left_233,144
599,right_187,174
601,right_190,171
602,right_193,163
602,left_237,143
604,left_239,136
605,left_241,132
607,left_246,128
608,right_195,164
609,left_247,123
610,right_196,161
611,left_248,119
612,right_198,158
613,left_250,116
614,right_201,154
614,left_256,111
616,right_206,150
616,left_258,108
617,right_209,146
