step,tl_id,max_length
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,1
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,0,2
69,0,2
70,0,2
71,0,2
72,0,2
73,0,2
74,0,2
75,0,3
76,0,3
77,0,3
78,0,3
79,0,3
80,0,4
81,0,4
82,0,4
83,0,4
84,0,4
85,0,4
86,0,4
87,0,4
88,0,4
89,0,4
90,0,4
91,0,4
92,0,4
93,0,4
94,0,4
95,0,4
96,0,4
97,0,4
98,0,4
99,0,4
100,0,4
101,0,5
102,0,5
103,0,5
104,0,5
105,0,5
106,0,5
107,0,5
108,0,5
109,0,5
110,0,5
111,0,5
112,0,5
113,0,5
114,0,5
115,0,5
116,0,4
117,0,5
118,0,5
119,0,5
120,0,3
121,0,4
122,0,3
123,0,2
124,0,3
125,0,3
126,0,3
127,0,3
128,0,3
129,0,4
130,0,3
131,0,4
132,0,5
133,0,5
134,0,5
135,0,5
136,0,5
137,0,5
138,0,5
139,0,5
140,0,5
141,0,6
142,0,6
143,0,6
144,0,6
145,0,6
146,0,7
147,0,7
148,0,7
149,0,7
150,0,7
151,0,7
152,0,7
153,0,7
154,0,7
155,0,7
156,0,7
157,0,7
158,0,7
159,0,7
160,0,7
161,0,7
162,0,7
163,0,7
164,0,7
165,0,7
166,0,7
167,0,7
168,0,7
169,0,7
170,0,7
171,0,8
172,0,8
173,0,8
174,0,8
175,0,8
176,0,8
177,0,8
178,0,8
179,0,8
180,0,8
181,0,8
182,0,8
183,0,8
184,0,8
185,0,8
186,0,8
187,0,8
188,0,8
189,0,8
190,0,8
191,0,8
192,0,9
193,0,9
194,0,9
195,0,9
196,0,9
197,0,9
198,0,9
199,0,9
200,0,9
201,0,9
202,0,9
203,0,9
204,0,8
205,0,8
206,0,8
207,0,8
208,0,8
209,0,7
210,0,6
211,0,5
212,0,4
213,0,4
214,0,3
215,0,3
216,0,4
217,0,4
218,0,4
219,0,4
220,0,4
221,0,4
222,0,4
223,0,5
224,0,5
225,0,5
226,0,5
227,0,5
228,0,5
229,0,6
230,0,6
231,0,6
232,0,6
233,0,7
234,0,7
235,0,7
236,0,7
237,0,7
238,0,8
239,0,8
240,0,8
241,0,8
242,0,8
243,0,8
244,0,8
245,0,7
246,0,7
247,0,8
248,0,7
249,0,7
250,0,6
251,0,5
252,0,6
253,0,5
254,0,4
255,0,4
256,0,4
257,0,4
258,0,4
259,0,5
260,0,4
261,0,6
262,0,6
263,0,7
264,0,7
265,0,8
266,0,9
267,0,9
268,0,9
269,0,9
270,0,10
271,0,10
272,0,11
273,0,11
274,0,11
275,0,11
276,0,11
277,0,11
278,0,12
279,0,12
280,0,12
281,0,12
282,0,12
283,0,12
284,0,13
285,0,13
286,0,13
287,0,13
288,0,14
289,0,14
290,0,14
291,0,14
292,0,14
293,0,15
294,0,15
295,0,15
296,0,15
297,0,15
298,0,16
299,0,16
300,0,16
301,0,16
302,0,16
303,0,17
304,0,17
305,0,17
306,0,18
307,0,18
308,0,18
309,0,18
310,0,18
311,0,19
312,0,19
313,0,19
314,0,19
315,0,19
316,0,20
317,0,20
318,0,20
319,0,20
320,0,20
321,0,21
322,0,21
323,0,21
324,0,21
325,0,21
326,0,22
327,0,22
328,0,22
329,0,22
330,0,23
331,0,23
332,0,23
333,0,22
334,0,23
335,0,23
336,0,22
337,0,21
338,0,20
339,0,20
340,0,19
341,0,19
342,0,18
343,0,17
344,0,17
345,0,16
346,0,16
347,0,15
348,0,14
349,0,14
350,0,13
351,0,13
352,0,12
353,0,11
354,0,10
355,0,10
356,0,10
357,0,9
358,0,9
359,0,8
360,0,7
361,0,6
362,0,6
363,0,6
364,0,5
365,0,4
366,0,3
367,0,4
368,0,3
369,0,3
370,0,3
371,0,3
372,0,3
373,0,3
374,0,3
375,0,4
376,0,4
377,0,4
378,0,4
379,0,4
380,0,4
381,0,4
382,0,4
383,0,4
384,0,4
385,0,4
386,0,4
387,0,5
388,0,5
389,0,5
390,0,5
391,0,5
392,0,5
393,0,5
394,0,5
395,0,5
396,0,5
397,0,5
398,0,5
399,0,5
400,0,5
401,0,5
402,0,5
403,0,5
404,0,5
405,0,5
406,0,6
407,0,6
408,0,6
409,0,6
410,0,6
411,0,7
412,0,7
413,0,7
414,0,7
415,0,7
416,0,8
417,0,8
418,0,7
419,0,8
420,0,8
421,0,7
422,0,6
423,0,6
424,0,6
425,0,6
426,0,6
427,0,7
428,0,7
429,0,7
430,0,7
431,0,7
432,0,7
433,0,7
434,0,7
435,0,6
436,0,6
437,0,7
438,0,8
439,0,9
440,0,9
441,0,9
442,0,9
443,0,10
444,0,10
445,0,10
446,0,10
447,0,10
448,0,10
449,0,10
450,0,10
451,0,11
452,0,11
453,0,11
454,0,11
455,0,11
456,0,11
457,0,11
458,0,12
459,0,12
460,0,12
461,0,12
462,0,12
463,0,12
464,0,12
465,0,12
466,0,13
467,0,13
468,0,13
469,0,13
470,0,13
471,0,13
472,0,13
473,0,13
474,0,13
475,0,14
476,0,14
477,0,14
478,0,14
479,0,15
480,0,15
481,0,15
482,0,15
483,0,15
484,0,15
485,0,15
486,0,16
487,0,16
488,0,16
489,0,16
490,0,16
491,0,16
492,0,16
493,0,17
494,0,17
495,0,17
496,0,17
497,0,18
498,0,18
499,0,18
500,0,18
501,0,18
502,0,18
503,0,19
504,0,19
505,0,19
506,0,19
507,0,20
508,0,20
509,0,20
510,0,20
511,0,20
512,0,20
513,0,20
514,0,21
515,0,21
516,0,21
517,0,21
518,0,21
519,0,22
520,0,22
521,0,22
522,0,22
523,0,22
524,0,22
525,0,22
526,0,22
527,0,21
528,0,22
529,0,21
530,0,20
531,0,20
532,0,19
533,0,19
534,0,18
535,0,17
536,0,17
537,0,16
538,0,16
539,0,16
540,0,14
541,0,13
542,0,13
543,0,13
544,0,12
545,0,12
546,0,10
547,0,10
548,0,9
549,0,9
550,0,8
551,0,7
552,0,6
553,0,7
554,0,6
555,0,7
556,0,7
557,0,7
558,0,7
559,0,7
560,0,7
561,0,7
562,0,6
563,0,6
564,0,6
565,0,6
566,0,7
567,0,8
568,0,8
569,0,9
570,0,10
