step,tl_id,new_state
21,0,1
86,0,0
109,0,1
159,0,0
188,0,1
238,0,0
264,0,1
314,0,0
340,0,1
429,0,0
509,0,1
538,0,0
606,0,1
629,0,0
646,0,1
678,0,0
713,0,1
736,0,0
777,0,1
818,0,0
868,0,1
885,0,0
902,0,1
943,0,0
957,0,1
1034,0,0
1114,0,1
1137,0,0
1187,0,1
1279,0,0
1317,0,1
1340,0,0
1399,0,1
1461,0,0
1541,0,1
1591,0,0
1671,0,1
1751,0,0
1765,0,1
1809,0,0
1880,0,1
1891,0,0
1974,0,1
2060,0,0
2140,0,1
2172,0,0
2213,0,1
2245,0,0
2301,0,1
2387,0,0
2467,0,1
2499,0,0
2546,0,1
2623,0,0
2637,0,1
2687,0,0
2725,0,1
2775,0,0
2861,0,1
2941,0,0
2967,0,1
3017,0,0
3043,0,1
3093,0,0
3107,0,1
3166,0,0
3246,0,1
3326,0,0
3364,0,1
3414,0,0
3494,0,1
3517,0,0
3558,0,1
3635,0,0
3712,0,1
3792,0,0
3812,0,1
3871,0,0
3891,0,1
3911,0,0
3931,0,1
4011,0,0
4031,0,1
4081,0,0
4101,0,1
4124,0,0
4144,0,1
4194,0,0
4214,0,1
4273,0,0
4293,0,1
4343,0,0
4363,0,1
4413,0,0
4433,0,1
4492,0,0
4512,0,1
4562,0,0
4645,0,1
4725,0,0
4745,0,1
4795,0,0
4815,0,1
4865,0,0
4885,0,1
4935,0,0
4955,0,1
5014,0,0
